VFB_ID	external_ID	cell_types
VFB_jrchk1ih	1641263276	['adult olfactory receptor neuron Or65']
VFB_jrchk1ig	1641250391	['adult olfactory receptor neuron Or65']
VFB_jrchk1ij	1733673153	['adult olfactory receptor neuron Or65']
VFB_jrchk011	1838269993	['lobula plate columnar neuron LPC1']
VFB_jrchk010	1808633332	['lobula plate columnar neuron LPC1']
VFB_jrchk013	1808284045	['lobula plate columnar neuron LPC1']
VFB_jrchk012	5813046242	['lobula plate columnar neuron LPC1']
VFB_jrchk019	5812993568	['lobula plate columnar neuron']
VFB_jrchk018	1623460020	['lobula plate columnar neuron']
VFB_jrchk015	1654831942	['lobula plate columnar neuron']
VFB_jrchk014	1561398893	['lobula plate columnar neuron']
VFB_jrchk017	1748269043	['lobula plate columnar neuron']
VFB_jrchk016	1623464436	['lobula plate columnar neuron']
VFB_jrchk00b	5812999314	['lobula plate columnar neuron LPC1']
VFB_jrchk00a	1808965929	['lobula plate columnar neuron LPC1']
VFB_jrchk00h	1806535217	['lobula plate columnar neuron LPC1']
VFB_jrchk00g	5812997784	['lobula plate columnar neuron LPC1']
VFB_jrchk00j	5812993717	['lobula plate columnar neuron LPC1']
VFB_jrchk00i	1808620692	['lobula plate columnar neuron LPC1']
VFB_jrchk00d	5813039477	['lobula plate columnar neuron LPC1']
VFB_jrchk00c	1839314480	['lobula plate columnar neuron LPC1']
VFB_jrchk00f	1838266061	['lobula plate columnar neuron LPC1']
VFB_jrchk00e	1807930214	['lobula plate columnar neuron LPC1']
VFB_jrchk000	5813038963	['lobula plate columnar neuron LPC1']
VFB_jrchk002	1681683226	['lobula plate columnar neuron LPC1']
VFB_jrchk001	5813034310	['lobula plate columnar neuron LPC1']
VFB_jrchk008	5813018236	['lobula plate columnar neuron LPC1']
VFB_jrchk007	1778613177	['lobula plate columnar neuron LPC1']
VFB_jrchk009	5813039475	['lobula plate columnar neuron LPC1']
VFB_jrchk004	5812995460	['lobula plate columnar neuron LPC1']
VFB_jrchk003	5813045475	['lobula plate columnar neuron LPC1']
VFB_jrchk006	5812998632	['lobula plate columnar neuron LPC1']
VFB_jrchk005	5813049879	['lobula plate columnar neuron LPC1']
VFB_jrchk05u	1682707330	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk077	1469227143	['lobula plate-lobula columnar neuron LPLC4']
VFB_jrchk05t	1470971204	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk076	1686932677	['lobula plate-lobula columnar neuron LPLC4']
VFB_jrchk05w	1815809293	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk079	1657603789	['lobula plate-lobula columnar neuron LPLC4']
VFB_jrchk05v	1872033743	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk078	1718308979	['lobula plate-lobula columnar neuron LPLC4']
VFB_jrchk05q	1719595635	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk073	1624074309	['lobula plate-lobula columnar neuron LPLC4']
VFB_jrchk05p	5813038822	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk072	1813732543	['lobula plate-lobula columnar neuron LPLC4']
VFB_jrchk05s	1753674977	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk075	1657949330	['lobula plate-lobula columnar neuron LPLC4']
VFB_jrchk05r	1876147437	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk074	1626909735	['lobula plate-lobula columnar neuron LPLC4']
VFB_jrchk05y	1844750081	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk05x	1752016801	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk05z	1809614687	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk06f	5901226269	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk06e	1813403869	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk06h	1813403630	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk06g	1813403998	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk06b	1751329909	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk06a	1814418212	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk06d	1815471919	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk06c	1814781356	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk06n	1751670748	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk080	1626560096	['lobula plate-lobula columnar neuron LPLC4']
VFB_jrchk06m	1814781633	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk06p	1814422650	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk082	1718645916	['lobula plate-lobula columnar neuron LPLC4']
VFB_jrchk06o	1814414329	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk081	1657263439	['lobula plate-lobula columnar neuron LPLC4']
VFB_jrchk06j	1782369015	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk06i	1815131045	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk06l	1814781628	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk06k	1815480848	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk04t	5901214470	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk066	5813039136	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk04s	1876492837	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk065	1815126312	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk04v	1626482563	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk068	1938195143	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk04u	1343749180	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk067	5813046478	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk04p	1283013506	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk062	2059978318	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk04o	1282007450	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk061	1813403762	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk04r	1716496582	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk064	1814781537	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk04q	1626827782	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk063	5813034151	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk04x	1815826155	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk04w	5813038821	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk069	1876484146	['lobula plate-lobula columnar neuron LPLC2']
VFB_jrchk04z	1403392477	['lobula plate-lobula columnar neuron LPLC2']
