VFB_ID	external_IDs	cell_types
VFB_00100766	['3299767']	['larval Hugin neuron of the protocerebrum', 'neuron']
VFB_00100767	['3315001']	['neuron', 'larval Hugin neuron of the protocerebrum']
VFB_00100768	['3420915']	['neuron', 'larval mushroom body feedforward neuron 18']
VFB_00100772	['3595837']	['neuron']
VFB_00100773	['3598000']	['neuron']
VFB_00100774	['3622234']	['neuron', 'larval mushroom body feedforward neuron 18']
VFB_00100775	['3613276']	['neuron']
VFB_00100770	['3561724']	['larval insulin secreting cell of pars intercerebralis', 'neuron']
VFB_00100771	['3594705']	['larval Hugin neuron of the ventral nerve cord', 'neuron']
VFB_00100776	['3722787']	['neuron']
VFB_00100777	['3795424']	['neuron', 'abdominal 5 ventral multidendritic neuron vtd1']
VFB_00100778	['3915835']	['abdominal 3 ventral multidendritic neuron vtd2', 'neuron']
VFB_00100779	['3946432']	['neuron']
VFB_00100740	['2357110']	['larval insulin secreting cell of pars intercerebralis', 'neuron']
VFB_00100741	['2811369']	['larval Hugin neuron of the pharynx', 'neuron']
VFB_00100742	['2810998']	['larval Hugin neuron of the pharynx', 'neuron']
VFB_00100747	['2619764']	['neuron']
VFB_00100748	['2620299']	['neuron']
VFB_00100749	['2622502']	['neuron']
VFB_00100743	['7381964']	['neuron']
VFB_00100744	['2597151']	['neuron']
VFB_00100745	['2613532']	['larval Hugin neuron of the ventral nerve cord', 'neuron']
VFB_00100746	['2613540']	['larval Hugin neuron of the ventral nerve cord', 'neuron']
VFB_00100750	['2622540']	['neuron']
VFB_00100751	['2632168']	['neuron']
VFB_00100752	['2340336']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100753	['2679035']	['neuron']
VFB_00100758	['2284021']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100759	['2935173']	['neuron']
VFB_00100754	['2659386']	['larval DMS cell of pars intercerebralis', 'neuron']
VFB_00100755	['2815283']	['neuron', 'larval prothoracic accessory nerve sensory neuron']
VFB_00100756	['3266033']	['neuron', 'larval prothoracic accessory nerve sensory neuron']
VFB_00100757	['2815572']	['neuron']
VFB_00100718	['864517']	['neuron']
VFB_00100719	['1367171']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100720	['1377586']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100725	['1414206']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100726	['1428271']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100727	['1429969']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100728	['1435466']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100721	['1395971']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100722	['1398253']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100723	['1405493']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100724	['1406463']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100729	['1706716']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100730	['1711076']	['neuron', 'larval abdominal 3 A26f neuron']
VFB_00100731	['2138427']	['neuron', 'larval Hugin neuron of the corpus cardiacum']
VFB_00100736	['2606279']	['larval Hugin neuron of the pharynx', 'neuron']
VFB_00100737	['2679278']	['larval Hugin neuron of the pharynx', 'neuron']
VFB_00100738	['2260755']	['neuron', 'larval Dh44 neuron of pars intercerebralis']
VFB_00100739	['2369444']	['larval mushroom body second order output neuron', 'neuron']
VFB_00100732	['2355126']	['neuron', 'larval insulin secreting cell of pars intercerebralis']
VFB_00100733	['2852273']	['larval insulin secreting cell of pars intercerebralis', 'neuron']
VFB_00100734	['2456826']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100735	['2283495']	['neuron', 'larval insulin secreting cell of pars intercerebralis']
VFB_00100703	['471755']	['neuron', 'larval abdominal 1 Ladder-b neuron']
VFB_00100704	['4096366']	['neuron', 'larval abdominal 1 Drunken-1 neuron']
VFB_00100705	['4305390']	['larval metathoracic Griddle-2 neuron', 'neuron']
VFB_00100706	['4824878']	['larval abdominal 1 Griddle-1 neuron', 'neuron']
VFB_00100700	['11995']	['neuron', 'larval abdominal 1 Ladder-a neuron']
VFB_00100701	['471720']	['neuron', 'larval abdominal 1 Ladder-c neuron']
VFB_00100702	['471705']	['neuron', 'larval abdominal 1 ladder-d neuron']
VFB_00100707	['6207232']	['larval abdominal 1 Drunken-1 neuron', 'neuron']
VFB_00100708	['7195651']	['neuron', 'larval abdominal 1 Griddle-1 neuron']
VFB_00100709	['7683401']	['larval abdominal 1 Griddle-2 neuron', 'neuron']
VFB_00100714	['9867541']	['neuron', 'larval metathoracic Griddle-1 neuron']
VFB_00100715	['10804041']	['neuron', 'larval abdominal 1 Griddle-2 neuron']
VFB_00100716	['16310625']	['larval metathoracic Griddle-2 neuron', 'neuron']
VFB_00100717	['40152']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100710	['8045800']	['larval metathoracic Griddle-1 neuron', 'neuron']
VFB_00100711	['8577316']	['larval abdominal 1 ladder-f neuron', 'neuron']
VFB_00100712	['8614658']	['neuron', 'larval Ladder-a neuron', 'larval metathoracic Ladder-a neuron']
VFB_00100713	['7599503']	['neuron', 'larval abdominal 1 ladder-e neuron']
VFB_00100882	['15541944']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100883	['15541976']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100884	['15543068']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100885	['15562137']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100880	['15506094']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100881	['15532105']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100886	['15564706']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100887	['15564782']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100888	['15564807']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100889	['15572414']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100893	['15574328']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100894	['15575327']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100895	['15769419']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100896	['15769680']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100890	['15573396']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100891	['15573450']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100892	['15574231']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100897	['15770032']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100898	['15770904']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100899	['15995929']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100860	['11517136']	['neuron']
VFB_00100861	['11734960']	['larval prothoracic A00g neuron', 'neuron']
VFB_00100862	['11868260']	['larval mushroom body second order output neuron', 'neuron']
VFB_00100863	['11874130']	['abdominal 1 ventral multidendritic neuron vtd2', 'neuron']
VFB_00100868	['12944429']	['neuron']
VFB_00100869	['13429045']	['neuron']
VFB_00100864	['12042430']	['neuron']
VFB_00100865	['12634154']	['larval insulin secreting cell of pars intercerebralis', 'neuron']
VFB_00100866	['12824059']	['neuron']
VFB_00100867	['12920745']	['neuron']
VFB_00100871	['13535387']	['neuron', 'larval Dh44 neuron of pars intercerebralis']
VFB_00100872	['13581830']	['neuron', 'larval Hugin neuron of the protocerebrum']
VFB_00100873	['13744425']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100874	['13751194']	['neuron', 'larval Dh44 neuron of pars intercerebralis']
VFB_00100870	['13535380']	['larval insulin secreting cell of pars intercerebralis', 'neuron']
VFB_00100879	['15242799']	['neuron', 'larval mushroom body second order output neuron']
VFB_00100875	['13793212']	['larval DMS cell of pars intercerebralis', 'neuron']
VFB_00100876	['14728550']	['larval abdominal 3 A09e neuron', 'neuron']
VFB_00100877	['14795310']	['larval abdominal 3 A09e neuron', 'neuron']
VFB_00100878	['15202263']	['larval insulin secreting cell of pars intercerebralis', 'neuron']
VFB_00100839	['9796597']	['neuron', 'larval Hugin neuron of the protocerebrum']
VFB_00100840	['9805520']	['neuron', 'larval Hugin neuron of the protocerebrum']
VFB_00100841	['9805588']	['larval mushroom body second order output neuron', 'neuron']
VFB_00100846	['9935752']	['neuron']
VFB_00100847	['10119916']	['neuron', 'larval mushroom body second order output neuron']
VFB_00100848	['10329208']	['neuron', 'larval insulin secreting cell of pars intercerebralis']
VFB_00100849	['10418394']	['neuron', 'larval Dh44 neuron of pars intercerebralis']
VFB_00100842	['9813902']	['neuron', 'larval Hugin neuron of the protocerebrum']
VFB_00100843	['9835169']	['abdominal 4 ventral multidendritic neuron vtd1', 'neuron']
VFB_00100844	['9838294']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100845	['9903957']	['larval mushroom body second order output neuron', 'neuron']
VFB_00100850	['10459723']	['larval insulin secreting cell of pars intercerebralis', 'neuron']
VFB_00100851	['10563755']	['larval Dh44 neuron of pars intercerebralis', 'neuron']
VFB_00100852	['10716080']	['neuron']
VFB_00100857	['11121240']	['neuron']
VFB_00100858	['11291344']	['abdominal 5 ventral multidendritic neuron vtd1', 'neuron']
VFB_00100859	['11291634']	['neuron']
VFB_00100853	['10728318']	['neuron']
VFB_00100854	['10852875']	['neuron', 'abdominal 2 ventral multidendritic neuron vtd1']
VFB_00100855	['10868477']	['neuron', 'abdominal 1 ventral multidendritic neuron vtd2']
VFB_00100856	['10885848']	['neuron']
VFB_00100817	['7331555']	['abdominal 6 ventral multidendritic neuron vtd1', 'neuron']
VFB_00100818	['7338309']	['neuron']
VFB_00100819	['7340629']	['neuron', 'abdominal 6 ventral multidendritic neuron vtd1']
VFB_00100824	['8010889']	['neuron']
VFB_00100825	['8748462']	['neuron', 'larval abdominal 2 A26f neuron']
VFB_00100826	['9319255']	['neuron']
VFB_00100827	['9563254']	['neuron']
VFB_00100820	['7340664']	['neuron']
VFB_00100821	['7557604']	['neuron']
VFB_00100822	['8005609']	['neuron', 'abdominal 2 ventral multidendritic neuron vtd1']
VFB_00100823	['8008617']	['neuron']
VFB_00100828	['9455820']	['larval mushroom body second order output neuron', 'neuron']
VFB_00100829	['4785242']	['neuron']
VFB_00100830	['1375101']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100835	['9758503']	['larval mushroom body second order output neuron', 'neuron']
VFB_00100836	['9787565']	['neuron']
VFB_00100837	['9789130']	['larval Hugin neuron of the protocerebrum', 'neuron']
VFB_00100838	['9793489']	['larval mushroom body second order output neuron', 'neuron']
VFB_00100831	['9716858']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100832	['9748269']	['neuron', 'larval antennal-pharyngeal nerve sensory neuron']
VFB_00100833	['9748579']	['larval Hugin neuron of the protocerebrum', 'neuron']
VFB_00100834	['9748981']	['larval mushroom body second order output neuron', 'neuron']
VFB_00100802	['5601924']	['neuron', 'larval Hugin neuron of the corpus cardiacum']
VFB_00100803	['5607156']	['larval abdominal 4 A26x neuron', 'neuron']
VFB_00100804	['5613144']	['neuron']
VFB_00100805	['5614978']	['neuron']
VFB_00100800	['5500958']	['neuron', 'larval NPF neuron']
VFB_00100801	['5644800']	['neuron']
VFB_00100806	['5615961']	['larval Hugin neuron of the corpus cardiacum', 'neuron']
VFB_00100807	['5617164']	['neuron', 'abdominal 2 ventral multidendritic neuron vtd2']
VFB_00100808	['5688091']	['neuron']
VFB_00100809	['5860970']	['neuron']
VFB_00100813	['6802553']	['neuron']
VFB_00100814	['6883831']	['larval antennal-pharyngeal nerve sensory neuron', 'neuron']
VFB_00100815	['7136254']	['neuron', 'larval mushroom body second order output neuron']
VFB_00100816	['7165165']	['neuron']
VFB_00100810	['6445994']	['neuron']
VFB_00100811	['6795358']	['neuron', 'larval Hugin neuron of the ventral nerve cord']
VFB_00100812	['6796532']	['neuron']
VFB_00100580	['8448809']	['neuron']
VFB_00100585	['9567051']	['neuron', 'larval visual projection neuron PVL09']
VFB_00100586	['9927082']	['larval s-LNv Pdf neuron', 'neuron']
VFB_00100587	['9940382']	['optic lobe pioneer neuron 3', 'neuron']
VFB_00100588	['10241716']	['neuron', 'Rh6 photoreceptor of Bolwig organ']
VFB_00100581	['8449457']	['neuron']
VFB_00100582	['8449478']	['neuron']
VFB_00100583	['8470256']	['neuron']
VFB_00100584	['9539868']	['neuron', 'larval visual projection neuron PVL09']
VFB_00100589	['16087799']	['neuron', 'larval s-LNv Pdf neuron']
VFB_00100590	['16267292']	['Rh6 photoreceptor of Bolwig organ', 'neuron']
VFB_00100591	['17414715']	['neuron', 'optic lobe pioneer neuron 1']
VFB_00100596	['514841']	['larval abdominal 4 Basin-1 neuron', 'neuron', 'larval Basin-1 neuron']
VFB_00100597	['519624']	['larval Basin-2 neuron', 'neuron', 'larval abdominal 4 Basin-2 neuron']
VFB_00100598	['587083']	['neuron', 'larval Basin-4 neuron', 'larval abdominal 4 Basin-4 neuron']
VFB_00100599	['1339400']	['larval A00c-a3 neuron', 'neuron']
VFB_00100592	['7790597']	['abdominal 1 vch neuron', 'neuron']
VFB_00100593	['159280']	['neuron', 'larval abdominal 1 lch5-2/4 neuron', 'larval abdominal lch5-2/4 neuron', 'larval efferent neuron']
VFB_00100594	['162293']	['neuron', 'larval efferent neuron', 'larval abdominal 1 lch5-2/4 neuron', 'larval abdominal lch5-2/4 neuron']
VFB_00100595	['2194374']	['neuron', 'larval Wave neuron', 'larval abdominal 3 Wave neuron']
VFB_00100563	['7897051']	['neuron', 'optic lobe pioneer neuron 2']
VFB_00100564	['8480418']	['optic lobe pioneer neuron', 'neuron']
VFB_00100565	['2775707']	['neuron', 'larval s-LNv Pdf neuron']
VFB_00100566	['8340950']	['larval non-clock lateral neuron 2', 'neuron']
VFB_00100560	['2512602']	['larval s-LNv Pdf neuron', 'neuron']
VFB_00100561	['8271034']	['neuron']
VFB_00100562	['8247641']	['neuron', 'optic lobe pioneer neuron 1']
VFB_00100567	['7940800']	['neuron']
VFB_00100568	['8270683']	['larval non-clock lateral neuron 2', 'neuron']
VFB_00100569	['8337623']	['neuron']
VFB_00100574	['8432028']	['neuron']
VFB_00100575	['8448457']	['neuron']
VFB_00100576	['8448464']	['neuron']
VFB_00100577	['8448477']	['neuron']
VFB_00100570	['8353473']	['neuron']
VFB_00100571	['8358800']	['neuron']
VFB_00100572	['8361378']	['neuron']
VFB_00100573	['8362221']	['neuron']
VFB_00100578	['8448568']	['neuron']
VFB_00100579	['8448796']	['neuron']
VFB_00100541	['7874184']	['larval s-LNv Pdf neuron', 'neuron']
VFB_00100542	['8717219']	['neuron', 'larval Pdf negative s-LNv neuron']
VFB_00100543	['2200028']	['Rh6 photoreceptor of Bolwig organ', 'neuron']
VFB_00100544	['7480731']	['neuron', 'Rh5 photoreceptor of Bolwig organ']
VFB_00100540	['1816102']	['neuron']
VFB_00100549	['7483922']	['Rh5 photoreceptor of Bolwig organ', 'neuron']
VFB_00100545	['2204467']	['neuron', 'larval s-LNv Pdf neuron']
VFB_00100546	['2206279']	['Rh6 photoreceptor of Bolwig organ', 'neuron']
VFB_00100547	['2208920']	['neuron']
VFB_00100548	['2209091']	['Rh5 photoreceptor of Bolwig organ', 'neuron']
VFB_00100552	['2215447']	['neuron', 'Rh6 photoreceptor of Bolwig organ']
VFB_00100553	['2215622']	['Rh6 photoreceptor of Bolwig organ', 'neuron']
VFB_00100554	['2216131']	['Rh6 photoreceptor of Bolwig organ', 'neuron']
VFB_00100555	['2216187']	['neuron', 'Rh5 photoreceptor of Bolwig organ']
VFB_00100550	['8118929']	['neuron', 'larval s-LNv Pdf neuron']
VFB_00100551	['2215247']	['Rh6 photoreceptor of Bolwig organ', 'neuron']
VFB_00100556	['2216445']	['neuron', 'Rh6 photoreceptor of Bolwig organ']
VFB_00100557	['8700125']	['optic lobe pioneer neuron 2', 'neuron']
VFB_00100558	['7952981']	['neuron', 'larval Pdf negative s-LNv neuron']
VFB_00100559	['7694589']	['neuron']
VFB_00100520	['17884299']	['gustatory projection neuron', 'neuron']
VFB_00100521	['18028397']	['neuron', 'mushroom body extrinsic neuron']
VFB_00100522	['37365']	['neuron', 'Rh6 photoreceptor of Bolwig organ']
VFB_00100527	['8124177']	['optic lobe pioneer neuron 3', 'neuron']
VFB_00100528	['7485368']	['Rh5 photoreceptor of Bolwig organ', 'neuron']
VFB_00100529	['900032']	['neuron', 'Rh6 photoreceptor of Bolwig organ']
VFB_00100523	['7568455']	['Rh5 photoreceptor of Bolwig organ', 'neuron']
VFB_00100524	['1856512']	['neuron', 'Rh6 photoreceptor of Bolwig organ']
VFB_00100525	['902877']	['neuron', 'Rh5 photoreceptor of Bolwig organ']
VFB_00100526	['766246']	['Rh5 photoreceptor of Bolwig organ', 'neuron']
VFB_00100530	['7555204']	['neuron', 'Rh6 photoreceptor of Bolwig organ']
VFB_00100531	['7778722']	['Rh5 photoreceptor of Bolwig organ', 'neuron']
VFB_00100532	['902038']	['Rh6 photoreceptor of Bolwig organ', 'neuron']
VFB_00100533	['2544902']	['neuron', 'Rh6 photoreceptor of Bolwig organ']
VFB_00100538	['2532841']	['neuron', 'Rh6 photoreceptor of Bolwig organ']
VFB_00100539	['2775943']	['neuron', 'larval s-LNv Pdf neuron']
VFB_00100534	['8447845']	['neuron', 'Rh6 photoreceptor of Bolwig organ']
VFB_00100535	['2552701']	['neuron', 'Rh5 photoreceptor of Bolwig organ']
VFB_00100536	['946481']	['neuron', 'Rh6 photoreceptor of Bolwig organ']
VFB_00100537	['7566199']	['neuron', 'Rh6 photoreceptor of Bolwig organ']
VFB_00100500	['16846805']	['neuron', 'mushroom body extrinsic neuron']
VFB_00100505	['16977881']	['neuron', 'Kenyon cell']
VFB_00100506	['17013073']	['mushroom body extrinsic neuron', 'neuron']
VFB_00100507	['17016974']	['neuron', 'larval mushroom body output neuron m1']
VFB_00100508	['17147410']	['neuron', 'Kenyon cell']
VFB_00100501	['16850888']	['Kenyon cell', 'neuron']
VFB_00100502	['16868923']	['mushroom body extrinsic neuron', 'neuron']
VFB_00100503	['16883909']	['neuron', 'larval mushroom body output neuron b3']
VFB_00100504	['16939375']	['Kenyon cell', 'neuron']
VFB_00100509	['17147698']	['neuron', 'mushroom body extrinsic neuron']
VFB_00100510	['17295912']	['neuron', 'larval mushroom body input neuron b2']
VFB_00100511	['17355757']	['larval mushroom body output neuron a2', 'neuron']
VFB_00100516	['17476920']	['immature Kenyon cell', 'neuron']
VFB_00100517	['17476934']	['neuron', 'immature Kenyon cell']
VFB_00100518	['17476964']	['immature Kenyon cell', 'neuron']
VFB_00100519	['17476975']	['neuron', 'immature Kenyon cell']
VFB_00100512	['17434825']	['neuron', 'larval mushroom body-lateral horn convergence neuron']
VFB_00100513	['17454963']	['neuron', 'immature Kenyon cell']
VFB_00100514	['17476873']	['neuron', 'immature Kenyon cell']
VFB_00100515	['17476916']	['immature Kenyon cell', 'neuron']
VFB_00100684	['3786734']	['neuron', 'abdominal 1 anterior ventral multidendritic neuron vdaa']
VFB_00100685	['8031834']	['neuron', 'larval abdominal 1 lch5-3 neuron']
VFB_00100686	['3180525']	['larval abdominal 1 A03o1 neuron', 'larval A03o1 neuron', 'neuron']
VFB_00100687	['3720037']	['thoracic T2 neuron', 'neuron', 'larval Goro neuron']
VFB_00100680	['7763691']	['larval abdominal 1 lch5-5 neuron', 'neuron']
VFB_00100681	['7764785']	['neuron', 'larval abdominal 1 lch5-1 neuron']
VFB_00100682	['7796832']	['neuron', 'abdominal 1 vch neuron']
VFB_00100683	['7801255']	['neuron', 'abdominal 1 lch1 neuron']
VFB_00100688	['1400270']	['larval abdominal 4 Basin-4 neuron', 'larval Basin-4 neuron', 'neuron']
VFB_00100689	['1401011']	['neuron', 'larval Basin-3 neuron', 'larval abdominal 4 Basin-3 neuron']
VFB_00100690	['9720614']	['neuron', 'larval Ipsiphone neuron']
VFB_00100695	['10273502']	['abdominal 1 ventral multidendritic neuron vdaB', 'neuron']
VFB_00100696	['10290529']	['abdominal 1 ventral multidendritic neuron vdaB', 'neuron']
VFB_00100697	['10893103']	['neuron', 'larval Ipsiphone neuron']
VFB_00100698	['12946335']	['larval Wave neuron', 'neuron', 'larval abdominal 3 Wave neuron']
VFB_00100691	['9771412']	['abdominal 1 vch neuron', 'neuron']
VFB_00100692	['10110270']	['neuron', 'abdominal 1 anterior ventral multidendritic neuron vdaa']
VFB_00100693	['10110672']	['neuron', 'abdominal 1 dorsal multidendritic neuron ddaC']
VFB_00100694	['10179501']	['larval Basin-3 neuron', 'neuron', 'larval abdominal 1 Basin-3 neuron']
VFB_00100699	['7657358']	['neuron', 'larval abdominal 2 ladder-f neuron']
VFB_00100662	['5548412']	['neuron', 'larval abdominal 2 A08m neuron', 'larval A08m neuron']
VFB_00100663	['5690362']	['neuron', 'larval abdominal 1 A10a neuron', 'larval A10a neuron']
VFB_00100664	['5691934']	['neuron']
VFB_00100665	['5754346']	['neuron']
VFB_00100660	['5343532']	['larval metathoracic T05t neuron', 'neuron', 'larval T05t neuron']
VFB_00100661	['5343578']	['neuron', 'larval abdominal 1 A08x neuron', 'larval A08x neuron']
VFB_00100666	['5794678']	['neuron', 'larval Ipsigoro neuron']
VFB_00100667	['5997121']	['larval abdominal 1 A23g neuron', 'neuron', 'larval A23g neuron']
VFB_00100668	['7184082']	['larval abdominal 1 A08x neuron', 'larval A08x neuron', 'neuron']
VFB_00100669	['6450381']	['larval A05e neuron', 'larval abdominal 2 A05e neuron', 'neuron']
VFB_00100673	['4975387']	['larval A08d neuron', 'larval abdominal 1 A08d neuron', 'neuron']
VFB_00100674	['6276557']	['neuron', 'larval abdominal lch5-2/4 neuron', 'larval efferent neuron', 'larval abdominal 1 lch5-2/4 neuron']
VFB_00100675	['7686464']	['larval abdominal 1 lch5-3 neuron', 'neuron']
VFB_00100676	['7732444']	['larval abdominal 1 lch5-1 neuron', 'neuron']
VFB_00100670	['6264270']	['neuron']
VFB_00100671	['6535161']	['neuron', 'larval abdominal 1 A10a neuron', 'larval A10a neuron']
VFB_00100672	['6755064']	['neuron', 'larval A08m neuron', 'larval abdominal 1 A08m neuron']
VFB_00100677	['7694722']	['larval abdominal 1 lch5-5 neuron', 'neuron']
VFB_00100678	['7628068']	['abdominal 1 lch1 neuron', 'neuron']
VFB_00100679	['7746883']	['abdominal 1 vch neuron', 'neuron']
VFB_00100640	['4591945']	['neuron', 'larval TePn04 neuron', 'larval abdominal 9 TePn04 neuron']
VFB_00100641	['4740178']	['larval A14g neuron', 'larval abdominal 1 A14g neuron', 'neuron']
VFB_00100642	['1767828']	['larval abdominal 1 A12m neuron', 'larval A12m neuron', 'neuron']
VFB_00100643	['4766066']	['larval T08x neuron', 'neuron', 'larval prothoracic T08x neuron']
VFB_00100648	['4839570']	['larval abdominal 1 A08d neuron', 'larval A08d neuron', 'neuron']
VFB_00100649	['4901446']	['larval A10f neuron', 'neuron', 'larval abdominal 2 A10f neuron']
VFB_00100644	['4778439']	['neuron', 'larval A02m neuron', 'larval abdominal 1 A02m neuron']
VFB_00100645	['4826452']	['larval abdominal 2 A10l neuron', 'larval A10l neuron', 'neuron']
VFB_00100646	['4829813']	['larval A01n neuron', 'neuron', 'larval abdominal 1 A01n neuron']
VFB_00100647	['4833168']	['larval A14g neuron', 'neuron', 'larval abdominal 1 A14g neuron']
VFB_00100651	['5108525']	['neuron']
VFB_00100652	['3862443']	['neuron']
VFB_00100653	['5132886']	['neuron', 'larval A23g neuron', 'larval abdominal 1 A23g neuron']
VFB_00100654	['5185729']	['neuron', 'larval A05e neuron', 'larval abdominal 1 A05e neuron']
VFB_00100650	['5064747']	['larval A14g neuron', 'larval abdominal 2 A14g neuron', 'neuron']
VFB_00100659	['5336476']	['neuron', 'larval abdominal 1 A19c neuron', 'larval A19c neuron']
VFB_00100655	['5198939']	['larval mesothoracic T08x neuron', 'neuron', 'larval T08x neuron']
VFB_00100656	['5238494']	['larval abdominal 2 A08m neuron', 'neuron', 'larval A08m neuron']
VFB_00100657	['5206247']	['thoracic T2 neuron', 'larval Goro neuron', 'neuron']
VFB_00100658	['5268581']	['neuron']
VFB_00100619	['9354613']	['larval A10j neuron', 'larval abdominal 3 A10j neuron', 'neuron']
VFB_00100620	['2637812']	['larval A02n neuron', 'neuron', 'larval abdominal 1 A02n neuron']
VFB_00100621	['986460']	['abdominal 1 dorsal multidendritic neuron ddaC', 'neuron']
VFB_00100626	['3957604']	['larval T05t neuron', 'neuron', 'larval metathoracic T05t neuron']
VFB_00100627	['3979181']	['larval Ipsigoro neuron', 'neuron']
VFB_00100628	['4022794']	['larval Handle-A neuron', 'neuron']
VFB_00100629	['4060628']	['neuron', 'larval abdominal 1 A08m neuron', 'larval A08m neuron']
VFB_00100622	['3546334']	['larval abdominal 1 A02m neuron', 'larval A02m neuron', 'neuron']
VFB_00100623	['3764792']	['neuron']
VFB_00100624	['3792035']	['larval A14g neuron', 'neuron', 'larval abdominal 2 A14g neuron']
VFB_00100625	['3863488']	['neuron']
VFB_00100630	['4081479']	['neuron', 'larval A19c neuron', 'larval abdominal 1 A19c neuron']
VFB_00100631	['4117790']	['larval A10l neuron', 'neuron', 'larval abdominal 2 A10l neuron']
VFB_00100632	['4139768']	['larval A12m neuron', 'larval abdominal 1 A12m neuron', 'neuron']
VFB_00100637	['4394777']	['neuron', 'larval A01n neuron', 'larval abdominal 1 A01n neuron']
VFB_00100638	['4536017']	['larval A10f neuron', 'larval abdominal 2 A10f neuron', 'neuron']
VFB_00100639	['4555763']	['neuron']
VFB_00100633	['4163234']	['larval A10j neuron', 'neuron', 'larval abdominal 3 A10j neuron']
VFB_00100634	['4262162']	['neuron', 'larval A00c-a3 neuron']
VFB_00100635	['4302562']	['neuron', 'larval abdominal 1 A03o1 neuron', 'larval A03o1 neuron']
VFB_00100636	['4321712']	['neuron', 'larval Handle-B neuron']
VFB_00100604	['2511238']	['neuron', 'larval A00c-a4 neuron']
VFB_00100605	['2349742']	['larval abdominal 4 Basin-3 neuron', 'neuron', 'larval Basin-3 neuron']
VFB_00100606	['2619565']	['larval A00c-a5 neuron', 'neuron']
VFB_00100607	['7577773']	['larval abdominal 1 lch5-2/4 neuron', 'neuron', 'larval efferent neuron', 'larval abdominal lch5-2/4 neuron']
VFB_00100600	['1398260']	['neuron', 'larval Basin-1 neuron', 'larval abdominal 4 Basin-1 neuron']
VFB_00100601	['1398327']	['larval Basin-2 neuron', 'neuron', 'larval abdominal 4 Basin-2 neuron']
VFB_00100602	['1042538']	['larval A00c-a6 neuron', 'neuron']
VFB_00100603	['1690576']	['larval A00c-a6 neuron', 'neuron']
VFB_00100608	['3093284']	['larval A00c-a4 neuron', 'neuron']
VFB_00100609	['2743404']	['neuron']
VFB_00100610	['2816457']	['larval A00c-a5 neuron', 'neuron']
VFB_00100615	['3282869']	['larval abdominal 1 Basin-1 neuron', 'neuron', 'larval Basin-1 neuron']
VFB_00100616	['4049878']	['larval Basin-4 neuron', 'neuron', 'larval abdominal 1 Basin-4 neuron']
VFB_00100617	['3074106']	['larval abdominal 1 Basin-2 neuron', 'larval Basin-2 neuron', 'neuron']
VFB_00100618	['3091943']	['neuron', 'larval Basin-3 neuron', 'larval abdominal 1 Basin-3 neuron']
