VFB_ID	external_IDs	cell_types
VFB_00100166	['11279244']	['larval uniglomerular projection neuron 49a', 'neuron']
VFB_00100170	['13589251']	['larval uniglomerular projection neuron 33a', 'neuron']
VFB_00100171	['13803032']	['larval mushroom body-lateral horn convergence neuron', 'neuron']
VFB_00100172	['13849557']	['larval serotonergic IP1 neuron 1', 'neuron']
VFB_00100173	['14154154']	['neuron', 'larval subesophageal zone cypress neuron']
VFB_00100178	['16515871']	['neuron', 'larval antennal lobe multiglomerular projection neuron cobra']
VFB_00100179	['16621864']	['neuron', 'larval subesophageal zone ginkgo 2 neuron']
VFB_00100174	['14437742']	['larval subesophageal zone spruce neuron', 'neuron']
VFB_00100175	['14517691']	['larval subesophageal zone ginkgo 1 neuron', 'neuron']
VFB_00100176	['14604028']	['neuron', 'larval uniglomerular projection neuron 85c']
VFB_00100177	['16259595']	['larval uniglomerular projection neuron 67b', 'neuron']
VFB_00100140	['8246081']	['neuron', 'larval uniglomerular projection neuron 67b']
VFB_00100145	['8253413']	['neuron', 'larval uniglomerular projection neuron 45b']
VFB_00100146	['8256186']	['neuron', 'larval uniglomerular projection neuron 30a']
VFB_00100147	['8273369']	['neuron', 'larval antennal lobe choosy local neuron']
VFB_00100148	['8274021']	['neuron', 'larval antennal lobe picky 3 local neuron']
VFB_00100141	['8246750']	['larval uniglomerular projection neuron 33b/47a', 'neuron']
VFB_00100142	['8247451']	['larval uniglomerular projection neuron 45a', 'neuron']
VFB_00100143	['8248631']	['larval uniglomerular projection neuron 22c', 'neuron']
VFB_00100144	['8252067']	['neuron', 'larval uniglomerular projection neuron 1a']
VFB_00100149	['8276782']	['larval antennal lobe multiglomerular projection neuron A1', 'neuron']
VFB_00100150	['8480221']	['neuron', 'larval antennal lobe multiglomerular projection neuron seahorse']
VFB_00100151	['8509534']	['neuron', 'larval antennal lobe multiglomerular projection neuron cobra']
VFB_00100156	['9589146']	['neuron', 'larval antennal lobe multiglomerular projection neuron C1']
VFB_00100157	['6451332']	['larval antennal lobe multiglomerular projection neuron D', 'neuron']
VFB_00100158	['10158972']	['larval subesophageal zone clamp neuron', 'neuron']
