VFB_ID	external_ID	cell_types
VFB_fw106000	flywire_fafb:720575940620892399	['distal medullary amacrine neuron Dm8a']
VFB_fw106001	flywire_fafb:720575940627494163	['distal medullary amacrine neuron Dm8a']
VFB_fw106002	flywire_fafb:720575940632798239	['T2 neuron']
VFB_fw106025	flywire_fafb:720575940623295437	['distal medullary amacrine neuron Dm2']
VFB_fw106026	flywire_fafb:720575940623675647	['lamina monopolar neuron L2']
VFB_fw106027	flywire_fafb:720575940624553736	['adult glutamatergic neuron', 'medulla intrinsic neuron Mi14']
VFB_fw106028	flywire_fafb:720575940625274772	['lamina monopolar neuron L2']
VFB_fw106029	flywire_fafb:720575940623641482	['distal medullary amacrine neuron Dm10']
VFB_fw106030	flywire_fafb:720575940617316027	['adult central medulla intrinsic neuron Cm6']
VFB_fw106031	flywire_fafb:720575940625519437	['adult central medulla neuron Cm12']
VFB_fw106032	flywire_fafb:720575940621142950	['T2 neuron']
VFB_fw106033	flywire_fafb:720575940611966613	['adult GABAergic neuron', 'medulla intrinsic neuron Mi9']
VFB_fw106034	flywire_fafb:720575940620738144	['distal medullary amacrine neuron Dm2']
VFB_fw106035	flywire_fafb:720575940618132564	['adult glutamatergic neuron', 'distal medullary amacrine neuron Dm15']
VFB_fw106014	flywire_fafb:720575940631858706	['transmedullary neuron Tm4']
VFB_fw106015	flywire_fafb:720575940614132143	['adult cholinergic neuron', 'adult transmedullary CB3851 neuron']
VFB_fw106016	flywire_fafb:720575940638746084	['adult GABAergic neuron', 'medulla tangential intrinsic neuron 1']
VFB_fw106017	flywire_fafb:720575940622326049	['lamina monopolar neuron L5']
VFB_fw106018	flywire_fafb:720575940626279973	['transmedullary Y neuron TmY9']
VFB_fw106019	flywire_fafb:720575940617832678	['distal medullary amacrine neuron Dm-DRA1']
VFB_fw106020	flywire_fafb:720575940639802165	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106021	flywire_fafb:720575940626784560	['lamina monopolar neuron L2']
VFB_fw106022	flywire_fafb:720575940627490826	['adult cholinergic neuron', 'adult transmedullary CB3851 neuron']
VFB_fw106023	flywire_fafb:720575940632421969	['T2 neuron']
VFB_fw106024	flywire_fafb:720575940621998068	['adult cholinergic neuron', 'transmedullary neuron Tm5Y']
VFB_fw106168	flywire_fafb:720575940625750420	['transmedullary neuron Tm29']
VFB_fw106169	flywire_fafb:720575940628009624	['adult cholinergic neuron', 'medulla intrinsic neuron Mi10']
VFB_fw106170	flywire_fafb:720575940639542606	['transmedullary neuron Tm3']
VFB_fw106171	flywire_fafb:720575940627107929	['adult transmedullary Y neuron TmY21']
VFB_fw106172	flywire_fafb:720575940617649876	['distal medullary amacrine neuron Dm2']
VFB_fw106173	flywire_fafb:720575940604963552	['lamina monopolar neuron L2']
VFB_fw106174	flywire_fafb:720575940626808963	['transmedullary Y neuron TmY4']
VFB_fw106175	flywire_fafb:720575940623517910	['transmedullary neuron Tm5b']
VFB_fw106176	flywire_fafb:720575940627497235	['distal medullary amacrine neuron Dm2']
VFB_fw106177	flywire_fafb:720575940631475474	['lamina monopolar neuron L5']
VFB_fw106178	flywire_fafb:720575940626475838	['distal medullary amacrine neuron Dm3c']
VFB_fw106157	flywire_fafb:720575940629914490	['transmedullary Y neuron TmY10']
VFB_fw106158	flywire_fafb:720575940629145679	['medulla intrinsic neuron Mi4']
VFB_fw106159	flywire_fafb:720575940626640570	['transmedullary neuron Tm4']
VFB_fw106160	flywire_fafb:720575940617178763	['transmedullary neuron Tm12']
VFB_fw106161	flywire_fafb:720575940635183002	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106162	flywire_fafb:720575940647644036	['distal medullary amacrine neuron Dm8a']
VFB_fw106163	flywire_fafb:720575940638329151	['transmedullary neuron Tm4']
VFB_fw106164	flywire_fafb:720575940647644292	['medulla intrinsic neuron Mi9']
VFB_fw106165	flywire_fafb:720575940638492762	['medulla intrinsic neuron Mi4']
VFB_fw106166	flywire_fafb:720575940627935656	['distal medullary amacrine neuron Dm8b']
VFB_fw106167	flywire_fafb:720575940622528801	['distal medullary amacrine neuron Dm11']
VFB_fw106190	flywire_fafb:720575940633256223	['transmedullary neuron Tm33']
VFB_fw106191	flywire_fafb:720575940629915770	['adult cholinergic neuron', 'lamina monopolar neuron L3']
VFB_fw106192	flywire_fafb:720575940628751209	['adult cholinergic neuron', 'transmedullary neuron Tm6']
VFB_fw106193	flywire_fafb:720575940621470646	['transmedullary neuron Tm3']
VFB_fw106194	flywire_fafb:720575940621060032	['adult transmedullary Y neuron TmY21']
VFB_fw106195	flywire_fafb:720575940629146191	['transmedullary Y neuron TmY5a']
VFB_fw106196	flywire_fafb:720575940629716474	['adult cholinergic neuron', 'medulla columnar neuron MC64']
VFB_fw106197	flywire_fafb:720575940613798125	['distal medullary amacrine neuron Dm10']
VFB_fw106198	flywire_fafb:720575940617409083	['adult cholinergic neuron', 'lamina monopolar neuron L3']
VFB_fw106199	flywire_fafb:720575940624885140	['T2 neuron']
VFB_fw106179	flywire_fafb:720575940620830088	['distal medullary amacrine neuron Dm2']
VFB_fw106180	flywire_fafb:720575940606266801	['transmedullary Y neuron TmY10']
VFB_fw106181	flywire_fafb:720575940622126597	['adult glutamatergic neuron', 'medulla intrinsic neuron Mi14']
VFB_fw106182	flywire_fafb:720575940626809475	['transmedullary neuron Tm3']
VFB_fw106183	flywire_fafb:720575940620833106	['medulla intrinsic neuron Mi9']
VFB_fw106184	flywire_fafb:720575940624288136	['lamina monopolar neuron L2']
VFB_fw106185	flywire_fafb:720575940613797357	['adult cholinergic neuron', 'transmedullary neuron Tm6']
VFB_fw106186	flywire_fafb:720575940607856818	['lamina monopolar neuron L2']
VFB_fw106187	flywire_fafb:720575940620428564	['T2 neuron']
VFB_fw106188	flywire_fafb:720575940639081798	['adult cholinergic neuron', 'transmedullary neuron Tm5Y']
VFB_fw106189	flywire_fafb:720575940623363916	['centrifugal neuron C3']
VFB_fw106102	flywire_fafb:720575940627776594	['lamina wide-field 2 neuron']
VFB_fw106103	flywire_fafb:720575940622295796	['distal medullary amacrine neuron Dm2']
VFB_fw106104	flywire_fafb:720575940639904931	['lamina monopolar neuron L5']
VFB_fw106105	flywire_fafb:720575940630275840	['medulla intrinsic neuron Mi1']
VFB_fw106106	flywire_fafb:720575940615124630	['lamina monopolar neuron L1']
VFB_fw106107	flywire_fafb:720575940629465499	['adult cholinergic neuron', 'transmedullary neuron Tm5Y']
VFB_fw106108	flywire_fafb:720575940618023202	['adult cholinergic neuron', 'medulla intrinsic neuron Mi10']
VFB_fw106109	flywire_fafb:720575940621682102	['lamina monopolar neuron L2']
VFB_fw106110	flywire_fafb:720575940612648817	['lamina monopolar neuron L2']
VFB_fw106111	flywire_fafb:720575940636712805	['lamina monopolar neuron L5']
VFB_fw106112	flywire_fafb:720575940607349001	['transmedullary Y neuron TmY3']
VFB_fw106100	flywire_fafb:720575940618230045	['transmedullary neuron Tm37']
VFB_fw106101	flywire_fafb:720575940621069421	['transmedullary neuron Tm3']
VFB_fw106124	flywire_fafb:720575940627818121	['T4a neuron']
VFB_fw106125	flywire_fafb:720575940611981010	['adult transmedullary Y neuron TmY21']
VFB_fw106126	flywire_fafb:720575940634200857	['adult cholinergic neuron', 'transmedullary neuron Tm5Y']
VFB_fw106127	flywire_fafb:720575940645636974	['transmedullary neuron Tm29']
VFB_fw106128	flywire_fafb:720575940638290409	['transmedullary neuron Tm20']
VFB_fw106129	flywire_fafb:720575940629379334	['outer photoreceptor cell']
VFB_fw106130	flywire_fafb:720575940623851363	['photoreceptor cell R7']
VFB_fw106131	flywire_fafb:720575940641414645	['T4d neuron']
VFB_fw106132	flywire_fafb:720575940615461855	['adult cholinergic neuron', 'transmedullary neuron Tm5Y']
VFB_fw106133	flywire_fafb:720575940609485251	['adult transmedullary Y neuron TmY21']
VFB_fw106134	flywire_fafb:720575940626629890	['T2 neuron']
VFB_fw106113	flywire_fafb:720575940618531611	['transmedullary neuron Tm2']
VFB_fw106114	flywire_fafb:720575940618813248	['centrifugal neuron C3']
VFB_fw106115	flywire_fafb:720575940609741251	['adult medulla-lobula neuron MeLo4']
VFB_fw106116	flywire_fafb:720575940620792923	['transmedullary neuron Tm2']
VFB_fw106117	flywire_fafb:720575940619116086	['adult GABAergic neuron', 'distal medullary amacrine neuron Dm8a']
VFB_fw106118	flywire_fafb:720575940631298555	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106119	flywire_fafb:720575940635576160	['lamina monopolar neuron L2']
VFB_fw106120	flywire_fafb:720575940627565189	['transmedullary neuron Tm12']
VFB_fw106121	flywire_fafb:720575940628159464	['transmedullary neuron Tm3']
VFB_fw106122	flywire_fafb:720575940628158440	['transmedullary Y neuron TmY5a']
VFB_fw106123	flywire_fafb:720575940622060897	['adult central medulla intrinsic neuron Cm3']
VFB_fw106146	flywire_fafb:720575940616406813	['adult transmedullary Y neuron TmY17']
VFB_fw106147	flywire_fafb:720575940629914234	['transmedullary Y neuron TmY15']
VFB_fw106148	flywire_fafb:720575940635181978	['transmedullary neuron Tm20']
VFB_fw106149	flywire_fafb:720575940604962528	['adult cholinergic neuron', 'lamina monopolar neuron L3']
VFB_fw106150	flywire_fafb:720575940622792967	['medulla intrinsic neuron Mi9']
VFB_fw106151	flywire_fafb:720575940620341127	['adult cholinergic neuron', 'transmedullary neuron Tm5Y']
VFB_fw106152	flywire_fafb:720575940639906467	['transmedullary neuron Tm8']
VFB_fw106153	flywire_fafb:720575940616501314	['adult cholinergic neuron', 'transmedullary neuron Tm5Y']
VFB_fw106154	flywire_fafb:720575940632344936	['transmedullary neuron Tm20']
VFB_fw106155	flywire_fafb:720575940621839457	['adult cholinergic neuron', 'adult interneuron']
VFB_fw106156	flywire_fafb:720575940621092973	['medulla intrinsic neuron Mi4']
VFB_fw106135	flywire_fafb:720575940641814005	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106136	flywire_fafb:720575940652660214	['medulla intrinsic neuron Mi4']
VFB_fw106137	flywire_fafb:720575940609725963	['distal medullary amacrine neuron Dm4']
VFB_fw106138	flywire_fafb:720575940630069186	['transmedullary neuron Tm3']
VFB_fw106139	flywire_fafb:720575940621091181	['transmedullary neuron Tm3']
VFB_fw106140	flywire_fafb:720575940605508320	['transmedullary neuron Tm20']
VFB_fw106141	flywire_fafb:720575940639744445	['medulla intrinsic neuron Mi4']
VFB_fw106142	flywire_fafb:720575940629989635	['transmedullary neuron Tm9']
VFB_fw106143	flywire_fafb:720575940638682601	['transmedullary Y neuron TmY9']
VFB_fw106144	flywire_fafb:720575940621092205	['medulla tangential intrinsic neuron 1']
VFB_fw106145	flywire_fafb:720575940621092613	['transmedullary neuron Tm8']
VFB_fw106289	flywire_fafb:720575940623440008	['lamina monopolar neuron L5']
