VFB_ID	external_ID	cell_types
VFB_00002082	Trh-M-500177	['adult neuron']
VFB_00016100	VGlut-F-000109	['adult neuron']
VFB_00016101	VGlut-F-000110	['adult neuron']
VFB_00016102	VGlut-F-000111	['adult neuron']
VFB_00016103	VGlut-F-000112	['adult neuron']
VFB_00016104	VGlut-F-000113	['adult neuron']
VFB_00016105	VGlut-F-000114	['adult neuron']
VFB_00016106	VGlut-F-200090	['adult neuron']
VFB_00016107	VGlut-F-200091	['adult neuron']
VFB_00016108	VGlut-F-200092	['adult neuron']
VFB_00016109	VGlut-F-200093	['adult neuron']
VFB_00016120	VGlut-F-000116	['adult neuron']
VFB_00016121	VGlut-F-000117	['adult neuron']
VFB_00016122	VGlut-F-300077	['lobula columnar neuron LC12']
VFB_00016123	VGlut-F-300078	['antennal mechanosensory and motor center local AMMC-AMMC 1 neuron']
VFB_00016124	VGlut-F-300079	['adult neuron']
VFB_00016125	VGlut-F-300080	['adult neuron']
VFB_00016126	VGlut-F-300081	['adult neuron']
VFB_00016127	VGlut-F-300082	['adult neuron']
VFB_00016128	VGlut-F-000118	['adult gamma Kenyon cell']
VFB_00016129	VGlut-F-000119	['adult neuron']
VFB_00016110	VGlut-F-000115	['adult neuron']
VFB_00016111	VGlut-F-200094	['adult neuron']
VFB_00016112	VGlut-F-200095	['adult neuron']
VFB_00016113	VGlut-F-200096	['adult neuron']
VFB_00016114	VGlut-F-300074	['adult neuron']
VFB_00016115	VGlut-F-300075	['adult neuron']
VFB_00016116	VGlut-F-300076	['adult neuron']
VFB_00016118	VGlut-F-500104	['adult neuron']
VFB_00016119	VGlut-F-500105	['adult neuron']
VFB_00016140	VGlut-F-000128	['adult neuron']
VFB_00016141	VGlut-F-000130	['adult neuron']
VFB_00016142	VGlut-F-000131	['adult neuron']
VFB_00016143	VGlut-F-000132	['adult neuron']
VFB_00016144	VGlut-F-000133	['adult neuron']
VFB_00016145	VGlut-F-200099	['adult neuron']
VFB_00016146	VGlut-F-200100	['adult neuron']
VFB_00016147	VGlut-F-200101	['adult neuron']
VFB_00016148	VGlut-F-200102	['adult neuron']
VFB_00016149	VGlut-F-200103	['adult neuron']
VFB_00016130	VGlut-F-000121	['adult neuron']
VFB_00016131	VGlut-F-000122	['adult neuron']
VFB_00016132	VGlut-F-000123	['adult neuron']
VFB_00016133	VGlut-F-000124	['adult neuron']
VFB_00016134	VGlut-F-200097	['adult neuron']
VFB_00016135	VGlut-F-000125	['adult neuron']
VFB_00016136	VGlut-F-200098	['alpha/beta surface Kenyon cell']
VFB_00016137	VGlut-F-100046	['adult neuron']
VFB_00016138	VGlut-F-000126	['adult antennal lobe projection neuron DL1 adPN']
VFB_00016139	VGlut-F-000127	['adult neuron']
VFB_00016160	VGlut-F-300084	['adult neuron']
VFB_00016161	VGlut-F-100047	['adult neuron']
VFB_00016162	VGlut-F-000142	['adult intrinsic protocerebral bridge 18 glomeruli-2 glomeruli neuron']
VFB_00016163	VGlut-F-000143	['adult neuron']
VFB_00016164	VGlut-F-000144	['adult neuron']
VFB_00016165	VGlut-F-000145	['adult neuron']
VFB_00016166	VGlut-F-000146	['adult neuron']
VFB_00016167	VGlut-F-000147	['adult neuron']
VFB_00016168	VGlut-F-000148	['adult neuron']
VFB_00016169	VGlut-F-300085	['adult multiglomerular antennal lobe projection neuron adPN', 'transverse antennal lobe tract projection neuron']
VFB_00016150	VGlut-F-200104	['adult neuron']
VFB_00016151	VGlut-F-200105	['adult neuron']
VFB_00016152	VGlut-F-400093	['antennal mechanosensory and motor center AMMC-IVLP projection neuron 2']
VFB_00016153	VGlut-F-000136	['antennal mechanosensory and motor center local AMMC-AMMC 1 neuron']
VFB_00016154	VGlut-F-000137	['alpha/beta core Kenyon cell']
VFB_00016155	VGlut-F-000138	['adult neuron']
VFB_00016156	VGlut-F-000139	['adult neuron']
VFB_00016157	VGlut-F-300083	['adult neuron']
VFB_00016158	VGlut-F-000140	['adult neuron']
VFB_00016159	VGlut-F-000141	['adult neuron']
VFB_00016060	VGlut-F-500089	['adult neuron']
VFB_00016061	VGlut-F-500090	['adult neuron']
VFB_00016062	VGlut-F-500091	['adult neuron']
VFB_00016063	VGlut-F-000090	['adult neuron']
VFB_00016064	VGlut-F-500092	['adult multiglomerular antennal lobe projection neuron vPN', 'mediolateral antennal lobe tract projection neuron']
VFB_00016065	VGlut-F-500093	['adult neuron']
VFB_00016066	VGlut-F-100041	['adult neuron']
VFB_00016067	VGlut-F-100042	['adult neuron']
VFB_00016068	VGlut-F-100043	['lobula columnar neuron LC4']
VFB_00016069	VGlut-F-500094	['adult ALl1 lineage neuron', 'adult multiglomerular antennal lobe projection neuron', 'antennal lobe projection neuron of ALl1 lineage', 'medial antennal lobe tract projection neuron']
VFB_00016050	VGlut-F-500080	['adult neuron']
VFB_00016051	VGlut-F-500081	['adult neuron']
VFB_00016052	VGlut-F-500082	['adult antennal lobe projection neuron VC4 adPN']
VFB_00016053	VGlut-F-500083	['adult neuron']
VFB_00016054	VGlut-F-500084	['adult neuron']
VFB_00016055	VGlut-F-000089	['adult neuron']
VFB_00016056	VGlut-F-500085	['adult multiglomerular antennal lobe projection neuron adPN']
VFB_00016057	VGlut-F-500086	['adult neuron']
VFB_00016058	VGlut-F-500087	['antennal mechanosensory and motor center local AMMC-AMMC 1 neuron']
VFB_00016059	VGlut-F-500088	['adult neuron']
VFB_00016080	VGlut-F-000097	['adult neuron']
VFB_00016081	VGlut-F-000098	['adult neuron']
VFB_00016082	VGlut-F-200087	['adult neuron']
VFB_00016083	VGlut-F-000099	['adult neuron']
VFB_00016084	VGlut-F-200088	['adult neuron']
VFB_00016085	VGlut-F-000100	['adult neuron']
VFB_00016086	VGlut-F-500098	['adult neuron']
VFB_00016087	VGlut-F-500099	['adult neuron']
VFB_00016088	VGlut-F-500100	['adult neuron']
VFB_00016089	VGlut-F-500101	['adult neuron']
VFB_00016070	VGlut-F-000091	['adult neuron']
VFB_00016071	VGlut-F-500095	['adult neuron']
VFB_00016072	VGlut-F-500096	['adult neuron']
VFB_00016073	VGlut-F-500097	['adult neuron']
VFB_00016074	VGlut-F-000092	['adult neuron']
VFB_00016075	VGlut-F-000093	['adult neuron']
VFB_00016076	VGlut-F-000094	['adult neuron']
VFB_00016077	VGlut-F-000096	['adult neuron']
VFB_00016078	VGlut-F-000095	['adult neuron']
VFB_00016079	VGlut-F-200086	['adult neuron']
VFB_00016090	VGlut-F-000101	['adult neuron']
VFB_00016091	VGlut-F-300073	['adult neuron']
VFB_00016092	VGlut-F-000102	['adult neuron']
VFB_00016093	VGlut-F-000103	['adult neuron']
VFB_00016094	VGlut-F-000104	['adult neuron']
VFB_00016095	VGlut-F-000105	['adult neuron']
VFB_00016096	VGlut-F-200089	['adult neuron']
VFB_00016097	VGlut-F-000106	['adult antennal lobe projection neuron DL2d adPN']
VFB_00016098	VGlut-F-000107	['adult neuron']
VFB_00016099	VGlut-F-000108	['adult intrinsic protocerebral bridge 18 glomeruli-3 glomeruli neuron']
VFB_00016200	VGlut-F-200106	['adult intrinsic protocerebral bridge 18 glomeruli-2 glomeruli neuron']
VFB_00016201	VGlut-F-000172	['adult neuron']
VFB_00016202	VGlut-F-000173	['adult gamma Kenyon cell']
VFB_00016203	VGlut-F-300090	['adult neuron']
VFB_00016204	VGlut-F-300091	['adult neuron']
VFB_00016205	VGlut-F-000174	['adult neuron']
VFB_00016206	VGlut-F-000175	['adult neuron']
VFB_00016207	VGlut-F-000176	['adult neuron']
VFB_00016208	VGlut-F-000177	['adult neuron']
VFB_00016209	VGlut-F-200107	['adult neuron']
VFB_00016220	VGlut-F-200115	['adult ALl1 lineage neuron', 'adult multiglomerular antennal lobe projection neuron', 'antennal lobe projection neuron of ALl1 lineage', 'medial antennal lobe tract projection neuron']
VFB_00016221	VGlut-F-200116	['adult neuron']
VFB_00016222	VGlut-F-200117	['adult neuron']
VFB_00016223	VGlut-F-300093	['adult neuron']
VFB_00016224	VGlut-F-300094	['adult neuron']
VFB_00016225	VGlut-F-300095	['adult neuron']
VFB_00016226	VGlut-F-300096	['adult neuron']
VFB_00016210	VGlut-F-200108	['alpha/beta core Kenyon cell']
VFB_00016211	VGlut-F-200109	['adult neuron']
VFB_00016212	VGlut-F-200110	['adult neuron']
VFB_00016213	VGlut-F-200111	['adult neuron']
VFB_00016214	VGlut-F-300092	['adult neuron']
VFB_00016215	VGlut-F-000178	['adult neuron']
VFB_00016216	VGlut-F-000179	['adult neuron']
VFB_00016217	VGlut-F-200112	['adult neuron']
VFB_00016218	VGlut-F-200113	['adult neuron']
VFB_00016219	VGlut-F-200114	['adult neuron']
VFB_00016180	VGlut-F-300088	['adult neuron']
VFB_00016181	VGlut-F-000158	['adult neuron']
VFB_00016182	VGlut-F-000159	['adult neuron']
VFB_00016183	VGlut-F-000160	['adult neuron']
VFB_00016184	VGlut-F-000161	['adult neuron']
VFB_00016185	VGlut-F-300089	['adult neuron']
VFB_00016186	VGlut-F-000162	['adult neuron']
VFB_00016187	VGlut-F-400100	['adult neuron']
VFB_00016188	VGlut-F-400101	['adult neuron']
VFB_00016189	VGlut-F-400102	['alpha/beta posterior Kenyon cell']
VFB_00016170	VGlut-F-300086	['adult neuron']
VFB_00016171	VGlut-F-000149	['adult neuron']
VFB_00016172	VGlut-F-000150	['adult neuron']
VFB_00016173	VGlut-F-000151	['antennal mechanosensory and motor center local AMMC-AMMC 2 neuron']
VFB_00016174	VGlut-F-000152	['adult neuron']
VFB_00016175	VGlut-F-000153	['adult neuron']
VFB_00016176	VGlut-F-000154	['adult neuron']
VFB_00016177	VGlut-F-400097	['adult neuron']
VFB_00016178	VGlut-F-400098	['lobula columnar neuron LC4']
VFB_00016179	VGlut-F-400099	['adult neuron']
VFB_00016190	VGlut-F-000163	['adult neuron']
VFB_00016191	VGlut-F-000164	['adult neuron']
VFB_00016192	VGlut-F-400103	['adult neuron']
VFB_00016193	VGlut-F-000165	['adult intrinsic protocerebral bridge 18 glomeruli-2 glomeruli neuron']
VFB_00016194	VGlut-F-000166	['adult neuron']
VFB_00016195	VGlut-F-000167	['adult neuron']
VFB_00016196	VGlut-F-000168	['adult neuron']
VFB_00016197	VGlut-F-000169	['adult neuron']
VFB_00016198	VGlut-F-000170	['adult neuron']
VFB_00016199	VGlut-F-000171	['adult neuron']
VFB_00016000	VGlut-F-100033	['adult neuron']
VFB_00016001	VGlut-F-400085	['adult neuron']
VFB_00016002	VGlut-F-400086	['adult multiglomerular antennal lobe projection neuron vPN', 'mediolateral antennal lobe tract projection neuron']
VFB_00016003	VGlut-F-000072	['adult neuron']
VFB_00016004	VGlut-F-000073	['adult neuron']
VFB_00016005	VGlut-F-000074	['adult neuron']
VFB_00016006	VGlut-F-400087	['adult neuron']
VFB_00016007	VGlut-F-400088	['adult neuron']
VFB_00016008	VGlut-F-000075	"[""adult alpha'/beta' Kenyon cell""]"
VFB_00016009	VGlut-F-400089	['adult neuron']
VFB_00016020	VGlut-F-000082	['adult neuron']
VFB_00016021	VGlut-F-000083	['adult neuron']
VFB_00016022	VGlut-F-500059	['adult neuron']
VFB_00016023	VGlut-F-500061	['adult neuron']
VFB_00016024	VGlut-F-500062	['adult neuron']
VFB_00016025	VGlut-F-500063	['alpha/beta surface Kenyon cell']
VFB_00016026	VGlut-F-500064	['antennal mechanosensory and motor center local AMMC-AMMC 2 neuron']
VFB_00016027	VGlut-F-500065	['adult neuron']
VFB_00016028	VGlut-F-500066	['adult neuron']
VFB_00016029	VGlut-F-000084	['adult neuron']
VFB_00016010	VGlut-F-400090	['adult neuron']
VFB_00016011	VGlut-F-400091	['adult neuron']
VFB_00016012	VGlut-F-400092	['adult neuron']
VFB_00016013	VGlut-F-000076	['adult neuron']
VFB_00016014	VGlut-F-000077	['adult neuron']
VFB_00016015	VGlut-F-000078	['adult neuron']
VFB_00016016	VGlut-F-100034	['adult neuron']
VFB_00016017	VGlut-F-000079	['adult neuron']
VFB_00016018	VGlut-F-000080	['adult neuron']
VFB_00016019	VGlut-F-000081	['adult neuron']
VFB_00016040	VGlut-F-500077	['adult ALl1 lineage neuron', 'adult multiglomerular antennal lobe projection neuron', 'antennal lobe projection neuron of ALl1 lineage', 'medial antennal lobe tract projection neuron']
VFB_00016041	VGlut-F-000088	['adult neuron']
VFB_00016042	VGlut-F-100035	['adult neuron']
VFB_00016043	VGlut-F-100036	['adult neuron']
VFB_00016044	VGlut-F-100037	['adult neuron']
VFB_00016045	VGlut-F-100038	['antennal mechanosensory and motor center local AMMC anterolateral neuron']
VFB_00016046	VGlut-F-100039	['adult neuron']
VFB_00016047	VGlut-F-100040	['adult neuron']
VFB_00016048	VGlut-F-500078	['adult neuron']
VFB_00016049	VGlut-F-500079	['adult neuron']
VFB_00016030	VGlut-F-500067	['antennal mechanosensory and motor center local AMMC anterolateral neuron']
VFB_00016031	VGlut-F-500068	['adult neuron']
VFB_00016032	VGlut-F-500069	['adult neuron']
VFB_00016033	VGlut-F-500073	['adult neuron']
VFB_00016034	VGlut-F-500074	['adult neuron']
VFB_00016035	VGlut-F-000085	['adult neuron']
VFB_00016036	VGlut-F-000086	['adult neuron']
VFB_00016037	VGlut-F-000087	['adult neuron']
VFB_00016038	VGlut-F-500075	['adult antennal lobe projection neuron DL2d adPN']
