vfb_id	vfb_label	skid	is_deprecated
FBrf0255530		17697522	False
Gorko2024	EM FAFB Gorko et al 2024	17697497	False
FBrf0256726		17675931	False
VFB_00101292	AV4a1#1	1288534	False
VFB_00101163	PN glomerulus VA6 017 DB	33	False
VFB_00101301	AV4c1#1	1812530	False
VFB_0010003r	PV4c2#1 (FAFB:14809659)	14809659	False
VFB_00101314	PV4c2#1	2391559	False
VFB_00101337	WED-PN2#1	3950037	False
VFB_0010003s	PN glomerulus VA6 017 DB	42	False
VFB_001013tf	Uniglomerular t10-lALT VP3+ l2PN bilateral#R1 (FAFB:16483918)	16483918	False
VFB_00101141	VP5+ and SEZ PN mALT 57472 LK ECM	57471	False
Zhao2023	EM FAFB Zhao et al., 2023	17687355	False
doi_10_1101_2022_12_14_520178	Zhao et al., 2023	17687355	False
TaiszGalili2022	EM FAFB Taisz and Galili et al., 2022	17675931	False
doi_10_1101_2022_05_13_491877v3	Taisz & Galili et al., 2022	17675931	False
Zheng2020	EM FAFB Zheng et al 2020 (published 2022)	17684440	False
Shiu2022	EM FAFB Shiu et al. 2022	17684289	False
Engert2022	EM FAFB Engert et al. 2022	17682008	False
FBrf0254006		17684289	False
FBrf0254218		17684440	False
FBrf0253662		17682008	False
Baltruschat2021	EM FAFB Baltruschat et al 2021	17515091	False
FBrf0248487		17515091	False
Wang2020c	EM FAFB Wang et al 2020c	16830656	False
FBrf0247919		16830656	False
Kind2021	EM FAFB Kind et al. 2021	17673199	False
FBrf0247630		16830912	False
Morimoto2020	EM FAFB Morimoto et al 2020	16830912	False
HampelEichler2020	EM FAFB Hampel and Eichler et al 2020	16857700	False
FBrf0247223		16857700	False
FBrf0245074		16337827	False
Wang2020a	EM FAFB Wang et al 2020a	16337827	False
Wang2020b	EM FAFB Wang et al 2020b	16337677	False
Zheng2018	EM FAFB Zheng et al 2018	11490509	False
Dolan2018	EM FAFB Dolan and Belliart-Guerin et al. 2018	13040382	False
FBrf0242477		15754283	False
FafbDolan2019	EM FAFB Dolan et al. 2019	15754283	False
doi_10_1016_j_cub_2020_06_028	Marin et al., 2020	15579831	False
doi_10_1016_j_cub_2020_06_042	Bates and Schlegel et al., 2020	15754279	False
Sayin2019	EM FAFB Sayin et al 2019	13500459	False
Kim2020	EM FAFB Kim et al 2020	14896682	False
Felsenberg2018	EM FAFB Felsenberg et al. 2018	12823574	False
Zheng2020	EM FAFB Zheng et al 2020 (published 2022)	15549507	False
Otto2020	EM FAFB Otto et al 2020	15754388	False
FBrf0246510		15754388	False
BatesSchlegel2020	EM FAFB Bates and Schlegel et al 2020	15754279	False
Marin2020	EM FAFB Marin et al 2020	15579831	False
doi_10_1523_JNEUROSCI_0552-20_2020	Coates et al., 2020	15981708	False
doi_10_1016_j_neuron_2020_08_006	Turner-Evans et al., 2020	16232065	False
Coates2020	EM FAFB Coates et al 2020	15981708	False
Turner_Evans2020	EM FAFB Turner-Evans et al 2020	16232065	False
FBrf0246914		16337677	False
