skid	name	paper_id	paper_name	FBbt_ID
289	neuron 290	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74452	neuron 74453	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74441	neuron 74442	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74430	neuron 74431	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74415	neuron 74416	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74385	neuron 74386	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74335	neuron 74336	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74463	neuron 74464	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74302	neuron 74303	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74256	neuron 74257	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74240	neuron 74241	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
73243	neuron 73244	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
73238	neuron 73239	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
73233	neuron 73234	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
73228	neuron 73229	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74287	neuron 74288	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74474	neuron 74475	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74544	neuron 74545	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74548	neuron 74549	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74968	neuron 74969	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74946	neuron 74947	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74933	neuron 74934	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74907	neuron 74908	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74889	neuron 74890	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74868	neuron 74869	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74856	neuron 74857	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74844	neuron 74845	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74833	neuron 74834	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74816	neuron 74817	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74787	neuron 74788	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74728	neuron 74729	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74699	neuron 74700	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74682	neuron 74683	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
74569	neuron 74570	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
73223	neuron 73224	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
75009	neuron 75010	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
73213	neuron 73214	671028	Paper: Phelps, Hildebrand, Graham et al. 2020	
