skid	name	paper_id	paper_name
19243093	lch R	19428541	Valdes-Aleman et al. 2021
19243635	lch R	19428541	Valdes-Aleman et al. 2021
19246323	lch R	19428541	Valdes-Aleman et al. 2021
19248185	lch R	19428541	Valdes-Aleman et al. 2021
19249025	lch R	19428541	Valdes-Aleman et al. 2021
19250754	Basin-4 R	19428541	Valdes-Aleman et al. 2021
19258184	Basin R	19428541	Valdes-Aleman et al. 2021
19259770	Basin-3 R	19428541	Valdes-Aleman et al. 2021
19263014	vch R	19428541	Valdes-Aleman et al. 2021
19265095	lch L	19428541	Valdes-Aleman et al. 2021
19265099	vch L	19428541	Valdes-Aleman et al. 2021
19265228	vch L	19428541	Valdes-Aleman et al. 2021
19267516	vch L	19428541	Valdes-Aleman et al. 2021
19271281	vch R	19428541	Valdes-Aleman et al. 2021
19274014	lch L	19428541	Valdes-Aleman et al. 2021
19276153	lch L	19428541	Valdes-Aleman et al. 2021
19276643	lch L	19428541	Valdes-Aleman et al. 2021
19277285	lch L	19428541	Valdes-Aleman et al. 2021
19278280	Basin L	19428541	Valdes-Aleman et al. 2021
19279542	Basin L	19428541	Valdes-Aleman et al. 2021
19282841	Basin L	19428541	Valdes-Aleman et al. 2021
19285219	Basin L	19428541	Valdes-Aleman et al. 2021
19359784	Basin-2? R	19428541	Valdes-Aleman et al. 2021
19360016	Ladder	19428541	Valdes-Aleman et al. 2021
19360889	vch R	19428541	Valdes-Aleman et al. 2021
19362425	Ladder	19428541	Valdes-Aleman et al. 2021
19363858	Ladder	19428541	Valdes-Aleman et al. 2021
19365763	Ladder a	19428541	Valdes-Aleman et al. 2021
19369066	Ladder b?	19428541	Valdes-Aleman et al. 2021
19371905	Ladder e	19428541	Valdes-Aleman et al. 2021
19386927	Drunken-1 R	19428541	Valdes-Aleman et al. 2021
19388865	Drunken-1 L	19428541	Valdes-Aleman et al. 2021
19398086	Griddle-2 L	19428541	Valdes-Aleman et al. 2021
19401027	Griddle-1 L	19428541	Valdes-Aleman et al. 2021
19403102	Griddle-1 R	19428541	Valdes-Aleman et al. 2021
19405635	Griddle-2 R	19428541	Valdes-Aleman et al. 2021
