skid	name	paper_id	paper_name	annotations	synonyms	FBbt_ID
999558	right DNg75	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right DNg75 (17698014), FBbt:20007514 (17698249)	Right DNgX 999559 ME	
1002425	right uLPTCrn#2	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right uLPTCrn#2 (17698054)	Right uLPTCrn 1002426 ME	
1006243	left cLPTCrn#1	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left cLPTCrn#1 (17697964), FBbt:20001834 (17698215)	Left cLPTCrn 1006244 SI	
1027140	left cLPTCrn#2	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left cLPTCrn#2 (17697966), FBbt:20001834 (17698215)	Left cLPTCrn 1027141 SI	
1051519	right cLPTCrn#1	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right cLPTCrn#1 (17697980), FBbt:20001834 (17698215)	Right cLPTCrn 1051520 SI	
1077174	right dCH	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right dCH (17698086)	DCH neuron (right) 1077175 ZSG-GA	
1078535	right vCH	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right vCH (17698088)	VCH neuron (right) 1078536 GA-ZSG	
1934540	right bLPTCrn#5	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right bLPTCrn#5 (17697962), FBbt:20001833 (17698203)	Putative Right bLPTCrn 1934541 ME	
2500745	right uLPTCrn#4	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right uLPTCrn#4 (17698058)	Right uLPTCrn 2500746 ME	
2544667	right uLPTCrn#5	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right uLPTCrn#5 (17698060)	Right uLPTCrn 2544668 ME	
2549437	right uLPTCrn#6	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right uLPTCrn#6 (17698062)	Right uLPTCrn 2549438 ME	
2560371	right cLPTCrn#2	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right cLPTCrn#2 (17697982), FBbt:20001834 (17698215)	Right cLPTCrn 2560372 ME	
2725484	left cLPTCrn#3	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left cLPTCrn#3 (17697968), FBbt:20001834 (17698215)	Left cLPTCrn 2725485 ME	
2918804	right uLPTCrn#1	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right uLPTCrn#1 (17698052)	Right uLPTCrn 2918805 PG ME	
2919033	left bLPTCrn#1	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left bLPTCrn#1 (17697942), FBbt:20001833 (17698203)	Left bLPTCrn 2919034 ME	
2948698	right GNG neuron#1	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right GNG neuron#1 (17698082)	GNG neuron 2948699 ME	
3029743	right bIPS	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right bIPS (17697940)	Right bIPS neuron 3029744 ME	
3768170	left H2rn#1	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left H2rn#1 (17698020)	Left H2rn 3768171 ME	
3768475	left uLPTCrn#1	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left uLPTCrn#1 (17698068)	Left uLPTCrn 3768476 ME	
3806558	left bLPTCrn#2	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left bLPTCrn#2 (17697944), FBbt:20001833 (17698203)	Left bLPTCrn 3806559 ME	
4058824	right HSS	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right HSS (17698100), FBbt:00003920 (17698272)	Putative HSS 408972 SJH ZSG	
4475069	left uLPTCrn#2	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left uLPTCrn#2 (17698070)	Left uLPTCrn 4475070 ME	
4577828	left uLPTCrn#3	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left uLPTCrn#3 (17698072)	Left uLPTCrn 4577829 ME	
4592459	left uLPTCrn#4	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left uLPTCrn#4 (17698074)	Left uLPTCrn 4592460 ME	
4797211	left uLPTCrn#5	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left uLPTCrn#5 (17698076)	Left uLPTCrn 4797212 ME	
4880580	Right S-Neuron#1	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), Right S-Neuron#1 (17698046), FBbt:00049818 (17698261)	Right S-Neuron 4880581 ME	
4881421	left cLPTCrn#6	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left cLPTCrn#6 (17697974), FBbt:20001834 (17698215)	Left cLPTCrn 4881422 ME	
