vfb_id	vfb_label	skid	is_deprecated
VFB_00100191	3rd-order Thermo right; CPLd interneuron (L1EM:8598886)	8598886	True
VFB_00100971	L1 CNS neuron Neuron 18507413 with a soma(L1EM:18507412)	18507412	True
VFB_00101002	L1 CNS neuron SN motor neuron a1r(L1EM:4114921)	4114921	True
VFB_00101095	putative class III or es (L1EM:367872)	367872	True
VFB_00102245	L1 CNS neuron MN6/7 RP3_a1r(L1EM:14238853)	14238853	True
VFB_00102247	L1 CNS neuron MN6/7 RP3_a1l(L1EM:14478517)	14478517	True
VFB_001001s5	BLAv12 pos s 3 Right (L1EM:16698702)	16698702	True
VFB_0010021c	BAmv12 dor s 8 Left (L1EM:19402006)	19402006	True
VFB_0010158m	vdaB_a2r (L1EM:2629819)	2629819	True
