vfb_id	vfb_label	skid	is_deprecated
VFB_00101141	VP5+ and SEZ PN mALT 57472 LK ECM	57471	True
VFB_00101163	PN glomerulus VA6 017 DB	33	True
VFB_00101292	AV4a1#1	1288534	True
VFB_00101301	AV4c1#1	1812530	True
VFB_00101314	PV4c2#1	2391559	True
VFB_00101337	WED-PN2#1	3950037	True
VFB_0010003r	PV4c2#1 (FAFB:14809659)	14809659	True
VFB_0010003s	PN glomerulus VA6 017 DB	42	True
VFB_001013tf	Uniglomerular t10-lALT VP3+ l2PN bilateral#R1 (FAFB:16483918)	16483918	True
