Paper_ID	CATMAID_name	VFB_name	CATMAID_SKIDs	VFB_SKIDS	CATMAID_not_VFB	VFB_not_CATMAID	neuron_only
19428580	Valdes-Aleman et al. 2021		24	0	24	0	0
19428820	Ohyama, Schneider-Mizell et al. 2015		36	0	36	0	0
19428852	Schneider-Mizell, Gerhard et al. 2016		260	0	260	0	0
