FBbt_ID	FBbt_label	times_added	times_removed
FBbt_00111752	lobula columnar neuron LC17	175	0
FBbt_00003835	proximal medullary amacrine neuron Pm2	174	0
FBbt_00007414	adult multiglomerular antennal lobe projection neuron vPN	170	75
FBbt_00047717	mediolateral antennal lobe tract projection neuron	169	0
FBbt_00052860	transmedullary Y neuron TmY20	167	0
FBbt_00049899	BAmd1 Notch ON hemilineage neuron	166	0
FBbt_00003832	proximal medullary amacrine neuron	162	0
FBbt_00050168	adult LALv1 lineage neuron	161	0
FBbt_00048301	adult ascending neuron	159	2
FBbt_00049895	DALcm1 Notch ON hemilineage neuron	159	0
FBbt_00050251	adult VPNp1 lineage neuron	157	0
FBbt_20007248	obsolete adult medulla-lobula neuron MeLo1	155	0
FBbt_00111284	medulla intrinsic neuron Mi14	155	0
FBbt_00110406	adult VPNv2 lineage neuron	151	0
FBbt_00058227	lobula-lobula plate columnar neuron LLPC1	142	0
FBbt_00111747	lobula columnar neuron LC10a	140	0
FBbt_00053280	secondary motor neuron	140	0
FBbt_00100389	adult antennal lobe projection neuron DL2d adPN	139	0
FBbt_00111273	distal medullary amacrine neuron Dm12	137	0
FBbt_00111271	distal medullary amacrine neuron Dm9	135	0
FBbt_00111746	lobula columnar neuron LC10c	132	0
FBbt_00050227	adult VLPl2 lineage neuron	132	0
FBbt_00050132	adult VLPp&l1 lineage neuron	127	0
FBbt_00052853	lobula-lobula plate columnar neuron LLPC2	125	0
FBbt_00111768	medulla columnar neuron MC62	124	0
FBbt_00003833	proximal medullary amacrine neuron Pm1	121	0
FBbt_00100480	lobula columnar neuron LC9	115	0
FBbt_00047105	Notch OFF hemilineage primary neuron	114	0
FBbt_00052854	lobula-lobula plate columnar neuron LLPC3	112	0
FBbt_00007402	GABAergic local interneuron of the adult antennal lobe	112	0
FBbt_20007234	lobula intrinsic neuron Li14	112	0
FBbt_20007272	obsolete adult CB3857 neuron	111	0
FBbt_00048246	transmedullary Y neuron TmY15	110	0
FBbt_00058203	adult octopaminergic neuron	109	2
FBbt_00111767	lobula plate columnar neuron LPC1	109	0
FBbt_00111748	lobula columnar neuron LC10d	106	0
FBbt_20007263	adult Li21 neuron	104	0
FBbt_00111753	lobula columnar neuron LC18	104	0
FBbt_00007403	cholinergic local interneuron of the adult antennal lobe	103	0
FBbt_00003859	lobula tangential neuron	101	12
FBbt_20007247	adult central medulla neuron Cm11	101	0
FBbt_00050263	adult LHl4 lineage neuron	96	0
FBbt_00050162	adult VPNp&v1 lineage neuron	95	0
FBbt_00050064	adult AOTUv4 lineage neuron	94	0
FBbt_00111751	lobula columnar neuron LC16	94	0
FBbt_00100485	lobula columnar neuron LC13	94	0
FBbt_20007260	obsolete adult CB3845 neuron	92	0
FBbt_00111763	lobula plate-lobula columnar neuron LPLC2	91	0
FBbt_00052862	Y neuron Y12	89	0
FBbt_20007235	adult CB3820 neuron	89	0
FBbt_00111282	proximal medullary amacrine neuron Pm4	85	0
FBbt_00111272	distal medullary amacrine neuron Dm11	84	0
FBbt_00050209	adult VLPd&p1 lineage neuron	82	0
FBbt_00050144	adult DM6 lineage neuron	80	1
FBbt_00052859	transmedullary Y neuron TmY16	80	0
FBbt_00111756	lobula columnar neuron LC21	78	0
FBbt_00052852	lobula plate columnar neuron LPC2	78	0
FBbt_00004252	prothoracic leg sensillum	76	0
FBbt_00052861	Y neuron Y11	76	0
FBbt_00100483	lobula columnar neuron LC11	75	0
FBbt_00048286	adult visual projection neuron	75	0
FBbt_00111277	distal medullary amacrine neuron Dm16	75	0
FBbt_20007271	obsolete adult CB3856 neuron	73	0
FBbt_00050129	adult AOTUv3 lineage neuron	73	0
FBbt_20007251	adult medulla-lobula neuron MeLo2	71	0
FBbt_00111755	lobula columnar neuron LC20	70	0
FBbt_00051463	hemilineage 12A secondary neuron	70	0
FBbt_00052864	obsolete translobula plate neuron Tlp12(1)	68	0
FBbt_00048900	lineage 15 secondary neuron	68	0
FBbt_00007440	adult uniglomerular antennal lobe projection neuron	67	23
FBbt_00111762	lobula plate-lobula columnar neuron LPLC1	66	0
FBbt_00111750	lobula columnar neuron LC15	65	0
FBbt_00003876	lobula columnar neuron LC6	65	0
FBbt_20007243	adult Li34 neuron	64	0
FBbt_00050260	adult VLPl4 lineage neuron	64	0
FBbt_00050183	adult AOTUv2 lineage neuron	63	0
FBbt_00003890	translobula plate neuron	62	0
FBbt_00050269	adult SLPal2 lineage neuron	62	0
FBbt_00059274	adult CNS neuron	62	2
FBbt_00050242	adult WEDd1 lineage neuron	61	0
FBbt_20007270	obsolete adult central medulla neuron Cm14	60	0
FBbt_20007238	adult Li23 neuron	60	0
FBbt_20007245	adult Li25 neuron	60	0
FBbt_00110138	glutamatergic local interneuron of the adult antennal lobe	60	0
FBbt_00052518	primary motor neuron	60	0
FBbt_00111289	lobula plate intrinsic neuron LPi3-4	58	111
FBbt_20007241	obsolete adult CB3826 neuron	58	0
FBbt_00052865	obsolete translobula plate neuron Tlp13(1)	58	0
FBbt_00051299	adult olfactory projection neuron	57	0
FBbt_00052858	lobula plate intrinsic neuron LPi34-12	57	92
FBbt_00003874	lobula columnar neuron LC4	55	55
FBbt_00049542	Notch OFF hemilineage secondary neuron	54	0
FBbt_00111759	lobula columnar neuron LC24	54	0
FBbt_00050266	adult SLPav1 lineage neuron	52	0
FBbt_00100734	DALv3 lineage neuron	52	0
FBbt_00050111	adult PSa1 lineage neuron	52	0
FBbt_20007289	adult lobula plate tangential neuron LPT111	51	0
FBbt_00100482	lobula columnar neuron LC10	50	0
FBbt_00049465	adult SMPad1 lineage neuron	50	0
FBbt_00111765	lobula plate-lobula columnar neuron LPLC4	49	0
FBbt_20007610	adult medulla visual projection neuron MeVP6	49	0
FBbt_00111745	lobula columnar neuron LC10b	48	0
FBbt_00003771	distal medullary amacrine neuron Dm4	48	0
FBbt_00003746	lamina intrinsic neuron Lai	48	0
FBbt_00111281	distal medullary amacrine neuron Dm20	48	0
FBbt_00050138	adult EBa1 lineage neuron	48	0
FBbt_00048926	NB2-3 lineage neuron	47	0
FBbt_00050034	adult LHl2 lineage neuron	46	0
FBbt_00100486	lobula columnar neuron LC14	45	0
FBbt_00050126	adult SLPad1 lineage neuron	45	0
FBbt_00100663	BAlp2 lineage neuron	45	0
FBbt_00049825	adult Kenyon cell	45	0
FBbt_00050135	adult VLPa2 lineage neuron	44	0
FBbt_00111749	adult contralateral medulla LC14 neuron	43	0
FBbt_20007233	adult medulla-lobula neuron MeLo9	42	0
FBbt_00050114	adult SMPpv2 lineage neuron	42	0
FBbt_00004449	dorsal margin photoreceptor cell R7	42	0
FBbt_00004209	dorsal margin photoreceptor cell R8	41	0
FBbt_00053100	motor neuron of adult dorsal prothoracic nerve	40	0
FBbt_00050195	adult SMPp&v1 lineage neuron	40	0
FBbt_00050088	adult WEDa1 lineage neuron	39	0
FBbt_00050224	adult AOTUv1 lineage neuron	39	0
