skid	name	paper_id	paper_name	fbbt_id	FBbt_ID
23829	PN glomerulus DL4 23830 JMR	11490509	Paper: Zheng et al 2018	FBbt:00100382	
24251	PN glomerulus VM7v 24252 LK	11490509	Paper: Zheng et al 2018		
24622	PN glomerulus D 24623 CF	11490509	Paper: Zheng et al 2018	FBbt:00067355	
24726	PN glomerulus VM1 24727 BH	11490509	Paper: Zheng et al 2018	FBbt:00007452	
27048	PN glomerulus DP1l 27049 BH	11490509	Paper: Zheng et al 2018	FBbt:00007475	
27246	PN glomerulus VM3 27247 JMR	11490509	Paper: Zheng et al 2018	FBbt:00100481	
27295	PN glomerulus DA1 27296 BH	11490509	Paper: Zheng et al 2018	FBbt:00067363	
27611	PN glomerulus DM5 27612 JMR	11490509	Paper: Zheng et al 2018	FBbt:00067367	
27884	PN glomerulus V bilateral 27885 JMR	11490509	Paper: Zheng et al 2018	FBbt:00003995	
28876	PN glomerulus DM3 28877 JMR	11490509	Paper: Zheng et al 2018	FBbt:00067017	
30434	PN glomerulus VM5v 30435 BH	11490509	Paper: Zheng et al 2018	FBbt:00100386	
30591	MBON-Calyx#1	12870485	Paper: Dolan et al. 2019	FBbt:00100240	
30591	MBON-Calyx#1	11490509	Paper: Zheng et al 2018	FBbt:00100240	
30791	PN glomerulus DL2d 30792 BH	11490509	Paper: Zheng et al 2018	FBbt:00100389	
30891	PN glomerulus DM1 30892 BH	11490509	Paper: Zheng et al 2018	FBbt:00067369	
32214	PN glomerulus VA7m 32215 BH	11490509	Paper: Zheng et al 2018	FBbt:00067365	
32399	PN glomerulus DC3 32400 AA	11490509	Paper: Zheng et al 2018	FBbt:00040000	
33903	PN glomerulus DL3 33904 JMR	11490509	Paper: Zheng et al 2018	FBbt:00067364	
35246	PN glomerulus D 35247 AA	11490509	Paper: Zheng et al 2018	FBbt:00067355	
35447	PN glomerulus VM5d 35448 AA	11490509	Paper: Zheng et al 2018	FBbt:00100385	
36108	PN glomerulus VA7m 36109 BH	11490509	Paper: Zheng et al 2018	FBbt:00067365	
36390	PN glomerulus VA1d 36391 BH	11490509	Paper: Zheng et al 2018	FBbt:00067357	
37212	Multiglomerular PN unknown 37213 JMR	11490509	Paper: Zheng et al 2018	FBbt:00007441	
37235	Multiglomerular PN unknown 37236 JMR	11490509	Paper: Zheng et al 2018	FBbt:00007441	
37250	PN glomerulus DA4m 37251 JMR	11490509	Paper: Zheng et al 2018		
37513	VP3 PN mALT bilateral 37489 AJ	11490509	Paper: Zheng et al 2018	FBbt:00111339	
37935	PN glomerulus VC4 37936 CF	11490509	Paper: Zheng et al 2018	FBbt:00100383	
38885	PN glomerulus DA2 38886 BH	11490509	Paper: Zheng et al 2018	FBbt:00110882	
39139	PN glomerulus VM5d 39140 CF	11490509	Paper: Zheng et al 2018	FBbt:00100385	
39254	PN putative glomerulus VC5 39255 JMR	11490509	Paper: Zheng et al 2018	FBbt:00007440	
39668	PN glomerulus DL5 39669 JMR	11490509	Paper: Zheng et al 2018	FBbt:00067028	
39682	PN glomerulus DM4 39683 JMR	11490509	Paper: Zheng et al 2018	FBbt:00100381	
40306	PN glomerulus VM7d 40307 CF	11490509	Paper: Zheng et al 2018		
40637	PN glomerulus D 40638 BH	11490509	Paper: Zheng et al 2018	FBbt:00067355	
40749	PN glomerulus DA4l 40750 BH	11490509	Paper: Zheng et al 2018	FBbt:00100367	
41308	PN glomerulus VM3 41309 BH	11490509	Paper: Zheng et al 2018	FBbt:00100481	
41578	PN glomerulus VC3l 41579 AJ	11490509	Paper: Zheng et al 2018		
42421	PN glomerulus VA1d 42422 JMR	11490509	Paper: Zheng et al 2018	FBbt:00067357	
42927	PN glomerulus VC4 42928 JMR	11490509	Paper: Zheng et al 2018	FBbt:00100383	
43539	PN glomerulus VM7v 43540 CF	11490509	Paper: Zheng et al 2018	FBbt:00007454	
45242	PN glomerulus VC2 45243 AA	11490509	Paper: Zheng et al 2018	FBbt:00007449	
45882	VP3 PN mALT bilateral 45883 AA ECM	11490509	Paper: Zheng et al 2018	FBbt:00111339	
46105	Bilateral VP5 + VP1m PN mALT 46106 AA ECM	11490509	Paper: Zheng et al 2018	FBbt:00007440	
46493	PN glomerulus DC4 46494 JMR	11490509	Paper: Zheng et al 2018	FBbt:00111211	
46800	PN glomerulus VC3l 46801 JMR	11490509	Paper: Zheng et al 2018		
49026	adPN polyL 49027 AJ	11490509	Paper: Zheng et al 2018	FBbt:00007441	
49865	PN glomerulus VM5d 49866 JMR	11490509	Paper: Zheng et al 2018	FBbt:00100385	
51080	PN glomerulus VA1v 57251 LK	11490509	Paper: Zheng et al 2018	FBbt:00067361	
51886	PN glomerulus VM2 51887 AA	11490509	Paper: Zheng et al 2018	FBbt:00067359	
52106	PN glomerulus VA1v 52107 AA	11490509	Paper: Zheng et al 2018	FBbt:00067361	
53631	PN glomerulus DA2 53632 AA	11490509	Paper: Zheng et al 2018	FBbt:00110882	
53671	PN glomerulus VM5v 53672 AA	11490509	Paper: Zheng et al 2018	FBbt:00100386	
54072	PN glomerulus VM2 54073 JMR	11490509	Paper: Zheng et al 2018	FBbt:00067359	
55085	PN glomerulus VC4 55086 AJ	11490509	Paper: Zheng et al 2018	FBbt:00100383	
55125	PN glomerulus VA1v 55126 BH	11490509	Paper: Zheng et al 2018	FBbt:00067361	
56424	PN glomerulus DM2 56425 BH	11490509	Paper: Zheng et al 2018	FBbt:00067368	
56623	PN glomerulus DL2v 56624 BH	11490509	Paper: Zheng et al 2018	FBbt:00100388	
57003	PN glomerulus lvVM4 57004 ML	11490509	Paper: Zheng et al 2018		
57241	PN glomerulus DC3 57242 ML	11490509	Paper: Zheng et al 2018	FBbt:00040000	
57246	PN glomerulus VA1v 57247 HG	11490509	Paper: Zheng et al 2018	FBbt:00067361	
