filename	label	is_a	part_of	dbxrefs	synonyms
488055	LHAV4c1#1 (488055)	neuron	female organism|adult brain	catmaid_fafb:488055	LHAV4c1#1 488056 downstream DA1 GSXEJ
533772	LHAD3a1#1 (533772)	neuron	female organism|adult brain	catmaid_fafb:533772	LHAD3a1#1 533773 Vulture GSXEJ
556874	LHPV5a3#2 (556874)	neuron	female organism|adult brain	catmaid_fafb:556874	LHPV5a3#1 556875 Buzzard DB ASB
1102557	LHPV6c1#2 (1102557)	neuron	female organism|adult brain	catmaid_fafb:1102557	LHPV6c1#2 1102558 Albatross JMR ARH
1103232	LHPV4c4#2 (1103232)	neuron	female organism|adult brain	catmaid_fafb:1103232	LHPV4c4#2 1103233 RJVR
1149437	aSP-g1b#2 (1149437)	neuron	female organism|adult brain	catmaid_fafb:1149437	aSP-g1b#2 1149438 IT
1313334	WEDPN3#3 (1313334)	neuron	female organism|adult brain	catmaid_fafb:1313334	WEDPN3#3 1313335 Athens ASB
1415926	LHAV6a1#1 (1415926)	neuron	female organism|adult brain	catmaid_fafb:1415926	LHAV6a1#1 1415927 Haddock ASB
1478950	PPL203#1 (1478950)	neuron	female organism|adult brain	catmaid_fafb:1478950	PPL203#1 1478951 NM ASB
1546454	FB2H#1 (1546454)	neuron	female organism|adult brain	catmaid_fafb:1546454	FB2H#1 1546455 AES
1621078	LHPV5g1#1 (1621078)	neuron	female organism|adult brain	catmaid_fafb:1621078	LHPV5g1#1 1621079 Canary ASB
1703872	LHPV2a2#1 (1703872)	neuron	female organism|adult brain	catmaid_fafb:1703872	LHPV2a2#1 1703873 FML Beech - downstream of DA2
1710793	LHPV4a1#3 (1710793)	neuron	female organism|adult brain	catmaid_fafb:1710793	LHPV4a1#3 1710794 Tipi ASB RJVR
1853423	LHAV4a4#2 (1853423)	neuron	female organism|adult brain	catmaid_fafb:1853423	LHAV4a4#2 1853424 Accursed RJVR - check FML
1869224	LHPV4b9#1 (1869224)	neuron	female organism|adult brain	catmaid_fafb:1869224	LHPV4b9#1 1869225 Baza ASB
1870230	LHAV2a3#1 (1870230)	neuron	female organism|adult brain	catmaid_fafb:1870230	LHAV2a3#1 1870231 RJVR AJES PS
1879479	LHAD1f4#1 (1879479)	neuron	female organism|adult brain	catmaid_fafb:1879479	LHAD1f4#1 1879480 Aspis-like
1911124	LHAV4a4#1 (1911124)	neuron	female organism|adult brain	catmaid_fafb:1911124	LHAV4a4#1 1911125 FML PS RJVR
1967862	LHAV1a2#1 (1967862)	neuron	female organism|adult brain	catmaid_fafb:1967862	LHAV1a2#1 1967863 Pheasant AJES
1967891	LHAV4b2#1 (1967891)	neuron	female organism|adult brain	catmaid_fafb:1967891	LHAV4b2#1 1967892 Sea-eagle PS
2050698	LHAV4e7#1 (2050698)	neuron	female organism|adult brain	catmaid_fafb:2050698	LHAV4e7#1 2050699 ASB
2096700	LHPV4b3#2 (2096700)	neuron	female organism|adult brain	catmaid_fafb:2096700	LHPV4b3#2 2096701 Phil Harris RJVR
2130631	LHPV6a3#2 (2130631)	neuron	female organism|adult brain	catmaid_fafb:2130631	LHPV6a3#2 2130632 Wilson FML ASB 
2153398	WEDPN4#1 (2153398)	neuron	female organism|adult brain	catmaid_fafb:2153398	WEDPN4#1 2153399 Double Trouble RJVR ASB
2198365	LHAV2b2#1 (2198365)	neuron	female organism|adult brain	catmaid_fafb:2198365	LHAV2b2#1 2198366 AV2b1#1 LHON Savage RJVR
2227995	WEDPN1A#2 (2227995)	neuron	female organism|adult brain	catmaid_fafb:2227995	WEDPN1A#2 2227996 Grey Herron SD
2372530	LHPV4d3#2 (2372530)	neuron	female organism|adult brain	catmaid_fafb:2372530	LHPV4d3#2 2372531 Shearwaters RJVR ASB
2402951	LHAD1d1#1 (2402951)	neuron	female organism|adult brain	catmaid_fafb:2402951	LHAD1d1#1 2402952 Coppitt FML
2425247	LHPV5a2#1 (2425247)	neuron	female organism|adult brain	catmaid_fafb:2425247	LHPV5a2#1 2425248 Falcon ASB
2477473	aSP-g1b#1 (2477473)	neuron	female organism|adult brain	catmaid_fafb:2477473	aSP-g1b#1 2477474 GSXEJ
2548003	LHPV4a10#1 (2548003)	neuron	female organism|adult brain	catmaid_fafb:2548003	LHPV4a10#1 2548004 Teal ASB
2638597	LHAV2b1#1 (2638597)	neuron	female organism|adult brain	catmaid_fafb:2638597	LHAV2b1#1 2638598 Saddlebunch FML
2659704	LHAV1a1#1 (2659704)	neuron	female organism|adult brain	catmaid_fafb:2659704	LHAV1a1#1 2659705 FML Duck - downstream of DL4
2684792	LHAV1a1#2 (2684792)	neuron	female organism|adult brain	catmaid_fafb:2684792	LHAV1a1#2 2684793 Pigeon RJVR FML ZM
2794070	LHAV1a3#1 (2794070)	neuron	female organism|adult brain	catmaid_fafb:2794070	LHAV1a3#1 2794071 Curiously Cinnamon ZM
2842610	LHAD1b2#11 (2842610)	neuron	female organism|adult brain	catmaid_fafb:2842610	LHAD1b2#11 2842611 Alka Seltzer CMM
2851242	LHAV4g1#1 (2851242)	neuron	female organism|adult brain	catmaid_fafb:2851242	LHAV4g1#1 2851243 Dove RJVR
2969221	LHAD1c1#2 (2969221)	neuron	female organism|adult brain	catmaid_fafb:2969221	LHAD1c1#2 2969222 Uncle Sam CMM
3075158	LHAD1b2#10 (3075158)	neuron	female organism|adult brain	catmaid_fafb:3075158	LHAD1b2#10 3075159 Howard Hughes JJ
3078257	LHAD1b2#9 (3078257)	neuron	female organism|adult brain	catmaid_fafb:3078257	LHAD1b2#9 3078258 Oberon JJ
