source_id	VFB_id	label	parent_classes	name_in_banc	name_in_flywire_fafb	name_in_hemibrain	name_in_male-cns	name_in_manc	name_in_neuprint_optic_lobe
1948107641	VFB_jrchk7qs	WED092(PDL27)_L (FlyEM-HB:1948107641)	['adult wedge neuron 092']				['WED092']		
985826737	VFB_jrchjwti	LAL185_R (FlyEM-HB:985826737)	['adult lateral accessory lobe neuron 185']	['LAL185']	['LAL185']				
694445969	VFB_jrchk5zg	SLP383_R (FlyEM-HB:694445969)	['adult superior lateral protocerebrum neuron 383']		['SLP383']	['SLP383']	['SLP383']		
297217528	VFB_jrchk77r	SMP563_R (FlyEM-HB:297217528)	['adult superior medial protocerebrum neuron 563']			['SMP563']			
1166674437	VFB_jrchjuem	FC2C(FQ7)_C9_L (FlyEM-HB:1166674437)	['adult fan-shaped body 1 column-crepine neuron']				['FC']		
5813079417	VFB_jrchjsxu	CL251(PDM35)_L (FlyEM-HB:5813079417)	['adult clamp neuron 251']		['CL251']		['CL251']		
1572032028	VFB_jrchjwoo	LAL092_R (FlyEM-HB:1572032028)	['adult lateral accessory lobe neuron 092']						
5812994930	VFB_jrchjs77	AVLP378_R (FlyEM-HB:5812994930)	['adult anterior ventrolateral protocerebrum neuron 378']						
913468894	VFB_jrchk44p	PLP237_R (FlyEM-HB:913468894)	['adult posterior lateral protocerebrum neuron 237']	['PLP237']	['PLP237']	['PLP237']			
1888584737	VFB_jrchk1ut	ORN_DM5 (FlyEM-HB:1888584737)	['adult olfactory receptor neuron Or85a']		['ORN_DM5']	['ORN_DM5']			
1228860966	VFB_jrchjs2s	AVLP300_a_R (FlyEM-HB:1228860966)	['adult anterior ventrolateral protocerebrum neuron 300']						
1671275020	VFB_jrchk1kq	ORN_DL4_R (FlyEM-HB:1671275020)	['adult olfactory receptor neuron Or49a/85f']		['ORN_DL4']	['ORN_DL4']			
5813056054	VFB_jrchk67q	SMP050_R (FlyEM-HB:5813056054)	['adult superior medial protocerebrum neuron 050']		['SMP050']	['SMP050']	['SMP050']		
5812983023	VFB_jrchjvlm	KCab-m_R (FlyEM-HB:5812983023)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
789623676	VFB_jrchjspf	CL099_R (FlyEM-HB:789623676)	['adult clamp neuron 099']			['CL099']	['CL099']		
2104806086	VFB_jrchk26b	ORN_VA2 (FlyEM-HB:2104806086)	['adult olfactory receptor neuron Or92a']	['odorant receptor neuron VA2']	['ORN_VA2']	['ORN_VA2']			
5901194966	VFB_jrchk89k	lLN13_R (FlyEM-HB:5901194966)	['adult antennal lobe local neuron lLN13']	['lLN13']	['lLN13']	['lLN13']			
1039422171	VFB_jrchk8m0	vDeltaG_C6 (FlyEM-HB:1039422171)	['adult fan-shaped body vertical delta neuron']		['vDelta']				
1136407269	VFB_jrchjrog	AVLP081_R (FlyEM-HB:1136407269)	['adult anterior ventrolateral protocerebrum neuron 081']		['AVLP081']		['AVLP081']		
1502001218	VFB_jrchjyh0	LC9(PLBDL3)_R (FlyEM-HB:1502001218)	['lobula columnar neuron LC9']		['LC9']	['LC9']	['LC9']		['LC9']
1345972395	VFB_jrchjuvg	IB073_R (FlyEM-HB:1345972395)	['adult inferior bridge neuron 073']			['IB073']			
297917363	VFB_jrchk6a6	SMP084_R (FlyEM-HB:297917363)	['adult superior medial protocerebrum neuron 084']		['SMP084']	['SMP084']	['SMP084']		
800233950	VFB_jrchjs3r	AVLP316_R (FlyEM-HB:800233950)	['adult anterior ventrolateral protocerebrum neuron 316']	['AVLP316']	['AVLP316']				
884921015	VFB_jrchjud5	FC2B(FQ7)_C5_R (FlyEM-HB:884921015)	['adult fan-shaped body 1 column-crepine neuron']				['FC']		
1511016097	VFB_jrchjuvj	IB074(PVM03)_L (FlyEM-HB:1511016097)	['adult inferior bridge neuron 074']			['IB074']			
1109133043	VFB_jrchk0j4	MC61 (FlyEM-HB:1109133043)	['medulla columnar neuron MC61']						
1009375497	VFB_jrchjudf	FC2B(FQ7)_C4_R (FlyEM-HB:1009375497)	['adult fan-shaped body 1 column-crepine neuron']				['FC']		
5813048522	VFB_jrchjsw9	CL224_R (FlyEM-HB:5813048522)	['adult clamp neuron 224']				['CL224']		
1408262076	VFB_jrchk3zs	PLP150_R (FlyEM-HB:1408262076)	['adult posterior lateral protocerebrum neuron 150']				['PLP150']		['PLP150']
386833812	VFB_jrchjze4	LHPV4c4_a_R (FlyEM-HB:386833812)	['adult lateral horn PV4c4 neuron']	['LHPV4c4']	['CB2318']	['LHPV4c4_b']			
