skid	name	paper_id	paper_name	FBbt_ID
289	neuron 290	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
318	neuron 319	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
322	neuron 323	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
326	neuron 327	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
330	neuron 331	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
338	neuron 339	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
342	neuron 343	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
346	neuron 347	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
358	neuron 359	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
386	neuron 387	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
418	neuron 419	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
451	neuron 452	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
459	neuron 460	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
463	T1 leg motor neuron L1 bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
467	T1 leg motor neuron L1 bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
471	T1 leg motor neuron L1 bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
475	T1 leg motor neuron L1 bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
479	T1 leg motor neuron L2 bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
483	T1 leg motor neuron L2 bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
487	T1 leg motor neuron L2 bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
491	T1 leg motor neuron L1 bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
495	neuron 496	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
499	neuron 500	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
503	neuron 504	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
511	neuron 512	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
515	neuron 516	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
523	neuron 524	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
531	neuron 532	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
539	neuron 540	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
543	neuron 544	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
547	neuron 548	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
556	neuron 557	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
560	neuron 561	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
568	neuron 569	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
572	neuron 573	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
580	T1 leg motor neuron L3 bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
584	neuron 585	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
2179	T1 leg motor neuron L1 bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
2211	T1 leg motor neuron V4 bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
2215	T1 leg motor neuron A3 bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
2219	T1 leg motor neuron A3 bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
2231	neck motor neuron D bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
2235	T1 leg motor neuron D1 bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
2713	T1 leg motor neuron L1 bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
3005	neck motor neuron D bundle	225888	Paper: Maniates-Selvin, Hildebrand, Graham et al. 2020	
