source_id	VFB_id	label	parent_classes	name_in_banc	name_in_flywire_fafb	name_in_hemibrain	name_in_male-cns	name_in_manc	name_in_neuprint_optic_lobe
186573	VFB_00101210	Uniglomerular mALT VA7m lPN#R1 (FAFB:186573)	['adult antennal lobe projection neuron VA7m lPN']		['VA7m_lPN']	['VA7m_lPN']			
11995073	VFB_001029g0	MeTu_DRA#1 (FAFB:11995073)	['adult medulla-tubercle neuron of dorsal rim area']						
15078574	VFB_00102ga0	Mi1_R#513 (FAFB:15078574)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
11178743	VFB_00102fv0	Mi1_R#37 (FAFB:11178743)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
15970720	VFB_001029hi	L3#8 (FAFB:15970720)	['lamina monopolar neuron L3']		['L3']		['L3']		['L3']
10599037	VFB_00102ft9	T4b_R#124 (FAFB:10599037)	['T4b neuron']		['T4b']		['T4b']		['T4b']
8379056	VFB_001000nd	KC#676-y (FAFB:8379056)	['adult gamma Kenyon cell']				['KCg']		
9593967	VFB_001000uy	KC#941-y (FAFB:9593967)	['adult gamma Kenyon cell']				['KCg']		
1415926	VFB_00101294	LHAV6a1#1 (FAFB:1415926)	['adult lateral horn AV6a1 neuron']	['LHAV6a1']	['LHAV6a1']	['LHAV6a1_a']			
1578380	VFB_0010141u	SEZ_DAN_input_c 7.7.5#1 (FAFB:1578380)	['adult subesophageal zone output neuron']						
15178182	VFB_00102gdd	Mi1_R#634 (FAFB:15178182)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
11213663	VFB_00102fv3	T4d_R#84 (FAFB:11213663)	['T4d neuron']		['T4d']		['T4d']		['T4d']
9372001	VFB_001000sx	KC#872-y (FAFB:9372001)	['adult gamma Kenyon cell']				['KCg']		
1325528	VFB_00102gvg	LC4_R#41 (FAFB:1325528)	['lobula columnar neuron LC4']		['LC4']	['LC4']	['LC4']		['LC4']
9650635	VFB_001000vs	KC#971-y (FAFB:9650635)	['adult gamma Kenyon cell']				['KCg']		
10959304	VFB_00102fu4	T4d_R#61 (FAFB:10959304)	['T4d neuron']		['T4d']		['T4d']		['T4d']
14845721	VFB_00102g4e	Mi1_R#311 (FAFB:14845721)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
17130	VFB_001000cb	KC#245-y (FAFB:17130)	['adult gamma Kenyon cell']				['KCg']		
3186706	VFB_001013wy	JO-EDM#14 (FAFB:3186706)	['Johnston organ neuron EDM']		['JO-EDM']				
12859930	VFB_001011ps	vLN#9 (FAFB:12859930)	['adult local interneuron of the ventral ALv2 neuroblast']						
5415150	VFB_00102fne	T4d_R#10 (FAFB:5415150)	['T4d neuron']		['T4d']		['T4d']		['T4d']
358030	VFB_001000ek	KC#475-y (FAFB:358030)	['adult gamma Kenyon cell']				['KCg']		
14795812	VFB_00102g2p	Mi1_R#250 (FAFB:14795812)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
13294451	VFB_001029gp	Mi1#7 (FAFB:13294451)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
556874	VFB_001012cd	LHPV5a3#2 (FAFB:556874)	['adult lateral horn PV5a3 neuron']			['LHPV5a3']	['adult PV5a3 neuron']		
9813280	VFB_001000x2	KC#1016-ab (FAFB:9813280)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
2380564	VFB_0010122z	Uniglomerular mALT DA1 lPN#L5 (FAFB:2380564)	['adult antennal lobe projection neuron DA1 lPN']		['DA1_lPN']	['DA1_lPN']	['DA1_lPN']		
9541552	VFB_001000uh	KC#925-ab (FAFB:9541552)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
3078257	VFB_00101325	LHAD1b2#9 (FAFB:3078257)	['adult lateral horn AD1b2 neuron']			['LHAD1b2_a']	['LHAD1b2']		
17412232	VFB_00102gj3	TmY5a_R#41 (FAFB:17412232)	['transmedullary Y neuron TmY5a']	['TmY5a']	['TmY5a']				['TmY5a']
16238926	VFB_001029me	Rattle#1 (FAFB:16238926)	['adult rattle subesophageal neuron']		['CB0499']		['GNG132']		
12907733	VFB_00102fxr	Mi1_R#93 (FAFB:12907733)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
9745795	VFB_001000wp	KC#1003-y (FAFB:9745795)	['adult gamma Kenyon cell']				['KCg']		
1775706	VFB_00101180	Uniglomerular mALT DL1 adPN#R1 (FAFB:1775706)	['adult antennal lobe projection neuron DL1 adPN']		['DL1_adPN']	['DL1_adPN']	['DL1 adPN']		
8279560	VFB_001000mz	KC#416-y (FAFB:8279560)	['adult gamma Kenyon cell']				['KCg']		
