filename	label	is_a	part_of	dbxrefs	synonyms
7490413	DA2 ORN #21	neuron	female organism|adult brain	catmaid_fafb:7490413	7490413
7702725	Patchy LN #13	neuron	female organism|adult brain	catmaid_fafb:7702725	7702725
7961811	VM1 ORN #9	neuron	female organism|adult brain	catmaid_fafb:7961811	7961811
8149476	vLN#3	neuron	female organism|adult brain	catmaid_fafb:8149476	8149476
8149505	vLNb#2	neuron	female organism|adult brain	catmaid_fafb:8149505	8149505
8382473	Patchy LN #14	neuron	female organism|adult brain	catmaid_fafb:8382473	8382473
8382638	VM2 ORN #2	neuron	female organism|adult brain	catmaid_fafb:8382638	8382638
8382644	VM2 ORN #3	neuron	female organism|adult brain	catmaid_fafb:8382644	8382644
8382651	VM2 ORN #4	neuron	female organism|adult brain	catmaid_fafb:8382651	8382651
8404202	LN #13	neuron	female organism|adult brain	catmaid_fafb:8404202	8404202
8409238	Patchy LN #15	neuron	female organism|adult brain	catmaid_fafb:8409238	8409238
8411733	VM3 ORN #2	neuron	female organism|adult brain	catmaid_fafb:8411733	8411733
8451180	LN #14	neuron	female organism|adult brain	catmaid_fafb:8451180	8451180
8490593	DA2 ORN #22	neuron	female organism|adult brain	catmaid_fafb:8490593	8490593
8490608	DA2 ORN #23	neuron	female organism|adult brain	catmaid_fafb:8490608	8490608
8490628	DA2 ORN #24	neuron	female organism|adult brain	catmaid_fafb:8490628	8490628
8490635	DA2 ORN #25	neuron	female organism|adult brain	catmaid_fafb:8490635	8490635
8540881	SIMPAL-Left #1	neuron	female organism|adult brain	catmaid_fafb:8540881	8540881
8543282	VM2 ORN #5	neuron	female organism|adult brain	catmaid_fafb:8543282	8543282
8552643	VM1 ORN #10	neuron	female organism|adult brain	catmaid_fafb:8552643	8552643
8552754	VM1 ORN #11	neuron	female organism|adult brain	catmaid_fafb:8552754	8552754
8594279	DC1 ORN #13	neuron	female organism|adult brain	catmaid_fafb:8594279	8594279
8633531	Patchy LN #16	neuron	female organism|adult brain	catmaid_fafb:8633531	8633531
8633612	vLN#4	neuron	female organism|adult brain	catmaid_fafb:8633612	8633612
8672384	DM5 ORN #11	neuron	female organism|adult brain	catmaid_fafb:8672384	8672384
8674892	DM5 ORN #24	neuron	female organism|adult brain	catmaid_fafb:8674892	8674892
8677211	DM5 ORN #12	neuron	female organism|adult brain	catmaid_fafb:8677211	8677211
8677226	DM5 ORN #13	neuron	female organism|adult brain	catmaid_fafb:8677226	8677226
8677396	DM5 ORN #14	neuron	female organism|adult brain	catmaid_fafb:8677396	8677396
8677435	DM5 ORN #25	neuron	female organism|adult brain	catmaid_fafb:8677435	8677435
8677465	DM5 ORN #15	neuron	female organism|adult brain	catmaid_fafb:8677465	8677465
8726949	LN #15	neuron	female organism|adult brain	catmaid_fafb:8726949	8726949
