filename	label	is_a	part_of	comment	dbxrefs	synonyms
410808	right cLPTCrn#3 (FAFB:410808)	neuron	female organism|adult brain	right cLPTCrn#3, FBbt:20001834	catmaid_fafb:410808	
410926	right cLPTCrn#4 (FAFB:410926)	neuron	female organism|adult brain	right cLPTCrn#4, FBbt:20001834	catmaid_fafb:410926	
411565	right cLPTCrn#5 (FAFB:411565)	neuron	female organism|adult brain	right cLPTCrn#5, FBbt:20001834	catmaid_fafb:411565	
412519	left cLPTCrn#4 (FAFB:412519)	neuron	female organism|adult brain	left cLPTCrn#4, FBbt:20001834	catmaid_fafb:412519	
413170	right DNb03#1 (FAFB:413170)	neuron	female organism|adult brain	right DNb03#1, FBbt:00047584	catmaid_fafb:413170	
414148	left cLPTCrn#5 (FAFB:414148)	neuron	female organism|adult brain	left cLPTCrn#5, FBbt:20001834	catmaid_fafb:414148	
414193	right cLPTCrn#6 (FAFB:414193)	neuron	female organism|adult brain	right cLPTCrn#6, FBbt:20001834	catmaid_fafb:414193	
416267	right bLPTCrn#1 (FAFB:416267)	neuron	female organism|adult brain	right bLPTCrn#1, FBbt:20001833	catmaid_fafb:416267	
793032	right VS2 (FAFB:793032)	neuron	female organism|adult brain	right VS2, FBbt:00007518	catmaid_fafb:793032	
804092	right VS8 (FAFB:804092)	neuron	female organism|adult brain	right VS8	catmaid_fafb:804092	
804539	right VS6 (FAFB:804539)	neuron	female organism|adult brain	right VS6, FBbt:00007522	catmaid_fafb:804539	
807401	right VS5 (FAFB:807401)	neuron	female organism|adult brain	right VS5, FBbt:00007521	catmaid_fafb:807401	
815776	right VS3 (FAFB:815776)	neuron	female organism|adult brain	right VS3, FBbt:00007519	catmaid_fafb:815776	
827034	right HSE (FAFB:827034)	neuron	female organism|adult brain	right HSE, FBbt:00003919	catmaid_fafb:827034	
830793	right HSN (FAFB:830793)	neuron	female organism|adult brain	right HSN, FBbt:00003918	catmaid_fafb:830793	
836617	right VCNMN (FAFB:836617)	neuron	female organism|adult brain	right VCNMN, FBbt:00053175	catmaid_fafb:836617	
851432	right VS7 (FAFB:851432)	neuron	female organism|adult brain	right VS7	catmaid_fafb:851432	
869475	right bLPTCrn#4 (FAFB:869475)	neuron	female organism|adult brain	right bLPTCrn#4, FBbt:20001833	catmaid_fafb:869475	
952120	left cLPTCrn#7 (FAFB:952120)	neuron	female organism|adult brain	left cLPTCrn#7, FBbt:20001834	catmaid_fafb:952120	
967830	left cLPTCrn#8 (FAFB:967830)	neuron	female organism|adult brain	left cLPTCrn#8, FBbt:20001834	catmaid_fafb:967830	
968121	right cLPTCrn#7 (FAFB:968121)	neuron	female organism|adult brain	right cLPTCrn#7, FBbt:20001834	catmaid_fafb:968121	
968974	right cLPTCrn#8 (FAFB:968974)	neuron	female organism|adult brain	right cLPTCrn#8, FBbt:20001834	catmaid_fafb:968974	
969205	left bIPS (FAFB:969205)	neuron	female organism|adult brain	left bIPS	catmaid_fafb:969205	
