filename	label	is_a	part_of	dbxrefs
488055	LHAV4c1#1 488055	neuron	female organism|adult brain	catmaid_fafb:488055
533772	LHAD3a1#1 533772	neuron	female organism|adult brain	catmaid_fafb:533772
556874	LHPV5a3#2 556874	neuron	female organism|adult brain	catmaid_fafb:556874
1102557	LHPV6c1#2 1102557	neuron	female organism|adult brain	catmaid_fafb:1102557
1103232	LHPV4c4#2 1103232	neuron	female organism|adult brain	catmaid_fafb:1103232
1149437	aSP-g1b#2 1149437	neuron	female organism|adult brain	catmaid_fafb:1149437
1313334	WEDPN3#3 1313334	neuron	female organism|adult brain	catmaid_fafb:1313334
1415926	LHAV6a1#1 1415926	neuron	female organism|adult brain	catmaid_fafb:1415926
1478950	PPL203#1 1478950	neuron	female organism|adult brain	catmaid_fafb:1478950
1546454	FB2H#1 1546454	neuron	female organism|adult brain	catmaid_fafb:1546454
1621078	LHPV5g1#1 1621078	neuron	female organism|adult brain	catmaid_fafb:1621078
1703872	LHPV2a2#1 1703872	neuron	female organism|adult brain	catmaid_fafb:1703872
1710793	LHPV4a1#3 1710793	neuron	female organism|adult brain	catmaid_fafb:1710793
1853423	LHAV4a4#2 1853423	neuron	female organism|adult brain	catmaid_fafb:1853423
1869224	LHPV4b9#1 1869224	neuron	female organism|adult brain	catmaid_fafb:1869224
1870230	LHAV2a3#1 1870230	neuron	female organism|adult brain	catmaid_fafb:1870230
1879479	LHAD1f4#1 1879479	neuron	female organism|adult brain	catmaid_fafb:1879479
1911124	LHAV4a4#1 1911124	neuron	female organism|adult brain	catmaid_fafb:1911124
1967862	LHAV1a2#1 1967862	neuron	female organism|adult brain	catmaid_fafb:1967862
1967891	LHAV4b2#1 1967891	neuron	female organism|adult brain	catmaid_fafb:1967891
2050698	LHAV4e7#1 2050698	neuron	female organism|adult brain	catmaid_fafb:2050698
2096700	LHPV4b3#2 2096700	neuron	female organism|adult brain	catmaid_fafb:2096700
2130631	LHPV6a3#2 2130631	neuron	female organism|adult brain	catmaid_fafb:2130631
2153398	WEDPN4#1 2153398	neuron	female organism|adult brain	catmaid_fafb:2153398
2198365	LHAV2b2#1 2198365	neuron	female organism|adult brain	catmaid_fafb:2198365
2227995	WEDPN1A#2 2227995	neuron	female organism|adult brain	catmaid_fafb:2227995
2372530	LHPV4d3#2 2372530	neuron	female organism|adult brain	catmaid_fafb:2372530
2402951	LHAD1d1#1 2402951	neuron	female organism|adult brain	catmaid_fafb:2402951
2425247	LHPV5a2#1 2425247	neuron	female organism|adult brain	catmaid_fafb:2425247
2477473	aSP-g1b#1 2477473	neuron	female organism|adult brain	catmaid_fafb:2477473
2548003	LHPV4a10#1 2548003	neuron	female organism|adult brain	catmaid_fafb:2548003
2638597	LHAV2b1#1 2638597	neuron	female organism|adult brain	catmaid_fafb:2638597
2659704	LHAV1a1#1 2659704	neuron	female organism|adult brain	catmaid_fafb:2659704
2684792	LHAV1a1#2 2684792	neuron	female organism|adult brain	catmaid_fafb:2684792
2794070	LHAV1a3#1 2794070	neuron	female organism|adult brain	catmaid_fafb:2794070
