skid	name	paper_id	paper_name
346114	MBON a2sc Right ASB	13040382	Paper: Dolan and Belliart-Guérin et al. 2018
1299700	PD2a1#1 1299701 ASB	13040382	Paper: Dolan and Belliart-Guérin et al. 2018
1415893	PD2a1#3 1415894 Cu Chulainn ASB	13040382	Paper: Dolan and Belliart-Guérin et al. 2018
1420974	MBON a2sc Left ASB	13040382	Paper: Dolan and Belliart-Guérin et al. 2018
1454234	PD2a1#4 1454235 Medb ASB	13040382	Paper: Dolan and Belliart-Guérin et al. 2018
1540941	MBON a'2 1540941 ASB	13040382	Paper: Dolan and Belliart-Guérin et al. 2018
1606113	PD2b1#1 1606114 ASB	13040382	Paper: Dolan and Belliart-Guérin et al. 2018
2205218	PD2a1#2 1290496 Deirdre ASB	13040382	Paper: Dolan and Belliart-Guérin et al. 2018
3345012	PD2b1#2 3345012 Cù Sìth ASB	13040382	Paper: Dolan and Belliart-Guérin et al. 2018
11547665	PD2a1#5 3516954 Conchobar ASB	13040382	Paper: Dolan and Belliart-Guérin et al. 2018
30591	MBON-Calyx 30592 ARH ASB JSL	12870485	Paper: Dolan et al. 2019
488055	AV4b1#1 488056 downstream DA1 GSXEJ	12870485	Paper: Dolan et al. 2019
533772	AD3b1#1 LHON 533773 Vulture GSXEJ	12870485	Paper: Dolan et al. 2019
535060	putative MB-C1 535061	12870485	Paper: Dolan et al. 2019
1102557	PV6f1 22446 Albatross JMR ARH	12870485	Paper: Dolan et al. 2019
1103232	PV4 DA2 Downstream 1103233 RJVR	12870485	Paper: Dolan et al. 2019
1149437	aSP-g candidate R 1149438 IT	12870485	Paper: Dolan et al. 2019
1288534	AV4a1#1 1288535 DM1 Centric 2 ASB	12870485	Paper: Dolan et al. 2019
1313334	WED-PN3#1 1313335 Athens ASB	12870485	Paper: Dolan et al. 2019
1415926	AV6a1#1 1415927 Haddock ASB	12870485	Paper: Dolan et al. 2019
1478950	putative peptidergic neuron 1478951 NM ASB	12870485	Paper: Dolan et al. 2019
1546454	EB canal neuron 1546455 AES	12870485	Paper: Dolan et al. 2019
1621078	PV5 [LH.R->] 1621079 Canary ASB	12870485	Paper: Dolan et al. 2019
