filename	label	is_a	part_of	overlaps	comment	dbxrefs
601992	neuron 100403 (T1LEG:601992)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:601992
602004	muscle 94260 (T1LEG:602004)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602004
602017	muscle 94266 (T1LEG:602017)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 6, posterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602017
602032	neuron 104507 (T1LEG:602032)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103501, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:602032
602048	neuron 100414 (T1LEG:602048)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"tibial bristle, sensory neuron"	catmaid_leg40:602048
602060	muscle 94272 (T1LEG:602060)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 6, posterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602060
602073	neuron 100422 (T1LEG:602073)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:602073
602085	neuron 100428 (T1LEG:602085)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"tibial bristle, sensory neuron"	catmaid_leg40:602085
602097	muscle 94285 (T1LEG:602097)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 6, posterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602097
602110	neuron 100434 (T1LEG:602110)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:602110
602122	muscle 94291 (T1LEG:602122)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 6, posterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602122
602135	neuron 100444 (T1LEG:602135)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:602135
602147	muscle 94301 (T1LEG:602147)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 6, posterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602147
602160	neuron 100452 (T1LEG:602160)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:602160
602172	muscle 94310 (T1LEG:602172)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 6, posterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602172
602185	neuron 104551 (T1LEG:602185)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103455, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:602185
602201	neuron 100460 (T1LEG:602201)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:602201
602213	neuron 100469 (T1LEG:602213)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:602213
602225	muscle 94331 (T1LEG:602225)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 6, posterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602225
602238	neuron 100480 (T1LEG:602238)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"damaged, sensory neuron, tibial bristle"	catmaid_leg40:602238
602252	muscle 94337 (T1LEG:602252)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 6, posterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602252
602265	muscle 94343 (T1LEG:602265)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 6, posterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602265
602278	neuron 100488 (T1LEG:602278)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"tibial bristle, sensory neuron"	catmaid_leg40:602278
602290	neuron 82061 (T1LEG:602290)	mechanosensory neuron of prothoracic coxal hair plate CoHP8	female organism	prothoracic leg	"ventral nerve, thorax-coxa joint, CoHP8, sensory neuron, hair plate"	catmaid_leg40:602290
602313	muscle 94349 (T1LEG:602313)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 6, posterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602313
602326	neuron 100494 (T1LEG:602326)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:602326
602338	neuron 82065 (T1LEG:602338)	mechanosensory neuron of prothoracic coxal hair plate CoHP8	female organism	prothoracic leg	"ventral nerve, thorax-coxa joint, CoHP8, sensory neuron, hair plate"	catmaid_leg40:602338
602357	neuron 100500 (T1LEG:602357)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:602357
602369	neuron 82073 (T1LEG:602369)	mechanosensory neuron of prothoracic coxal hair plate CoHP8	female organism	prothoracic leg	"ventral nerve, thorax-coxa joint, CoHP8, sensory neuron, hair plate"	catmaid_leg40:602369
602388	neuron 100508 (T1LEG:602388)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"tibial bristle, sensory neuron"	catmaid_leg40:602388
602400	neuron 82079 (T1LEG:602400)	mechanosensory neuron of prothoracic coxal hair plate CoHP8	female organism	prothoracic leg	"ventral nerve, thorax-coxa joint, CoHP8, sensory neuron, hair plate"	catmaid_leg40:602400
602419	neuron 100514 (T1LEG:602419)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:602419
602431	neuron 82085 (T1LEG:602431)	mechanosensory neuron of prothoracic coxal hair plate CoHP8	female organism	prothoracic leg	"ventral nerve, thorax-coxa joint, CoHP8, sensory neuron, hair plate"	catmaid_leg40:602431
602450	neuron 104614 (T1LEG:602450)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103367, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:602450
602466	neuron 100520 (T1LEG:602466)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"tibial bristle, sensory neuron"	catmaid_leg40:602466
602478	neuron 104624 (T1LEG:602478)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103343, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:602478
602494	neuron 82097 (T1LEG:602494)	mechanosensory neuron of prothoracic coxal hair plate CoHP8	female organism	prothoracic leg	"thorax-coxa joint, CoHP8, ventral nerve, sensory neuron, hair plate"	catmaid_leg40:602494
602513	neuron 82103 (T1LEG:602513)	mechanosensory neuron of prothoracic coxal hair plate CoHP8	female organism	prothoracic leg	"ventral nerve, thorax-coxa joint, CoHP8, sensory neuron, hair plate"	catmaid_leg40:602513
602532	neuron 82109 (T1LEG:602532)	mechanosensory neuron of prothoracic coxal hair plate CoHP3	female organism	prothoracic leg	"dorsal nerve, thorax-coxa joint, CoHP3, hair plate, sensory neuron"	catmaid_leg40:602532
602551	neuron 141507 (T1LEG:602551)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103476, neuron 95871, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:602551
602569	neuron 82116 (T1LEG:602569)	mechanosensory neuron of prothoracic coxal hair plate CoHP3	female organism	prothoracic leg	"dorsal nerve, thorax-coxa joint, CoHP3, hair plate, sensory neuron"	catmaid_leg40:602569
602586	neuron 141511 (T1LEG:602586)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103491, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:602586
602602	muscle 94409 (T1LEG:602602)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602602
602615	neuron 82123 (T1LEG:602615)	mechanosensory neuron of prothoracic coxal hair plate CoHP3	female organism	prothoracic leg	"dorsal nerve, thorax-coxa joint, CoHP3, hair plate, sensory neuron"	catmaid_leg40:602615
602632	muscle 94415 (T1LEG:602632)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602632
602645	muscle 94421 (T1LEG:602645)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 6, posterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602645
602658	neuron 82135 (T1LEG:602658)	mechanosensory neuron of prothoracic coxal hair plate CoHP4	female organism	prothoracic leg	"accessory nerve, thorax-coxa joint, CoHP4, hair plate, sensory neuron"	catmaid_leg40:602658
602679	muscle 94427 (T1LEG:602679)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 6, posterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602679
602692	neuron 141532 (T1LEG:602692)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103394, neuron 95572, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:602692
602710	neuron 82141 (T1LEG:602710)	mechanosensory neuron of prothoracic coxal hair plate CoHP4	female organism	prothoracic leg	"accessory nerve, thorax-coxa joint, CoHP4, hair plate, sensory neuron"	catmaid_leg40:602710
602729	neuron 73952 (T1LEG:602729)	mechanosensory neuron of prothoracic trochanter hair plate TrHP7	female organism	prothoracic leg	"split hair receptor, TrHP7, coxa-trochanter joint, sensory neuron, hair plate"	catmaid_leg40:602729
602752	muscle 94434 (T1LEG:602752)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 6, posterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602752
602765	neuron 82147 (T1LEG:602765)	mechanosensory neuron of prothoracic coxal hair plate CoHP4	female organism	prothoracic leg	"accessory nerve, thorax-coxa joint, CoHP4, hair plate, sensory neuron"	catmaid_leg40:602765
602784	muscle 94440 (T1LEG:602784)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 6, posterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:602784
602797	neuron 82154 (T1LEG:602797)	prothoracic coxal bristle sensory neuron	female organism	prothoracic leg	"coxal bristle, sensory neuron"	catmaid_leg40:602797
602810	femoral stretch receptor (T1LEG:602810)	stretch receptor neuron of prothoracic femur-tibia joint	female organism|prothoracic leg		"femoral stretch receptor, sensory neuron, main leg nerve, minor sensory neuron type"	catmaid_leg40:602810
602827	neuron 82160 (T1LEG:602827)	prothoracic coxal bristle sensory neuron	female organism	prothoracic leg	"coxal bristle, sensory neuron"	catmaid_leg40:602827
602839	neuron 82166 (T1LEG:602839)	prothoracic coxal bristle sensory neuron	female organism	prothoracic leg	"coxal bristle, sensory neuron"	catmaid_leg40:602839
602851	neuron 88315 (T1LEG:602851)	mechanosensory neuron of prothoracic coxal hair plate CoHP4	female organism	prothoracic leg	"thorax-coxa joint, CoHP4, accessory nerve, sensory neuron, hair plate"	catmaid_leg40:602851
602870	neuron 82172 (T1LEG:602870)	prothoracic coxal bristle sensory neuron	female organism	prothoracic leg	"leaves volume, coxal bristle, sensory neuron"	catmaid_leg40:602870
602884	neuron 96507 (T1LEG:602884)	prothoracic trochanteral bristle sensory neuron	female organism	prothoracic leg	"leaves volume, trochanteral bristle, sensory neuron"	catmaid_leg40:602884
602898	neuron 82178 (T1LEG:602898)	prothoracic coxal bristle sensory neuron	female organism	prothoracic leg	"leaves volume, coxal bristle, sensory neuron"	catmaid_leg40:602898
602911	neuron 96514 (T1LEG:602911)	prothoracic trochanteral bristle sensory neuron	female organism	prothoracic leg	"leaves volume, sensory neuron, trochanteral bristle"	catmaid_leg40:602911
602924	neuron 96521 (T1LEG:602924)	prothoracic trochanteral bristle sensory neuron	female organism	prothoracic leg	"leaves volume, sensory neuron, trochanteral bristle"	catmaid_leg40:602924
602937	neuron 82190 (T1LEG:602937)	prothoracic trochanteral bristle sensory neuron	female organism	prothoracic leg	"trochanteral bristle, sensory neuron"	catmaid_leg40:602937
602949	neuron 96528 (T1LEG:602949)	prothoracic trochanteral bristle sensory neuron	female organism	prothoracic leg	"leaves volume, sensory neuron, trochanteral bristle"	catmaid_leg40:602949
602962	neuron 82196 (T1LEG:602962)	prothoracic trochanteral bristle sensory neuron	female organism	prothoracic leg	"trochanteral bristle, sensory neuron"	catmaid_leg40:602962
602974	neuron 82202 (T1LEG:602974)	prothoracic trochanteral bristle sensory neuron	female organism	prothoracic leg	"trochanteral bristle, sensory neuron"	catmaid_leg40:602974
602986	neuron 82208 (T1LEG:602986)	prothoracic coxal bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, coxal bristle"	catmaid_leg40:602986
602998	neuron 74024 (T1LEG:602998)	mechanosensory neuron of prothoracic trochanter hair plate TrHP7	female organism	prothoracic leg	"TrHP7, coxa-trochanter joint, sensory neuron, hair plate"	catmaid_leg40:602998
603014	neuron 141609 (T1LEG:603014)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103420, neuron 95878, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:603014
603032	neuron 74033 (T1LEG:603032)	mechanosensory neuron of prothoracic trochanter hair plate TrHP7	female organism	prothoracic leg	"TrHP7, coxa-trochanter joint, sensory neuron, hair plate"	catmaid_leg40:603032
603049	neuron 74059 (T1LEG:603049)	mechanosensory neuron of prothoracic trochanter hair plate TrHP6	female organism	prothoracic leg	"TrHP6, hair plate, coxa-trochanter joint, sensory neuron"	catmaid_leg40:603049
603068	neuron 82253 (T1LEG:603068)	prothoracic coxal bristle sensory neuron	female organism	prothoracic leg	"coxal bristle, sensory neuron"	catmaid_leg40:603068
603080	neuron 82259 (T1LEG:603080)	prothoracic coxal bristle sensory neuron	female organism	prothoracic leg	"coxal bristle, leaves volume, sensory neuron"	catmaid_leg40:603080
603093	neuron 82265 (T1LEG:603093)	prothoracic coxal bristle sensory neuron	female organism	prothoracic leg	"coxal bristle, sensory neuron"	catmaid_leg40:603093
603105	neuron 74075 (T1LEG:603105)	mechanosensory neuron of prothoracic trochanter hair plate TrHP6	female organism	prothoracic leg	"TrHP6, hair plate, coxa-trochanter joint, sensory neuron"	catmaid_leg40:603105
603122	neuron 82271 (T1LEG:603122)	prothoracic coxal bristle sensory neuron	female organism	prothoracic leg	"coxal bristle, sensory neuron"	catmaid_leg40:603122
603134	neuron 82343 (T1LEG:603134)	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc3	female organism	prothoracic leg	"trochanteral campaniform sensillum, TrCS3, sensory neuron"	catmaid_leg40:603134
603152	neuron 82277 (T1LEG:603152)	prothoracic coxal bristle sensory neuron	female organism	prothoracic leg	"coxal bristle, sensory neuron"	catmaid_leg40:603152
603164	neuron 82283 (T1LEG:603164)	prothoracic coxal bristle sensory neuron	female organism	prothoracic leg	"leaves volume, coxal bristle, sensory neuron"	catmaid_leg40:603164
603177	neuron 125299 (T1LEG:603177)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103322, neuron 95902, femoral chordotonal neuron, attaches to proximal branch of FeCO medial tendon"	catmaid_leg40:603177
603196	neuron 82295 (T1LEG:603196)	prothoracic coxal bristle sensory neuron	female organism	prothoracic leg	"coxal bristle, sensory neuron"	catmaid_leg40:603196
603208	neuron 74108 (T1LEG:603208)	mechanosensory neuron of prothoracic trochanter hair plate TrHP7	female organism	prothoracic leg	"TrHP7, coxa-trochanter joint, hair plate, sensory neuron"	catmaid_leg40:603208
603225	neuron 82301 (T1LEG:603225)	mechanosensory neuron of prothoracic trochanter hair plate TrHP5	female organism	prothoracic leg	"TrHP5, sensory neuron, hair plate"	catmaid_leg40:603225
603242	neuron 86401 (T1LEG:603242)	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc-8	female organism	prothoracic leg	"bilateral campaniform sensillum, main leg nerve, trochanteral campaniform sensillum, TrCS8, sensory neuron"	catmaid_leg40:603242
603263	neuron 82307 (T1LEG:603263)	mechanosensory neuron of prothoracic trochanter hair plate TrHP5	female organism	prothoracic leg	"TrHP5, hair plate, sensory neuron"	catmaid_leg40:603263
603278	neuron 74116 (T1LEG:603278)	mechanosensory neuron of prothoracic trochanter hair plate TrHP7	female organism	prothoracic leg	"TrHP7, hair plate, coxa-trochanter joint, sensory neuron"	catmaid_leg40:603278
603294	neuron 90499 (T1LEG:603294)	mechanosensory neuron of prothoracic trochanter hair plate TrHP1	female organism	prothoracic leg	"TrHP1, coxa-trochanter joint, hair plate, sensory neuron"	catmaid_leg40:603294
603310	neuron 90506 (T1LEG:603310)	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc+5	female organism	prothoracic leg	"trochanteral campaniform sensillum, TrCS5, sensory neuron"	catmaid_leg40:603310
603329	muscle 94606 (T1LEG:603329)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 2, trochanteral muscle fiber"	catmaid_leg40:603329
603343	neuron 125333 (T1LEG:603343)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103155, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:603343
603360	neuron 74135 (T1LEG:603360)	mechanosensory neuron of prothoracic trochanter hair plate TrHP7	female organism	prothoracic leg	"TrHP7, coxa-trochanter joint, hair plate, sensory neuron"	catmaid_leg40:603360
603376	neuron 125341 (T1LEG:603376)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103204, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:603376
603392	neuron 74143 (T1LEG:603392)	mechanosensory neuron of prothoracic trochanter hair plate TrHP7	female organism	prothoracic leg	"split hair receptor, TrHP7, coxa-trochanter joint, hair plate, sensory neuron"	catmaid_leg40:603392
603409	muscle 94624 (T1LEG:603409)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603409
603422	neuron 82337 (T1LEG:603422)	prothoracic trochanteral bristle sensory neuron	female organism	prothoracic leg	"leaves volume, trochanteral bristle, sensory neuron"	catmaid_leg40:603422
603435	muscle 94628 (T1LEG:603435)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603435
603447	neuron 125349 (T1LEG:603447)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103234, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:603447
603463	neuron 82348 (T1LEG:603463)	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc3	female organism	prothoracic leg	"TrCS3, sensory neuron, trochanteral campaniform sensillum"	catmaid_leg40:603463
603479	muscle 94636 (T1LEG:603479)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603479
603491	neuron 125357 (T1LEG:603491)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103239, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:603491
603507	neuron 82353 (T1LEG:603507)	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc3	female organism	prothoracic leg	"sensory neuron, TrCS3, trochanteral campaniform sensillum"	catmaid_leg40:603507
603523	neuron 125365 (T1LEG:603523)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103264, femoral chordotonal neuron, attaches to proximal branch of FeCO medial tendon"	catmaid_leg40:603523
603539	neuron 82358 (T1LEG:603539)	prothoracic trochanteral bristle sensory neuron	female organism	prothoracic leg	"trochanteral bristle, leaves volume, sensory neuron"	catmaid_leg40:603539
603552	muscle 94652 (T1LEG:603552)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603552
603564	neuron 125373 (T1LEG:603564)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103150, femoral chordotonal neuron, attaches to proximal branch of FeCO medial tendon"	catmaid_leg40:603564
603580	muscle 94658 (T1LEG:603580)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603580
603592	neuron 125381 (T1LEG:603592)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103296, femoral chordotonal neuron, attaches to proximal branch of FeCO medial tendon"	catmaid_leg40:603592
603608	muscle 94664 (T1LEG:603608)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603608
603620	muscle 94668 (T1LEG:603620)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603620
603632	neuron 82381 (T1LEG:603632)	prothoracic trochanter edge bristle sensory neuron	female organism	prothoracic leg	"trochanteral bristle, edge bristle, sensory neuron"	catmaid_leg40:603632
603646	neuron 125389 (T1LEG:603646)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103311, femoral chordotonal neuron, attaches to proximal branch of FeCO medial tendon"	catmaid_leg40:603646
603662	muscle 94672 (T1LEG:603662)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603662
603674	muscle 94676 (T1LEG:603674)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603674
603686	neuron 125397 (T1LEG:603686)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103327, femoral chordotonal neuron, attaches to proximal branch of FeCO medial tendon"	catmaid_leg40:603686
603702	neuron 82393 (T1LEG:603702)	mechanosensory neuron of prothoracic trochanter hair plate TrHP5	female organism	prothoracic leg	"TrHP5, sensory neuron, hair plate"	catmaid_leg40:603702
603717	neuron 125415 (T1LEG:603717)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103372, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:603717
603733	muscle 94697 (T1LEG:603733)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603733
603745	neuron 74219 (T1LEG:603745)	mechanosensory neuron of prothoracic trochanter hair plate TrHP5	female organism	prothoracic leg	"split hair receptor, hair plate, sensory neuron, TrHP5"	catmaid_leg40:603745
603762	muscle 94703 (T1LEG:603762)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603762
603774	neuron 125427 (T1LEG:603774)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103382, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:603774
603790	neuron 131571 (T1LEG:603790)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103322, femoral chordotonal neuron, attaches to proximal branch of FeCO medial tendon"	catmaid_leg40:603790
603805	neuron 82421 (T1LEG:603805)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, leaves volume, sensory neuron"	catmaid_leg40:603805
603819	muscle 94709 (T1LEG:603819)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603819
603831	neuron 88568 (T1LEG:603831)	prothoracic femoral pretarsal depressor muscle motor neuron	female organism	prothoracic leg	"long tendon muscle 2 motor neuron, main leg nerve, femoral motor neuron"	catmaid_leg40:603831
