filename	label	is_a	part_of	overlaps	comment	dbxrefs
601725	long tendon (T1LEG:601725)	prothoracic long tendon	female organism|prothoracic leg		long tendon	catmaid_leg40:601725
601739	neuron 100355 (T1LEG:601739)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:601739
601754	neuron 141315 (T1LEG:601754)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103466, neuron 104290, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:601754
601775	neuron 100361 (T1LEG:601775)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:601775
601787	muscle 94219 (T1LEG:601787)	muscle cell of prothoracic tibial levator muscle 39	female organism|prothoracic leg		"femur muscle 3, tibia extensor muscle fiber, femoral muscle fiber"	catmaid_leg40:601787
601803	neuron 82450 (T1LEG:601803)	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc11	female organism	prothoracic leg	"FeCS11, femoral campaniform sensillum, sensory neuron"	catmaid_leg40:601803
601821	neuron 100367 (T1LEG:601821)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:601821
601833	neuron 81936 (T1LEG:601833)	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc-8	female organism	prothoracic leg	"possible bilateral campaniform sensillum, main leg nerve, TrCS8, sensory neuron, trochanteral campaniform sensillum"	catmaid_leg40:601833
601860	muscle 94226 (T1LEG:601860)	muscle cell of prothoracic tibial levator muscle 39	female organism|prothoracic leg		"femur muscle 3, tibia extensor muscle fiber, femoral muscle fiber"	catmaid_leg40:601860
601873	neuron 100373 (T1LEG:601873)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:601873
601885	Neuron 112666 (T1LEG:601885)	prothoracic femoral pretarsal depressor muscle motor neuron	female organism	prothoracic leg	"femoral motor neuron, long tendon muscle 2 motor neuron"	catmaid_leg40:601885
601912	neuron 100379 (T1LEG:601912)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:601912
601924	muscle 94236 (T1LEG:601924)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:601924
601939	muscle 94242 (T1LEG:601939)	tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:601939
601952	neuron 100390 (T1LEG:601952)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"tibial bristle, sensory neuron"	catmaid_leg40:601952
601964	neuron 100396 (T1LEG:601964)	prothoracic tibial bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, tibial bristle"	catmaid_leg40:601964
601976	neuron 81965 (T1LEG:601976)	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc-8	female organism	prothoracic leg	"TrCS8, sensory neuron, trochanteral campaniform sensillum"	catmaid_leg40:601976
