source_id	VFB_id	label	parent_classes	name_in_banc	name_in_flywire_fafb	name_in_hemibrain	name_in_male-cns	name_in_manc	name_in_neuprint_optic_lobe
21567	VFB_jrcv0gn3	IN04B039_T1_L (MANC:21567)	['adult IN04B066 neuron']				['IN04B066']		
45392	VFB_jrcv0z0w	SNch07_MetaLN_L (MANC:45392)	['adult SNch06 neuron']	['SNch06']					
22194	VFB_jrcv0h4i	TBD (MANC:22194)	['adult DNxn171 neuron']					['DNxn171']	
10479	VFB_jrcv0833	AN12B001_T3_R (MANC:10479)	['adult AN12B004 neuron']				['AN12B004']		
50878	VFB_jrcv139a	SNta21_MesoLN_R (MANC:50878)	['adult SNta21 neuron']	['SNta21']					
21523	VFB_jrcv0glv	IN03A011_T1_R (MANC:21523)	['adult IN03A085 neuron']					['IN03A085']	
17529	VFB_jrcv0dix	IN11A011_T1_L (MANC:17529)	['adult IN11A010 neuron']					['IN11A010']	
100821	VFB_jrcv25sl	IN06B026_T2_R (MANC:100821)	['adult IN06B029 neuron']	['IN06B029']					
22954	VFB_jrcv0hpm	IN04B023_T1_R (MANC:22954)	['adult IN04B101 neuron']					['IN04B101']	
17170	VFB_jrcv0d8y	TBD (MANC:17170)	['adult IN19B053 neuron']	['IN19B053']					
14965	VFB_jrcv0bjp	AN09B007_T3_L (MANC:14965)	['adult AN09B003 neuron']				['AN09B003']		
197649	VFB_jrcv48i9	SNxx15_AbNT_R (MANC:197649)	['adult SNxx13 neuron']					['SNxx13']	
159030	VFB_jrcv3epi	SNxx13_AbN4_R (MANC:159030)	['adult SNxx21 neuron']						
41669	VFB_jrcv0w5h	SNxx07_AbN2_R (MANC:41669)	['adult SNxx22 neuron']						
152410	VFB_jrcv39lm	TBD (MANC:152410)	['adult INXXX263 neuron']				['INXXX263']		
157860	VFB_jrcv3dt0	IN11B031_T2_R (MANC:157860)	['adult IN11B022 neuron']				['IN11B022_e']		
64246	VFB_jrcv1dkm	SNta24_MesoLN_R (MANC:64246)	['adult SNta19 neuron']				['SNta19']		
11281	VFB_jrcv08pd	IN17A005_T1_L (MANC:11281)	['adult IN17A007 neuron']				['IN17A007']		
102375	VFB_jrcv26zr	IN06A042_T3_L (MANC:102375)	['adult IN06A055 neuron']						
17958	VFB_jrcv0duu	IN03A007_T3_R (MANC:17958)	['adult IN03A070 neuron']	['IN03A070']					
19226	VFB_jrcv0eu2	IN03B063_T2_R (MANC:19226)	['adult IN03B066 neuron']					['IN03B066']	
16949	VFB_jrcv0d2t	TBD (MANC:16949)	['adult MNad44 neuron']						
38059114871	VFB_jrcvebnk	SNta21_ProLN_R (MANC:38059114871)	['adult SNta21 neuron']	['SNta21']					
13054	VFB_jrcv0a2m	TBD (MANC:13054)	['adult INXXX096 neuron']				['INXXX096']		
44450	VFB_jrcv0yaq	SNta20_ProLN_L (MANC:44450)	['adult SNta30 neuron']					['SNta30']	
15162	VFB_jrcv0bp6	TBD (MANC:15162)	['descending neuron of the gnathal ganglion DNg24']		['DNg24']		['DNg24']		
