skid	name	paper_id	paper_name	FBbt_ID
36675	A02n_a3r Pseudolooper-4	2072148	Gerhard et al. 2017	
189519	ddaC_a3l	2072148	Gerhard et al. 2017	
406883	A02m_a3l Pseudolooper-3	2072148	Gerhard et al. 2017	
1078668	A02n_a3l Pseudolooper-4	2072148	Gerhard et al. 2017	
1083314	A02m_a3r Pseudolooper-3	2072148	Gerhard et al. 2017	
1584165	A10a_a3r Chair-1	2072148	Gerhard et al. 2017	
1587380	A10a_a3l Chair-1	2072148	Gerhard et al. 2017	
1591464	v'ada_a3l	2072148	Gerhard et al. 2017	
1591468	vdaB_a3l	2072148	Gerhard et al. 2017	
1591472	ddaC_a3r	2072148	Gerhard et al. 2017	
1591477	v'ada_a3r	2072148	Gerhard et al. 2017	
1591487	A09l_a3r Down-and-back-1	2072148	Gerhard et al. 2017	
1591495	A09l_a3l Down-and-back-1	2072148	Gerhard et al. 2017	
1717121	A09a_a3l Basin-2	2072148	Gerhard et al. 2017	
1725730	A09c_a3l Basin-4	2072148	Gerhard et al. 2017	
1771441	A09a_a3r Basin-2	2072148	Gerhard et al. 2017	
1868541	A09c_a3r Basin-4	2072148	Gerhard et al. 2017	
1870224	vdaB_a3r	2072148	Gerhard et al. 2017	
