filename	label	is_a	part_of	dbxrefs	synonyms
57076	Multiglomerular mALT lvPN#R37 (skeleton_id:57076)	neuron	female organism|adult brain	catmaid_fafb:57076	Multiglomerular mALT lvPN VA5+VA3+DC3+4 LTS 0.91 57077 ML
57080	Multiglomerular mALT lvPN#R36 (skeleton_id:57080)	neuron	female organism|adult brain	catmaid_fafb:57080	Multiglomerular mALT lvPN VA7m+DL1+VA3+7 LTS 0.88 57081 IJA
57089	Multiglomerular mALT lvPN#R39 (skeleton_id:57089)	neuron	female organism|adult brain	catmaid_fafb:57089	Multiglomerular mALT lvPN DA1+DC3+VA7l+5 LTS 0.9 DA1 Type 1b R 57091 IJA
57114	Multiglomerular mALT lvPN#R28 (skeleton_id:57114)	neuron	female organism|adult brain	catmaid_fafb:57114	Multiglomerular mALT lvPN VP2+VP5+VP1m LTS 0.97 57115 HG ECM
57122	Multiglomerular mALT lvPN#R27 (skeleton_id:57122)	neuron	female organism|adult brain	catmaid_fafb:57122	Multiglomerular mALT lvPN VP1m+VP2+VP5+1 LTS 0.95 57123 GA ECM
57126	Multiglomerular mALT lvPN#R25 (skeleton_id:57126)	neuron	female organism|adult brain	catmaid_fafb:57126	Multiglomerular mALT lvPN VP2+D+DA2+6 LTS 0.88 57127 LK
57130	Uniglomerular mALT VC5+ lvPN bilateral#R2 (skeleton_id:57130)	neuron	female organism|adult brain	catmaid_fafb:57130	Uniglomerular mALT VC5+ lvPN bilateral 57131 LK
57134	Multiglomerular mALT lvPN#R21 (skeleton_id:57134)	neuron	female organism|adult brain	catmaid_fafb:57134	Multiglomerular mALT lvPN VP2+VP5+DC4+2 LTS 0.96 57135 GA
57138	Multiglomerular mALT lvPN#R20 (skeleton_id:57138)	neuron	female organism|adult brain	catmaid_fafb:57138	Multiglomerular mALT lvPN VP5+VP2+VP1m LTS 0.96 57139 IJA ECM
57142	Multiglomerular mALT lvPN#R26 (skeleton_id:57142)	neuron	female organism|adult brain	catmaid_fafb:57142	Multiglomerular mALT lvPN VP5+VP2+VP1m+1 LTS 0.95 57143 GA ECM
