filename	label	is_a	part_of	comment	dbxrefs	synonyms
5632663	T4d_R#17 (FAFB:5632663)	neuron	female organism|adult brain	FBbt:00003735, T4d_R#17	catmaid_fafb:5632663	
5646083	T4b_R#16 (FAFB:5646083)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#16	catmaid_fafb:5646083	
5646689	T4d_R#18 (FAFB:5646689)	neuron	female organism|adult brain	FBbt:00003735, T4d_R#18	catmaid_fafb:5646689	
5646798	T4d_R#19 (FAFB:5646798)	neuron	female organism|adult brain	FBbt:00003735, T4d_R#19	catmaid_fafb:5646798	
5646961	T4a_R#13 (FAFB:5646961)	neuron	female organism|adult brain	FBbt:00003732, T4a_R#13	catmaid_fafb:5646961	
5647133	T4b_R#17 (FAFB:5647133)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#17	catmaid_fafb:5647133	
5669023	T4b_R#18 (FAFB:5669023)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#18	catmaid_fafb:5669023	
5671937	T4c_R#3 (FAFB:5671937)	neuron	female organism|adult brain	FBbt:00003734, T4c_R#3	catmaid_fafb:5671937	
5860469	T4a_R#14 (FAFB:5860469)	neuron	female organism|adult brain	FBbt:00003732, T4a_R#14	catmaid_fafb:5860469	
5892816	T4c_R#4 (FAFB:5892816)	neuron	female organism|adult brain	FBbt:00003734, T4c_R#4	catmaid_fafb:5892816	
5908440	T4b_R#19 (FAFB:5908440)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#19	catmaid_fafb:5908440	
5956857	T4a_R#15 (FAFB:5956857)	neuron	female organism|adult brain	FBbt:00003732, T4a_R#15	catmaid_fafb:5956857	
5994673	T4b_R#20 (FAFB:5994673)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#20	catmaid_fafb:5994673	
6018638	T4b_R#21 (FAFB:6018638)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#21	catmaid_fafb:6018638	
6090751	T4b_R#22 (FAFB:6090751)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#22	catmaid_fafb:6090751	
6118417	T4a_R#16 (FAFB:6118417)	neuron	female organism|adult brain	FBbt:00003732, T4a_R#16	catmaid_fafb:6118417	
6138553	T4b_R#23 (FAFB:6138553)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#23	catmaid_fafb:6138553	
6236392	T4a_R#17 (FAFB:6236392)	neuron	female organism|adult brain	FBbt:00003732, T4a_R#17	catmaid_fafb:6236392	
6329933	T4d_R#20 (FAFB:6329933)	neuron	female organism|adult brain	FBbt:00003735, T4d_R#20	catmaid_fafb:6329933	
6332079	T4b_R#24 (FAFB:6332079)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#24	catmaid_fafb:6332079	
6332734	T4a_R#18 (FAFB:6332734)	neuron	female organism|adult brain	FBbt:00003732, T4a_R#18	catmaid_fafb:6332734	
6481408	T4b_R#25 (FAFB:6481408)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#25	catmaid_fafb:6481408	
6494834	T4c_R#5 (FAFB:6494834)	neuron	female organism|adult brain	FBbt:00003734, T4c_R#5	catmaid_fafb:6494834	
6497501	T4a_R#19 (FAFB:6497501)	neuron	female organism|adult brain	FBbt:00003732, T4a_R#19	catmaid_fafb:6497501	
6537901	T4a_R#20 (FAFB:6537901)	neuron	female organism|adult brain	FBbt:00003732, T4a_R#20	catmaid_fafb:6537901	
6586543	T4b_R#26 (FAFB:6586543)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#26	catmaid_fafb:6586543	
6618619	T4b_R#27 (FAFB:6618619)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#27	catmaid_fafb:6618619	
6665395	T4b_R#28 (FAFB:6665395)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#28	catmaid_fafb:6665395	
6666977	T4b_R#29 (FAFB:6666977)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#29	catmaid_fafb:6666977	
6671825	T4b_R#30 (FAFB:6671825)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#30	catmaid_fafb:6671825	
6700529	T4b_R#31 (FAFB:6700529)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#31	catmaid_fafb:6700529	
6769908	Mi1_R#10 (FAFB:6769908)	neuron	female organism|adult brain	FBbt:00003776, Mi1_R#10	catmaid_fafb:6769908	
6884008	Mi1_R#11 (FAFB:6884008)	neuron	female organism|adult brain	FBbt:00003776, Mi1_R#11	catmaid_fafb:6884008	
6934206	T4a_R#21 (FAFB:6934206)	neuron	female organism|adult brain	FBbt:00003732, T4a_R#21	catmaid_fafb:6934206	
6940568	T4b_R#32 (FAFB:6940568)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#32	catmaid_fafb:6940568	
6980083	T4b_R#33 (FAFB:6980083)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#33	catmaid_fafb:6980083	
6991012	T4b_R#34 (FAFB:6991012)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#34	catmaid_fafb:6991012	
7052819	T4b_R#35 (FAFB:7052819)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#35	catmaid_fafb:7052819	
7112001	T4b_R#36 (FAFB:7112001)	neuron	female organism|adult brain	FBbt:00003733, T4b_R#36	catmaid_fafb:7112001	
7139076	T4a_R#22 (FAFB:7139076)	neuron	female organism|adult brain	FBbt:00003732, T4a_R#22	catmaid_fafb:7139076	
7139333	T4d_R#21 (FAFB:7139333)	neuron	female organism|adult brain	FBbt:00003735, T4d_R#21	catmaid_fafb:7139333	
7140549	T4c_R#6 (FAFB:7140549)	neuron	female organism|adult brain	FBbt:00003734, T4c_R#6	catmaid_fafb:7140549	
7141363	T4c_R#7 (FAFB:7141363)	neuron	female organism|adult brain	FBbt:00003734, T4c_R#7	catmaid_fafb:7141363	
