source_id	VFB_id	label	parent_classes	name_in_banc	name_in_flywire_fafb	name_in_hemibrain	name_in_male-cns	name_in_manc	name_in_neuprint_optic_lobe
15028907	VFB_00102f47	DPMpl3 contralateral left TODO (L1EM:15028907)	['DPMpl3 lineage neuron']						
17545744	VFB_001001uv	BAlc post s 6 Right (L1EM:17545744)	['BAlc lineage neuron']						
7373095	VFB_001001f0	BAmd1 d s 3 Right (L1EM:7373095)	['BAmd1 lineage neuron']						
19101351	VFB_00102fky	BLVp1 bilateral descending left (L1EM:19101351)	['BLVp1 lineage neuron']						
17430685	VFB_00102ffd	BLVp1 bilateral 5 left (L1EM:17430685)	['BLVp1 lineage neuron']						
14655602	VFB_00102f3e	DPML1_l (L1EM:14655602)	['DPMl1 lineage neuron']						
16950404	VFB_001001sb	DALd s 4 Right (L1EM:16950404)	['DALd lineage neuron']						
13341456	VFB_001001ki	DPMm1 s right (L1EM:13341456)	['DPMm1 lineage neuron']						
6046598	VFB_001001ep	DPMpm2 s loSM 3 Right (L1EM:6046598)	['DPMpm2 lineage neuron']						
14546734	VFB_001001nh	CM4 s MEFcom 5 Right (L1EM:14546734)	['CM4 lineage neuron']						
16327998	VFB_00102f7x	DALv3 ring2_left (LAL neuron) (L1EM:16327998)	['DALv3 lineage neuron']						
17376806	VFB_001001tj	TR BAlv s 3 Right (L1EM:17376806)	['BAlv lineage neuron']						
16629886	VFB_00102fa5	BLAvm bilateral neuron 3 right; VLP LAL (L1EM:16629886)	['BLAvm lineage neuron']						
12208050	VFB_001001i6	DPMpm1 ppFB 4 - Right (L1EM:12208050)	['DPMpm1 lineage neuron']						
16450562	VFB_00102f90	DPMpm2 small arc right (L1EM:16450562)	['DPMpm2 lineage neuron']						
14651659	VFB_00102f3d	BAmd2_v descending left (L1EM:14651659)	['BAmd2 lineage neuron']						
14267091	VFB_001001mc	DPMm1 ant comm s 2 Left (L1EM:14267091)	['DPMm1 lineage neuron']						
17733182	VFB_001001z4	TR Balv s 2 Left (L1EM:17733182)	['BAlv lineage neuron']						
14267037	VFB_001001mb	DAMd1 s 1 Left (L1EM:14267037)	['DAMd1 lineage neuron']						
6011278	VFB_00102eg9	DPLm1 contralateral 1 left (L1EM:6011278)	['DPLm1 lineage neuron']						
