object	relation	subject_external_id	subject_external_db	pub
adult ventral nerve cord	overlaps	560	fanc1	
left side of organism	overlaps	568	fanc1	
adult prothoracic leg nerve	fasciculates_with	568	fanc1	
peripheral nervous system	overlaps	568	fanc1	
adult ventral nerve cord	overlaps	568	fanc1	
left side of organism	overlaps	572	fanc1	
adult prothoracic leg nerve	fasciculates_with	572	fanc1	
peripheral nervous system	overlaps	572	fanc1	
adult ventral nerve cord	overlaps	572	fanc1	
left side of organism	has soma location	580	fanc1	
adult prothoracic leg nerve	fasciculates_with	580	fanc1	
peripheral nervous system	overlaps	580	fanc1	
adult ventral nerve cord	overlaps	580	fanc1	
left side of organism	overlaps	584	fanc1	
adult prothoracic leg nerve	fasciculates_with	584	fanc1	
peripheral nervous system	overlaps	584	fanc1	
adult ventral nerve cord	overlaps	584	fanc1	
right side of organism	has soma location	2179	fanc1	
adult prothoracic leg nerve	fasciculates_with	2179	fanc1	
peripheral nervous system	overlaps	2179	fanc1	
adult ventral nerve cord	overlaps	2179	fanc1	
right side of organism	has soma location	2211	fanc1	
adult ventral prothoracic nerve	fasciculates_with	2211	fanc1	
peripheral nervous system	overlaps	2211	fanc1	
adult ventral nerve cord	overlaps	2211	fanc1	
right side of organism	has soma location	2215	fanc1	
adult prothoracic accessory nerve	fasciculates_with	2215	fanc1	
peripheral nervous system	overlaps	2215	fanc1	
adult ventral nerve cord	overlaps	2215	fanc1	
right side of organism	has soma location	2219	fanc1	
adult prothoracic accessory nerve	fasciculates_with	2219	fanc1	
peripheral nervous system	overlaps	2219	fanc1	
adult ventral nerve cord	overlaps	2219	fanc1	
right side of organism	has soma location	2231	fanc1	
peripheral nervous system	overlaps	2231	fanc1	
adult ventral nerve cord	overlaps	2231	fanc1	
right side of organism	has soma location	2235	fanc1	
peripheral nervous system	overlaps	2235	fanc1	
adult ventral nerve cord	overlaps	2235	fanc1	
left side of organism	has soma location	2713	fanc1	
adult prothoracic leg nerve	fasciculates_with	2713	fanc1	
peripheral nervous system	overlaps	2713	fanc1	
adult ventral nerve cord	overlaps	2713	fanc1	
right side of organism	has soma location	3005	fanc1	
peripheral nervous system	overlaps	3005	fanc1	
adult ventral nerve cord	overlaps	3005	fanc1	
right side of organism	has soma location	3039	fanc1	
adult prothoracic accessory nerve	fasciculates_with	3039	fanc1	
peripheral nervous system	overlaps	3039	fanc1	
adult ventral nerve cord	overlaps	3039	fanc1	
right side of organism	has soma location	3787	fanc1	
peripheral nervous system	overlaps	3787	fanc1	
adult ventral nerve cord	overlaps	3787	fanc1	
right side of organism	has soma location	3792	fanc1	
peripheral nervous system	overlaps	3792	fanc1	
adult ventral nerve cord	overlaps	3792	fanc1	
right side of organism	has soma location	3802	fanc1	
peripheral nervous system	overlaps	3802	fanc1	
adult ventral nerve cord	overlaps	3802	fanc1	
right side of organism	has soma location	3807	fanc1	
adult ventral prothoracic nerve	fasciculates_with	3807	fanc1	
peripheral nervous system	overlaps	3807	fanc1	
adult ventral nerve cord	overlaps	3807	fanc1	
right side of organism	has soma location	3817	fanc1	
peripheral nervous system	overlaps	3817	fanc1	
adult ventral nerve cord	overlaps	3817	fanc1	
right side of organism	has soma location	3822	fanc1	
adult prothoracic leg nerve	fasciculates_with	3822	fanc1	
peripheral nervous system	overlaps	3822	fanc1	
adult ventral nerve cord	overlaps	3822	fanc1	
right side of organism	has soma location	3832	fanc1	
adult prothoracic leg nerve	fasciculates_with	3832	fanc1	
peripheral nervous system	overlaps	3832	fanc1	
adult ventral nerve cord	overlaps	3832	fanc1	
right side of organism	has soma location	3837	fanc1	
adult prothoracic leg nerve	fasciculates_with	3837	fanc1	
peripheral nervous system	overlaps	3837	fanc1	
adult ventral nerve cord	overlaps	3837	fanc1	
right side of organism	overlaps	6105	fanc1	
adult prothoracic leg nerve	fasciculates_with	6105	fanc1	
peripheral nervous system	overlaps	6105	fanc1	
adult ventral nerve cord	overlaps	6105	fanc1	
left side of organism	overlaps	6121	fanc1	
adult prothoracic leg nerve	fasciculates_with	6121	fanc1	
peripheral nervous system	overlaps	6121	fanc1	
adult ventral nerve cord	overlaps	6121	fanc1	
right side of organism	has soma location	6653	fanc1	
adult ventral prothoracic nerve	fasciculates_with	6653	fanc1	
peripheral nervous system	overlaps	6653	fanc1	
adult ventral nerve cord	overlaps	6653	fanc1	
right side of organism	has soma location	6717	fanc1	
adult prothoracic leg nerve	fasciculates_with	6717	fanc1	
peripheral nervous system	overlaps	6717	fanc1	
adult ventral nerve cord	overlaps	6717	fanc1	
right side of organism	has soma location	8564	fanc1	
adult ventral prothoracic nerve	fasciculates_with	8564	fanc1	
peripheral nervous system	overlaps	8564	fanc1	
adult ventral nerve cord	overlaps	8564	fanc1	
left side of organism	has soma location	8991	fanc1	
adult prothoracic leg nerve	fasciculates_with	8991	fanc1	
peripheral nervous system	overlaps	8991	fanc1	
adult ventral nerve cord	overlaps	8991	fanc1	
left side of organism	has soma location	8995	fanc1	
adult prothoracic leg nerve	fasciculates_with	8995	fanc1	
peripheral nervous system	overlaps	8995	fanc1	
adult ventral nerve cord	overlaps	8995	fanc1	
left side of organism	has soma location	9000	fanc1	
adult prothoracic leg nerve	fasciculates_with	9000	fanc1	
peripheral nervous system	overlaps	9000	fanc1	
adult ventral nerve cord	overlaps	9000	fanc1	
left side of organism	has soma location	9004	fanc1	
adult prothoracic leg nerve	fasciculates_with	9004	fanc1	
peripheral nervous system	overlaps	9004	fanc1	
adult ventral nerve cord	overlaps	9004	fanc1	
left side of organism	has soma location	9008	fanc1	
