FBbt_id	FBbt_label	new_labels	count	existing_labels
FBbt:00001366	supraesophageal ganglion neuron	lineage_TRdl	189	
FBbt:00001366	supraesophageal ganglion neuron	secondary_neuron	148	
FBbt:00001366	supraesophageal ganglion neuron	primary_neuron	4	
FBbt:00001366	supraesophageal ganglion neuron	lineage_TRdm	130	
FBbt:00001546	lineage NB2-5 primary motor neuron	secondary_neuron	2	primary_neuron
FBbt:00003876	lobula columnar neuron LC6	lineage_VPNd3	341	
FBbt:00004066	wing basalar muscle b1 motor neuron	primary_neuron	2	
FBbt:00004067	wing axillary muscle III3 motor neuron	primary_neuron	2	
FBbt:00004068	wing basalar muscle b2 motor neuron	primary_neuron	2	
FBbt:00004069	wing axillary muscle III1 motor neuron	primary_neuron	2	
FBbt:00004070	wing axillary muscle I1 motor neuron	primary_neuron	2	
FBbt:00004079	indirect flight muscle motor neuron DLMN5	primary_neuron	2	
FBbt:00007406	mesothoracic tergotrochanter muscle motor neuron	secondary_neuron	10	
FBbt:00007406	mesothoracic tergotrochanter muscle motor neuron	primary_neuron	2	
FBbt:00007408	peripherally synapsing interneuron	primary_neuron	2	
FBbt:00047246	wing axillary muscle hg1 motor neuron	primary_neuron	2	
FBbt:00047248	ps1 motor neuron	primary_neuron	2	
FBbt:00047319	adult serotonergic SE neuron	primary_neuron	20	
FBbt:00048100	adult doublesex TN1A (male) neuron	secondary_neuron	19	
FBbt:00048101	adult doublesex TN1B (male) neuron	secondary_neuron	11	
FBbt:00048102	adult doublesex TN1C (male) neuron	secondary_neuron	13	
FBbt:00048103	adult doublesex TN1D (male) neuron	secondary_neuron	6	
FBbt:00048104	adult doublesex TN1E (male) neuron	secondary_neuron	6	
FBbt:00048109	wing axillary muscle I2 motor neuron	primary_neuron	2	
FBbt:00048112	DLM motor neuron	primary_neuron	8	
FBbt:00048266	adult dopaminergic neuron of gnathal ganglion	secondary_neuron	3	
FBbt:00048266	adult dopaminergic neuron of gnathal ganglion	primary_neuron	2	
FBbt:00048465	adult dopaminergic mesothoracic neuron	secondary_neuron	1	
FBbt:00048466	adult dopaminergic prothoracic neuron	primary_neuron	1	
FBbt:00048869	NB2-3 lineage primary neuron	secondary_neuron	2	primary_neuron
FBbt:00048902	lineage 17 secondary neuron	primary_neuron	2	secondary_neuron
FBbt:00049090	larval mushroom body feedforward neuron 21	primary_neuron	2	
FBbt:00049466	adult CREa1 lineage neuron	secondary_neuron	367	
FBbt:00049571	metathoracic leg muscle motor neuron	secondary_neuron	2	
FBbt:00049571	metathoracic leg muscle motor neuron	primary_neuron	8	
FBbt:00049597	giant fiber coupled neuron 1	primary_neuron	3	
FBbt:00049598	giant fiber coupled neuron 2	secondary_neuron	9	
FBbt:00049599	giant fiber coupled neuron 3	secondary_neuron	12	
FBbt:00049600	giant fiber coupled neuron 4	secondary_neuron	9	
FBbt:00049787	gamma-s1 Kenyon cell	lineage_MBp4	6	lineage_MBp
FBbt:00049788	gamma-s2 Kenyon cell	lineage_MBp4	5	lineage_MBp
FBbt:00049825	adult Kenyon cell	lineage_MBp3	1	lineage_MBp
FBbt:00049825	adult Kenyon cell	lineage_MBp4	1	lineage_MBp
FBbt:00049828	adult gamma Kenyon cell	lineage_MBp4	1	lineage_MBp
FBbt:00049831	gamma-s3 Kenyon cell	lineage_MBp1	1	lineage_MBp
FBbt:00049836	alpha'/beta' anterior-posterior type 1 Kenyon cell	lineage_MBp4	205	lineage_MBp
FBbt:00049836	alpha'/beta' anterior-posterior type 1 Kenyon cell	lineage_MBp3	177	lineage_MBp
FBbt:00049836	alpha'/beta' anterior-posterior type 1 Kenyon cell	lineage_MBp2	188	lineage_MBp
FBbt:00049836	alpha'/beta' anterior-posterior type 1 Kenyon cell	lineage_MBp1	147	lineage_MBp
FBbt:00049837	alpha'/beta' anterior-posterior type 2 Kenyon cell	lineage_MBp4	176	lineage_MBp
FBbt:00049837	alpha'/beta' anterior-posterior type 2 Kenyon cell	lineage_MBp3	147	lineage_MBp
FBbt:00049837	alpha'/beta' anterior-posterior type 2 Kenyon cell	lineage_MBp2	169	lineage_MBp
FBbt:00049837	alpha'/beta' anterior-posterior type 2 Kenyon cell	lineage_MBp1	184	lineage_MBp
FBbt:00049895	DALcm1 Notch ON hemilineage neuron	secondary_neuron	352	
FBbt:00049899	BAmd1 Notch ON hemilineage neuron	secondary_neuron	367	
FBbt:00049902	DALcl1 Notch OFF hemilineage neuron	secondary_neuron	273	
FBbt:00049907	DALcl2 Notch OFF hemilineage neuron	secondary_neuron	145	
FBbt:00050020	adult DM1 lineage neuron	secondary_neuron	25	
FBbt:00050034	adult LHl2 lineage neuron	secondary_neuron	77	
FBbt:00050046	adult SLPpm1 lineage neuron	primary_neuron	11	
FBbt:00050049	adult LHl1 lineage neuron	secondary_neuron	21	
FBbt:00050070	adult SLPpl2 lineage neuron	lineage_BLP3	9	
FBbt:00050070	adult SLPpl2 lineage neuron	secondary_neuron	5	
FBbt:00050102	adult DM3 lineage neuron	secondary_neuron	38	
FBbt:00050123	adult DM2 lineage neuron	secondary_neuron	38	
FBbt:00050126	adult SLPad1 lineage neuron	secondary_neuron	1	
FBbt:00050147	adult VLPl&p2 lineage neuron	primary_neuron	9	
FBbt:00050186	adult DL1 lineage neuron	secondary_neuron	130	
FBbt:00050251	adult VPNp1 lineage neuron	secondary_neuron	192	
