skid	name	paper_id	paper_name	synonyms	FBbt_ID
8037197	CN-2	21308444	Eschbach, Fushiki et al. 2020b	AG:DL-LH_cand7_left; BLVa12 a 2|MB2ON-110	
8069365	MB2ON-63	21308444	Eschbach, Fushiki et al. 2020b	QI; visual interneuron_right	
8069432	CN-58	21308444	Eschbach, Fushiki et al. 2020b	AD:BAmd1 v 3_Kathak_left|MB2ON-36|LH-1|LHN-22	
8069478	CN-53	21308444	Eschbach, Fushiki et al. 2020b	offPVL09_right (bilateral DS LH)|MB2ON-111|LH-15|LHN-17	
8132513	MB2ON-136	21308444	Eschbach, Fushiki et al. 2020b	BX ; CM4 dor pos 1_right|MB2IN-132	
8184598	MB2ON-3	21308444	Eschbach, Fushiki et al. 2020b	BI ; NI_right	
8310087	CN-15	21308444	Eschbach, Fushiki et al. 2020b	CD ; Key_right|MB2ON-93	
8318813	MB2ON-34	21308444	Eschbach, Fushiki et al. 2020b	DALcl12 v d 5 right	
8357933	MB2ON-62	21308444	Eschbach, Fushiki et al. 2020b	BT; BAmd2 ven desc lat 5_left -AXON WRONG	
8423405	CN-3	21308444	Eschbach, Fushiki et al. 2020b	UE: down pOLP&PVL09_left|MB2ON-126	
8539175	CN-40	21308444	Eschbach, Fushiki et al. 2020b	TT ;  BAmd1 v r _Kathak_right|MB2ON-51	
8542422	CN-58	21308444	Eschbach, Fushiki et al. 2020b	AD:BAmd1 v 3_Kathak_right|MB2ON-36|LH-1|LHN-22	
8565131	CN-57	21308444	Eschbach, Fushiki et al. 2020b	Nest_right|MB2ON-40|LH-14|LHN-21	
8711574	LH-23	21308444	Eschbach, Fushiki et al. 2020b	T2: BLAv1 3 _sibling_right|MB2ON-120	
8847957	LHN-3	21308444	Eschbach, Fushiki et al. 2020b	Bridge II_right|MB2IN-147|LH-6|MB2ON-269	
8912726	MB2ON-116	21308444	Eschbach, Fushiki et al. 2020b	BK1;DALcl12 v d 20_right	
8974428	MB2ON-31	21308444	Eschbach, Fushiki et al. 2020b	R ; DALcm1/2 neuron hemisphere 4_left|MB2IN-115	
8993049	MB2ON-58	21308444	Eschbach, Fushiki et al. 2020b	CZ_left|MB2IN-117	
9006142	MB2ON-6	21308444	Eschbach, Fushiki et al. 2020b	AK ; DALcm12 v p 7_left	
9015568	CN-39	21308444	Eschbach, Fushiki et al. 2020b	scythe right|MB2ON-254	
9051960	MB2ON-53	21308444	Eschbach, Fushiki et al. 2020b	AD ; DALcm12 m ant lat 7_left	
9057998	MB2ON-86	21308444	Eschbach, Fushiki et al. 2020b	S ; Convergence Sibling AB Left; DALcm12 L m ant lat 2_left	
9061235	MB2ON-60	21308444	Eschbach, Fushiki et al. 2020b	BO ; BAmd2 ven desc 7_left	
9116228	MB2ON-125	21308444	Eschbach, Fushiki et al. 2020b	WQ_right	
9212816	CN-23	21308444	Eschbach, Fushiki et al. 2020b	IO; down_oct_right|MB2ON-49	
9236708	CN-23	21308444	Eschbach, Fushiki et al. 2020b	IO; down_oct_left|MB2ON-49	
9294475	MB2ON-31	21308444	Eschbach, Fushiki et al. 2020b	R ; DALcm12 neuron hemisphere 4_right|MB2IN-115	
9409359	CN-6	21308444	Eschbach, Fushiki et al. 2020b	T5; offPVL09_3_large_left|MB2ON-41	
9424902	MB2ON-144	21308444	Eschbach, Fushiki et al. 2020b	Tomato Vine 2_left	
9428865	MB2ON-138	21308444	Eschbach, Fushiki et al. 2020b	AP ;  BAla34 dor 2_left|MB2IN-134	
9447255	LHN-6	21308444	Eschbach, Fushiki et al. 2020b	US1: Claw_left|MB2ON-179|LH-26	
9641919	MB2ON-102	21308444	Eschbach, Fushiki et al. 2020b	S_right	
9709983	MB2ON-148	21308444	Eschbach, Fushiki et al. 2020b	Angry Eyes_right	
9753530	MB2ON-4	21308444	Eschbach, Fushiki et al. 2020b	BH ; Descending 2; CP1 v 2_right	
9870483	MB2ON-137	21308444	Eschbach, Fushiki et al. 2020b	BX 1; column of protocerebral bridge_left	
9965610	MB2ON-136	21308444	Eschbach, Fushiki et al. 2020b	BX ; CM4 dor pos 1_left|MB2IN-132	
10017944	MB2ON-64	21308444	Eschbach, Fushiki et al. 2020b	WI; CM4 dor ant 10 to LAL_left	
10262043	MB2ON-154	21308444	Eschbach, Fushiki et al. 2020b	Sneezy_left	
10322164	MB2ON-147	21308444	Eschbach, Fushiki et al. 2020b	Tiger_right	
10339991	MB2ON-75	21308444	Eschbach, Fushiki et al. 2020b	DPMpm1 3_right	
10411574	CN-28	21308444	Eschbach, Fushiki et al. 2020b	OL: CM4 ven ant 2 DNs_left|MB2ON-56	
10495502	LHN-7	21308444	Eschbach, Fushiki et al. 2020b	U1: WB_DPMpl1_right|MB2ON-180|LH-25	
10543751	CN-4	21308444	Eschbach, Fushiki et al. 2020b	DPMpl lat 7_left|MB2ON-55|MB2IN-192	
10581624	MB2ON-37	21308444	Eschbach, Fushiki et al. 2020b	DPMm1_1_left - ipsi cross-layer CC	
10702736	CN-16	21308444	Eschbach, Fushiki et al. 2020b	AQ ;  DPMpm2_1_left|MB2ON-5	
10758204	MB2ON-61	21308444	Eschbach, Fushiki et al. 2020b	CA ; DPMpm1 1_left	
10875178	MB2ON-48	21308444	Eschbach, Fushiki et al. 2020b	PZ_right	
10875625	CN-26	21308444	Eschbach, Fushiki et al. 2020b	SLP2_left|MB2ON-245	
10880408	MB2ON-48	21308444	Eschbach, Fushiki et al. 2020b	PZ_left	
10918898	MB2ON-67	21308444	Eschbach, Fushiki et al. 2020b	ML_left	
10964258	MB2ON-134	21308444	Eschbach, Fushiki et al. 2020b	BQ_left	
11004239	CN-53	21308444	Eschbach, Fushiki et al. 2020b	offPVL09_left (bilateral DS LH)|MB2ON-111|LH-15|LHN-17	
11137808	CN-3	21308444	Eschbach, Fushiki et al. 2020b	UE: down pOLP&PVL09_right|MB2ON-126	
11178891	CN-46	21308444	Eschbach, Fushiki et al. 2020b	LH bilateral axon 4_right; BLVa12 b 4|MB2ON-108|LH-11|LHN-10	
11257084	CN-56	21308444	Eschbach, Fushiki et al. 2020b	Q; CP23d med of obPl 1 Gap; CP23 d 14_left|MB2IN-126|MB2ON-91|LH-28|LHN-20	
11409587	FB-24	21308444	Eschbach, Fushiki et al. 2020b	CF ; pDM_left|MB2IN-28|MB2ON-84	
11464638	CN-4	21308444	Eschbach, Fushiki et al. 2020b	DPMpl lat 7_right|MB2ON-55|MB2IN-192	
11465297	MB2ON-92	21308444	Eschbach, Fushiki et al. 2020b	CC ; DPLm post 1_right	
11468088	MB2ON-239	21308444	Eschbach, Fushiki et al. 2020b	DALv23 LAL 7 left	
11600886	CN-24	21308444	Eschbach, Fushiki et al. 2020b	T ; Convergence; DALcm12 m ant lat 3_left|MB2IN-110|MB2ON-12	
11642944	MB2ON-150	21308444	Eschbach, Fushiki et al. 2020b	Spiral_left	
11703922	CN-52	21308444	Eschbach, Fushiki et al. 2020b	Bridge III_left|MB2ON-95|LH-7|LHN-16	
11826171	MB2IN-200	21308444	Eschbach, Fushiki et al. 2020b	3rd Thermo AP - Bridge IV_right|MB2ON-96	
