object	relation	subject_external_id	subject_external_db	pub
left side of organism	overlaps	492351	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492351	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492351	catmaid_fanc_JRC2018VF	
right side of organism	has soma location	492385	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492385	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492385	catmaid_fanc_JRC2018VF	
left side of organism	has soma location	492407	catmaid_fanc_JRC2018VF	
adult dorsal prothoracic nerve	fasciculates_with	492407	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492407	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492407	catmaid_fanc_JRC2018VF	
left side of organism	has soma location	492425	catmaid_fanc_JRC2018VF	
adult dorsal prothoracic nerve	fasciculates_with	492425	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492425	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492425	catmaid_fanc_JRC2018VF	
left side of organism	has soma location	492448	catmaid_fanc_JRC2018VF	
adult dorsal prothoracic nerve	fasciculates_with	492448	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492448	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492448	catmaid_fanc_JRC2018VF	
left side of organism	has soma location	492467	catmaid_fanc_JRC2018VF	
adult dorsal prothoracic nerve	fasciculates_with	492467	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492467	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492467	catmaid_fanc_JRC2018VF	
left side of organism	has soma location	492484	catmaid_fanc_JRC2018VF	
adult dorsal prothoracic nerve	fasciculates_with	492484	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492484	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492484	catmaid_fanc_JRC2018VF	
right side of organism	has soma location	492501	catmaid_fanc_JRC2018VF	
adult dorsal prothoracic nerve	fasciculates_with	492501	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492501	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492501	catmaid_fanc_JRC2018VF	
left side of organism	has soma location	492519	catmaid_fanc_JRC2018VF	
adult dorsal prothoracic nerve	fasciculates_with	492519	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492519	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492519	catmaid_fanc_JRC2018VF	
right side of organism	has soma location	492534	catmaid_fanc_JRC2018VF	
adult dorsal prothoracic nerve	fasciculates_with	492534	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492534	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492534	catmaid_fanc_JRC2018VF	
right side of organism	has soma location	492549	catmaid_fanc_JRC2018VF	
adult dorsal prothoracic nerve	fasciculates_with	492549	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492549	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492549	catmaid_fanc_JRC2018VF	
right side of organism	has soma location	492565	catmaid_fanc_JRC2018VF	
adult dorsal prothoracic nerve	fasciculates_with	492565	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492565	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492565	catmaid_fanc_JRC2018VF	
right side of organism	has soma location	492582	catmaid_fanc_JRC2018VF	
adult dorsal prothoracic nerve	fasciculates_with	492582	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492582	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492582	catmaid_fanc_JRC2018VF	
left side of organism	has soma location	492598	catmaid_fanc_JRC2018VF	
adult dorsal prothoracic nerve	fasciculates_with	492598	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492598	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492598	catmaid_fanc_JRC2018VF	
left side of organism	has soma location	492613	catmaid_fanc_JRC2018VF	
adult dorsal prothoracic nerve	fasciculates_with	492613	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492613	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492613	catmaid_fanc_JRC2018VF	
left side of organism	has soma location	492642	catmaid_fanc_JRC2018VF	
adult dorsal prothoracic nerve	fasciculates_with	492642	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492642	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492642	catmaid_fanc_JRC2018VF	
right side of organism	has soma location	492657	catmaid_fanc_JRC2018VF	
adult dorsal prothoracic nerve	fasciculates_with	492657	catmaid_fanc_JRC2018VF	
peripheral nervous system	overlaps	492657	catmaid_fanc_JRC2018VF	
adult ventral nerve cord	overlaps	492657	catmaid_fanc_JRC2018VF	
right side of organism	has soma location	492673	catmaid_fanc_JRC2018VF	
