filename	label	is_a	part_of	comment	dbxrefs	synonyms
32399	Uniglomerular mALT DC3 adPN#R3 (FAFB:32399)	neuron	female organism|adult brain	Uniglomerular mALT DC3 adPN#R3, FBbt:00040000	catmaid_fafb:32399	
33903	Uniglomerular mALT DL3 lPN#R5 (FAFB:33903)	neuron	female organism|adult brain	Uniglomerular mALT DL3 lPN#R5, FBbt:00067364	catmaid_fafb:33903	
35246	Uniglomerular mALT D adPN#R2 (FAFB:35246)	neuron	female organism|adult brain	Uniglomerular mALT D adPN#R2, FBbt:00067355	catmaid_fafb:35246	
35447	Uniglomerular mALT VM5d adPN#R2 (FAFB:35447)	neuron	female organism|adult brain	Uniglomerular mALT VM5d adPN#R2, FBbt:00100385	catmaid_fafb:35447	
36108	Uniglomerular mALT VA7m lPN#R3 (FAFB:36108)	neuron	female organism|adult brain	Uniglomerular mALT VA7m lPN#R3, FBbt:00067365	catmaid_fafb:36108	
36390	Uniglomerular mALT VA1d adPN#R1 (FAFB:36390)	neuron	female organism|adult brain	Uniglomerular mALT VA1d adPN#R1, FBbt:00067357	catmaid_fafb:36390	
37212	Multiglomerular mALT lPN#R4 (FAFB:37212)	neuron	female organism|adult brain	Multiglomerular mALT lPN#R4	catmaid_fafb:37212	
37235	Multiglomerular mALT lPN#R9 (FAFB:37235)	neuron	female organism|adult brain	Multiglomerular mALT lPN#R9	catmaid_fafb:37235	
37250	Uniglomerular mALT DA4m adPN#R1 (FAFB:37250)	neuron	female organism|adult brain	Uniglomerular mALT DA4m adPN#R1, FBbt:00047714	catmaid_fafb:37250	
37513	Biglomerular mALT VP3 + VP1l ivPN bilateral#L1 (FAFB:37513)	neuron	female organism|adult brain	Biglomerular mALT VP3 + VP1l ivPN bilateral#L1	catmaid_fafb:37513	
37935	Uniglomerular mALT VC4 adPN#R1 (FAFB:37935)	neuron	female organism|adult brain	Uniglomerular mALT VC4 adPN#R1, FBbt:00100383	catmaid_fafb:37935	
38885	Uniglomerular mALT DA2 lPN#R2 (FAFB:38885)	neuron	female organism|adult brain	Uniglomerular mALT DA2 lPN#R2, FBbt:00110882	catmaid_fafb:38885	
39139	Uniglomerular mALT VM5d adPN#R1 (FAFB:39139)	neuron	female organism|adult brain	Uniglomerular mALT VM5d adPN#R1, FBbt:00100385	catmaid_fafb:39139	
39254	Uniglomerular mALT VC5 adPN#R1 (FAFB:39254)	neuron	female organism|adult brain	Uniglomerular mALT VC5 adPN#R1	catmaid_fafb:39254	
39668	Uniglomerular mALT DL5 adPN#R1 (FAFB:39668)	neuron	female organism|adult brain	Uniglomerular mALT DL5 adPN#R1, FBbt:00067028	catmaid_fafb:39668	
39682	Uniglomerular mALT DM4 adPN#R1 (FAFB:39682)	neuron	female organism|adult brain	Uniglomerular mALT DM4 adPN#R1, FBbt:00100381	catmaid_fafb:39682	
40306	Uniglomerular mALT VM7d adPN#R1 (FAFB:40306)	neuron	female organism|adult brain	Uniglomerular mALT VM7d adPN#R1, FBbt:00049514	catmaid_fafb:40306	
40637	Uniglomerular mALT D adPN#R3 (FAFB:40637)	neuron	female organism|adult brain	Uniglomerular mALT D adPN#R3, FBbt:00067355	catmaid_fafb:40637	
40749	Uniglomerular mALT DA4l adPN#R1 (FAFB:40749)	neuron	female organism|adult brain	Uniglomerular mALT DA4l adPN#R1, FBbt:00100367	catmaid_fafb:40749	
41308	Uniglomerular mALT VM3 adPN#R1 (FAFB:41308)	neuron	female organism|adult brain	Uniglomerular mALT VM3 adPN#R1, FBbt:00100481	catmaid_fafb:41308	
41578	Uniglomerular mALT VC3l adPN#R2 (FAFB:41578)	neuron	female organism|adult brain	Uniglomerular mALT VC3l adPN#R2	catmaid_fafb:41578	
42421	Uniglomerular mALT VA1d adPN#R2 (FAFB:42421)	neuron	female organism|adult brain	Uniglomerular mALT VA1d adPN#R2, FBbt:00067357	catmaid_fafb:42421	
42927	Uniglomerular mALT VC4 adPN#R2 (FAFB:42927)	neuron	female organism|adult brain	Uniglomerular mALT VC4 adPN#R2, FBbt:00100383	catmaid_fafb:42927	
43539	Uniglomerular mALT VM7v adPN#R2 (FAFB:43539)	neuron	female organism|adult brain	Uniglomerular mALT VM7v adPN#R2, FBbt:00007454	catmaid_fafb:43539	
45242	Uniglomerular mALT VC2 lPN#R1 (FAFB:45242)	neuron	female organism|adult brain	Uniglomerular mALT VC2 lPN#R1, FBbt:00007449	catmaid_fafb:45242	
45882	Biglomerular mALT VP3 + VP1l ivPN bilateral#R1 (FAFB:45882)	neuron	female organism|adult brain	Biglomerular mALT VP3 + VP1l ivPN bilateral#R1	catmaid_fafb:45882	
46105	Biglomerular VP1m + VP5 mALT ilPN bilateral#L1 (FAFB:46105)	neuron	female organism|adult brain	Biglomerular VP1m + VP5 mALT ilPN bilateral#L1	catmaid_fafb:46105	
46493	Uniglomerular mALT DC4 adPN#R1 (FAFB:46493)	neuron	female organism|adult brain	Uniglomerular mALT DC4 adPN#R1, FBbt:00111211	catmaid_fafb:46493	
46800	Uniglomerular mALT VC3l adPN#R1 (FAFB:46800)	neuron	female organism|adult brain	Uniglomerular mALT VC3l adPN#R1	catmaid_fafb:46800	
49026	Multiglomerular mALT adPN#R7 (FAFB:49026)	neuron	female organism|adult brain	Multiglomerular mALT adPN#R7, FBbt:00100369	catmaid_fafb:49026	
49865	Uniglomerular mALT VM5d adPN#R4 (FAFB:49865)	neuron	female organism|adult brain	Uniglomerular mALT VM5d adPN#R4, FBbt:00100385	catmaid_fafb:49865	
51080	Uniglomerular mALT VA1v adPN#R4 (FAFB:51080)	neuron	female organism|adult brain	Uniglomerular mALT VA1v adPN#R4, FBbt:00067361	catmaid_fafb:51080	
51886	Uniglomerular mALT VM2 adPN#R2 (FAFB:51886)	neuron	female organism|adult brain	Uniglomerular mALT VM2 adPN#R2, FBbt:00067359	catmaid_fafb:51886	
52106	Uniglomerular mALT VA1v adPN#R3 (FAFB:52106)	neuron	female organism|adult brain	Uniglomerular mALT VA1v adPN#R3, FBbt:00067361	catmaid_fafb:52106	
53631	Uniglomerular mALT DA2 lPN#R5 (FAFB:53631)	neuron	female organism|adult brain	Uniglomerular mALT DA2 lPN#R5, FBbt:00110882	catmaid_fafb:53631	
53671	Uniglomerular mALT VM5v adPN#R1 (FAFB:53671)	neuron	female organism|adult brain	Uniglomerular mALT VM5v adPN#R1, FBbt:00100386	catmaid_fafb:53671	
54072	Uniglomerular mALT VM2 adPN#R1 (FAFB:54072)	neuron	female organism|adult brain	Uniglomerular mALT VM2 adPN#R1, FBbt:00067359	catmaid_fafb:54072	
55085	Uniglomerular mALT VC4 adPN#R3 (FAFB:55085)	neuron	female organism|adult brain	Uniglomerular mALT VC4 adPN#R3, FBbt:00100383	catmaid_fafb:55085	
55125	Uniglomerular mALT VA1v adPN#R2 (FAFB:55125)	neuron	female organism|adult brain	Uniglomerular mALT VA1v adPN#R2, FBbt:00067361	catmaid_fafb:55125	
56424	Uniglomerular mALT DM2 lPN#R1 (FAFB:56424)	neuron	female organism|adult brain	Uniglomerular mALT DM2 lPN#R1, FBbt:00067368	catmaid_fafb:56424	
56623	Uniglomerular mALT DL2v adPN#R2 (FAFB:56623)	neuron	female organism|adult brain	Uniglomerular mALT DL2v adPN#R2, FBbt:00100388	catmaid_fafb:56623	
57003	Uniglomerular mALT VM4 lvPN#R1 (FAFB:57003)	neuron	female organism|adult brain	Uniglomerular mALT VM4 lvPN#R1	catmaid_fafb:57003	
57241	Uniglomerular mALT DC3 adPN#R2 (FAFB:57241)	neuron	female organism|adult brain	Uniglomerular mALT DC3 adPN#R2, FBbt:00040000	catmaid_fafb:57241	
57246	Uniglomerular mALT VA1v adPN#R1 (FAFB:57246)	neuron	female organism|adult brain	Uniglomerular mALT VA1v adPN#R1, FBbt:00067361	catmaid_fafb:57246	
57254	Multiglomerular mALT adPN#R5 (FAFB:57254)	neuron	female organism|adult brain	Multiglomerular mALT adPN#R5, FBbt:00100369	catmaid_fafb:57254	
57266	Multiglomerular mALT adPN#R6 (FAFB:57266)	neuron	female organism|adult brain	Multiglomerular mALT adPN#R6, FBbt:00100369	catmaid_fafb:57266	
57274	Multiglomerular mALT adPN#R11 (FAFB:57274)	neuron	female organism|adult brain	Multiglomerular mALT adPN#R11, FBbt:00100369	catmaid_fafb:57274	
57307	Uniglomerular mALT DM6 adPN#R3 (FAFB:57307)	neuron	female organism|adult brain	Uniglomerular mALT DM6 adPN#R3, FBbt:00067360	catmaid_fafb:57307	
57311	Uniglomerular mALT DA1 lPN#R2 (FAFB:57311)	neuron	female organism|adult brain	Uniglomerular mALT DA1 lPN#R2, FBbt:00067363	catmaid_fafb:57311	
57319	Uniglomerular mALT VA3 adPN#R1 (FAFB:57319)	neuron	female organism|adult brain	Uniglomerular mALT VA3 adPN#R1, FBbt:00067356	catmaid_fafb:57319	
