filename	label	is_a	part_of	dbxrefs
3078	VP1m l2PN_L 3078	neuron	female organism|adult brain	catmaid_fafb:3078
8798	KCg-s1R 8798	neuron	female organism|adult brain	catmaid_fafb:8798
30571	PPL202#1 30571	neuron	female organism|adult brain	catmaid_fafb:30571
32793	Multiglomerular mALT l2PN#R2 32793	neuron	female organism|adult brain	catmaid_fafb:32793
56999	Uniglomerular mALT VP1l+ lvPN#R3 56999	neuron	female organism|adult brain	catmaid_fafb:56999
57015	Multiglomerular mALT lvPN#R18 57015	neuron	female organism|adult brain	catmaid_fafb:57015
57051	Multiglomerular mALT lvPN#R22 57051	neuron	female organism|adult brain	catmaid_fafb:57051
57059	Multiglomerular mALT lvPN#R29 57059	neuron	female organism|adult brain	catmaid_fafb:57059
57063	Uniglomerular mALT VP2 + SEZ lvPN#R3 57063	neuron	female organism|adult brain	catmaid_fafb:57063
57110	LHAV8a1#1 57110	neuron	female organism|adult brain	catmaid_fafb:57110
57114	Multiglomerular mALT lvPN#R28 57114	neuron	female organism|adult brain	catmaid_fafb:57114
57122	Multiglomerular mALT lvPN#R27 57122	neuron	female organism|adult brain	catmaid_fafb:57122
57126	Multiglomerular mALT lvPN#R25 57126	neuron	female organism|adult brain	catmaid_fafb:57126
57130	Uniglomerular mALT VC5+ lvPN bilateral#R2 57130	neuron	female organism|adult brain	catmaid_fafb:57130
57134	Multiglomerular mALT lvPN#R21 57134	neuron	female organism|adult brain	catmaid_fafb:57134
57138	Multiglomerular mALT lvPN#R20 57138	neuron	female organism|adult brain	catmaid_fafb:57138
57142	Multiglomerular mALT lvPN#R26 57142	neuron	female organism|adult brain	catmaid_fafb:57142
57146	Uniglomerular mALT VP2 + SEZ lvPN#R1 57146	neuron	female organism|adult brain	catmaid_fafb:57146
57166	Uniglomerular mALT VP2 + SEZ lvPN#R2 57166	neuron	female organism|adult brain	catmaid_fafb:57166
57175	Multiglomerular mALT lvPN#R19 57175	neuron	female organism|adult brain	catmaid_fafb:57175
57200	Uniglomerular mALT VP1l+ lvPN#R2 57200	neuron	female organism|adult brain	catmaid_fafb:57200
57224	Uniglomerular mALT VP1l+ lvPN#R1 57224	neuron	female organism|adult brain	catmaid_fafb:57224
57236	Uniglomerular mALT VC5+ lvPN bilateral#R1 57236	neuron	female organism|adult brain	catmaid_fafb:57236
57430	Multiglomerular mALT lPN bilateral#R3 57430	neuron	female organism|adult brain	catmaid_fafb:57430
57434	Multiglomerular mALT lPN bilateral#R2 57434	neuron	female organism|adult brain	catmaid_fafb:57434
57442	Multiglomerular mALT lPN#R7 57442	neuron	female organism|adult brain	catmaid_fafb:57442
57446	Multiglomerular mALT lPN#R3 57446	neuron	female organism|adult brain	catmaid_fafb:57446
57475	Multiglomerular mALT smPN bilateral#L1 57475	neuron	female organism|adult brain	catmaid_fafb:57475
