filename	label	is_a	part_of	comment	dbxrefs	synonyms
3136251	LHPD3a4#1 (FAFB:3136251)	neuron	female organism|adult brain	LHPD3a4#1	catmaid_fafb:3136251	
3136591	LHPV2c1#3 (FAFB:3136591)	neuron	female organism|adult brain	FBbt:00049381, LHPV2c1#3	catmaid_fafb:3136591	
3367291	LHPV4a7#1 (FAFB:3367291)	neuron	female organism|adult brain	FBbt:00049390, LHPV4a7#1	catmaid_fafb:3367291	
3376158	LHPV6o1#1 (FAFB:3376158)	neuron	female organism|adult brain	LHPV6o1#1	catmaid_fafb:3376158	
3393889	LHAV4e4#1 (FAFB:3393889)	neuron	female organism|adult brain	LHAV4e4#1	catmaid_fafb:3393889	
3421839	LHPV4a2#3 (FAFB:3421839)	neuron	female organism|adult brain	FBbt:00049385, LHPV4a2#3	catmaid_fafb:3421839	
3481901	LHPD3a5#1 (FAFB:3481901)	neuron	female organism|adult brain	FBbt:00049375, LHPD3a5#1	catmaid_fafb:3481901	
3587600	LHAV5a1#1 (FAFB:3587600)	neuron	female organism|adult brain	FBbt:00049360, LHAV5a1#1	catmaid_fafb:3587600	
3877150	LHAD1b2#6 (FAFB:3877150)	neuron	female organism|adult brain	FBbt:00049323, LHAD1b2#6	catmaid_fafb:3877150	
3897655	LHPV4a1#2 (FAFB:3897655)	neuron	female organism|adult brain	FBbt:00049385, LHPV4a1#2	catmaid_fafb:3897655	
3931736	LHPV3b1#1 (FAFB:3931736)	neuron	female organism|adult brain	FBbt:00049383, LHPV3b1#1	catmaid_fafb:3931736	
3931886	LHPV2a1#4 (FAFB:3931886)	neuron	female organism|adult brain	FBbt:00049380, LHPV2a1#4	catmaid_fafb:3931886	
3932461	LHPV2a1#5 (FAFB:3932461)	neuron	female organism|adult brain	FBbt:00049382, LHPV2a1#5	catmaid_fafb:3932461	
4017748	VES002#1 (FAFB:4017748)	neuron	female organism|adult brain	FBbt:00049453, VES002#1	catmaid_fafb:4017748	
4044614	LHPV4a2#2 (FAFB:4044614)	neuron	female organism|adult brain	FBbt:00049385, LHPV4a2#2	catmaid_fafb:4044614	
4100701	LHPV4k1#1 (FAFB:4100701)	neuron	female organism|adult brain	FBbt:00049388, LHPV4k1#1	catmaid_fafb:4100701	
4176088	LHAV7a1#1 (FAFB:4176088)	neuron	female organism|adult brain	FBbt:00049367, LHAV7a1#1	catmaid_fafb:4176088	
4176285	LHPV4a7#2 (FAFB:4176285)	neuron	female organism|adult brain	FBbt:00049390, LHPV4a7#2	catmaid_fafb:4176285	
4182038	LHPD3a2#1 (FAFB:4182038)	neuron	female organism|adult brain	FBbt:00049376, LHPD3a2#1	catmaid_fafb:4182038	
4191753	LC43#1 (FAFB:4191753)	neuron	female organism|adult brain	FBbt:00049449, LC43#1	catmaid_fafb:4191753	
4215506	LHPV4a5#1 (FAFB:4215506)	neuron	female organism|adult brain	FBbt:00049388, LHPV4a5#1	catmaid_fafb:4215506	
4274682	LHPV4a4#3 (FAFB:4274682)	neuron	female organism|adult brain	FBbt:00049387, LHPV4a4#3	catmaid_fafb:4274682	
4292232	LHPV4g1#1 (FAFB:4292232)	neuron	female organism|adult brain	FBbt:00049401, LHPV4g1#1	catmaid_fafb:4292232	
4355299	LHPV4a9#1 (FAFB:4355299)	neuron	female organism|adult brain	FBbt:00049393, LHPV4a9#1	catmaid_fafb:4355299	
4513533	LHAD1b2#5 (FAFB:4513533)	neuron	female organism|adult brain	FBbt:00049323, LHAD1b2#5	catmaid_fafb:4513533	
4672476	WEDPN5#1 (FAFB:4672476)	neuron	female organism|adult brain	FBbt:00049458, WEDPN5#1	catmaid_fafb:4672476	
4744251	LHAD1b2#1 (FAFB:4744251)	neuron	female organism|adult brain	FBbt:00049323, LHAD1b2#1	catmaid_fafb:4744251	
4902612	LHAV6b1#1 (FAFB:4902612)	neuron	female organism|adult brain	FBbt:00049364, LHAV6b1#1	catmaid_fafb:4902612	
4945705	LHPV5b3#1 (FAFB:4945705)	neuron	female organism|adult brain	FBbt:00049412, LHPV5b3#1	catmaid_fafb:4945705	
4974403	PLP156#1 (FAFB:4974403)	neuron	female organism|adult brain	FBbt:00049452, PLP156#1	catmaid_fafb:4974403	
5292219	LHPV5b2#1 (FAFB:5292219)	neuron	female organism|adult brain	FBbt:00049411, LHPV5b2#1	catmaid_fafb:5292219	
5341336	LHAV3a1#1 (FAFB:5341336)	neuron	female organism|adult brain	FBbt:00049344, LHAV3a1#1	catmaid_fafb:5341336	
5670783	LHPV4a4#2 (FAFB:5670783)	neuron	female organism|adult brain	FBbt:00049387, LHPV4a4#2	catmaid_fafb:5670783	
5676478	LHPV5c2#1 (FAFB:5676478)	neuron	female organism|adult brain	FBbt:00049414, LHPV5c2#1	catmaid_fafb:5676478	
5807217	LHPV5g2#1 (FAFB:5807217)	neuron	female organism|adult brain	FBbt:00049418, LHPV5g2#1	catmaid_fafb:5807217	
5918547	LHPV4a4#5 (FAFB:5918547)	neuron	female organism|adult brain	FBbt:00049387, LHPV4a4#5	catmaid_fafb:5918547	
5990596	LHAV4e7#2 (FAFB:5990596)	neuron	female organism|adult brain	FBbt:00049355, LHAV4e7#2	catmaid_fafb:5990596	
6185360	AVLP026#1 (FAFB:6185360)	neuron	female organism|adult brain	AVLP026#1	catmaid_fafb:6185360	
6197374	LHPV5c3#1 (FAFB:6197374)	neuron	female organism|adult brain	FBbt:00049415, LHPV5c3#1	catmaid_fafb:6197374	
6203604	LHPV4b1#1 (FAFB:6203604)	neuron	female organism|adult brain	FBbt:00049396, LHPV4b1#1	catmaid_fafb:6203604	
6536624	LHAD1b1#1 (FAFB:6536624)	neuron	female organism|adult brain	FBbt:00049322, LHAD1b1#1	catmaid_fafb:6536624	
6772893	LHAV6c1#1 (FAFB:6772893)	neuron	female organism|adult brain	FBbt:00049366, LHAV6c1#1	catmaid_fafb:6772893	
6825565	LHPV4a4#4 (FAFB:6825565)	neuron	female organism|adult brain	FBbt:00049387, LHPV4a4#4	catmaid_fafb:6825565	
6900869	LHPV4a4#1 (FAFB:6900869)	neuron	female organism|adult brain	FBbt:00049387, LHPV4a4#1	catmaid_fafb:6900869	
7483643	LHPV4a2#1 (FAFB:7483643)	neuron	female organism|adult brain	FBbt:00049385, LHPV4a2#1	catmaid_fafb:7483643	
7739922	GNG-PN1#1 (FAFB:7739922)	neuron	female organism|adult brain	FBbt:00049447, GNG-PN1#1	catmaid_fafb:7739922	
8521115	LC40b#1 (FAFB:8521115)	neuron	female organism|adult brain	FBbt:00049450, LC40b#1	catmaid_fafb:8521115	
8739442	LHPV6a1#1 (FAFB:8739442)	neuron	female organism|adult brain	FBbt:00049420, LHPV6a1#1	catmaid_fafb:8739442	
8927505	AVLP560#1 (FAFB:8927505)	neuron	female organism|adult brain	FBbt:00049443, AVLP560#1	catmaid_fafb:8927505	
9249174	WEDPN2B#2 (FAFB:9249174)	neuron	female organism|adult brain	WEDPN2B#2	catmaid_fafb:9249174	
11519370	LHAD1a1#1 (FAFB:11519370)	neuron	female organism|adult brain	FBbt:00049318, LHAD1a1#1	catmaid_fafb:11519370	
11519536	PV4b2#1 (FAFB:11519536)	neuron	female organism|adult brain	FBbt:00049397, PV4b2#1	catmaid_fafb:11519536	
11520049	LHPV5a3#1 (FAFB:11520049)	neuron	female organism|adult brain	FBbt:00049409, LHPV5a3#1	catmaid_fafb:11520049	
11522508	LHAV4b1#1 (FAFB:11522508)	neuron	female organism|adult brain	FBbt:00049365, LHAV4b1#1	catmaid_fafb:11522508	
