Template	Painted_domain	Instances	Anatomy
L3 CNS template - Wood2018_c	right dorsolateral neuropil of A1 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of A8 on L3 CNS template, Wood2018	1	['centromedial domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of maxillary segment on L3 CNS template, Wood2018	1	['centromedial domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	right T3 leg neuropil on L3 CNS template, Wood2018	1	['larval T3 leg neuropil']
L3 CNS template - Wood2018_c	posterior inferior protocerebrum on L3 CNS template, Wood2018	1	['larval posterior inferior protocerebrum']
L3 CNS template - Wood2018_c	right centromedial neuropil of labial segment on L3 CNS template, Wood2018	1	['centromedial domain of larval labial neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of T3 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	anterior ventromedial cerebrum on L3 CNS template, Wood2018	1	['embryonic/larval anterior ventromedial cerebrum']
L3 CNS template - Wood2018_c	left ventral neuropil of A9 on L3 CNS template, Wood2018	1	['ventral domain of larval A9 neuromere']
L3 CNS template - Wood2018_c	right ventromedial neuropil of A6 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	superior medial protocerebrum on L3 CNS template, Wood2018	1	['embryonic/larval superior medial protocerebrum']
L3 CNS template - Wood2018_c	right centromedial neuropil of A6 on L3 CNS template, Wood2018	1	['centromedial domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of mandibular segment on L3 CNS template, Wood2018	1	['centrolateral domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of mandibular segment on L3 CNS template, Wood2018	1	['dorsomedial domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of T3 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	anterior superior medial protocerebrum on L3 CNS template, Wood2018	1	['embryonic/larval anterior superior medial protocerebrum']
L3 CNS template - Wood2018_c	right central neuropil of A8 on L3 CNS template, Wood2018	1	['central domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	right central neuropil of A7 on L3 CNS template, Wood2018	1	['central domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	mushroom body on L3 CNS template, Wood2018	1	['embryonic/larval mushroom body']
L3 CNS template - Wood2018_c	right central neuropil of T1 on L3 CNS template, Wood2018	1	['central domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of maxillary segment on L3 CNS template, Wood2018	1	['central domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of mandibular segment on L3 CNS template, Wood2018	1	['ventromedial domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of A8 on L3 CNS template, Wood2018	1	['centromedial domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of T3 on L3 CNS template, Wood2018	1	['centromedial domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of labial segment on L3 CNS template, Wood2018	1	['ventrolateral domain of larval labial neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of A3 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of A4 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	left ventromedial subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['ventromedial domain of larval central nervous system']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of A6 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	right ventromedial neuropil of A7 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of A7 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of maxillary segment on L3 CNS template, Wood2018	1	['dorsomedial domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of T1 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of T2 on L3 CNS template, Wood2018	1	['centromedial domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of A2 on L3 CNS template, Wood2018	1	['centromedial domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of T3 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A1 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['dorsomedial domain of larval central nervous system']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of A1 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of T1 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of A2 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of A2 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of A2 on L3 CNS template, Wood2018	1	['centromedial domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of A1 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of A5 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of A1 on L3 CNS template, Wood2018	1	['central domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	lateral accessory lobe on L3 CNS template, Wood2018	1	['embryonic/larval lateral accessory lobe']
L3 CNS template - Wood2018_c	left centromedial subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['centromedial domain of larval central nervous system']
L3 CNS template - Wood2018_c	right ventromedial neuropil of A5 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of A4 on L3 CNS template, Wood2018	1	['centromedial domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of tritocerebrum on L3 CNS template, Wood2018	1	['central domain of larval tritocerebrum']
L3 CNS template - Wood2018_c	right centrolateral neuropil of T1 on L3 CNS template, Wood2018	1	['centrolateral domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of A1 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of tritocerebrum on L3 CNS template, Wood2018	1	['dorsal domain of larval tritocerebrum']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of T2 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of T2 on L3 CNS template, Wood2018	1	['centrolateral domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	superior intermediate protocerebrum on L3 CNS template, Wood2018	1	['superior intermediate protocerebrum']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of A6 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of T3 on L3 CNS template, Wood2018	1	['central domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of A8 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of T1 on L3 CNS template, Wood2018	1	['centromedial domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of A8 on L3 CNS template, Wood2018	1	['central domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of A4 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	pedunculus of mushroom body on L3 CNS template, Wood2018	1	['pedunculus of larval mushroom body']
L3 CNS template - Wood2018_c	ventromedial cerebrum on L3 CNS template, Wood2018	1	['embryonic/larval ventromedial cerebrum']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of A1 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of mandibular segment on L3 CNS template, Wood2018	1	['central domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	right ventromedial neuropil of mandibular segment on L3 CNS template, Wood2018	1	['ventromedial domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	right central neuropil of A5 on L3 CNS template, Wood2018	1	['central domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of maxillary segment on L3 CNS template, Wood2018	1	['dorsomedial domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	right central neuropil of A6 on L3 CNS template, Wood2018	1	['central domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of labial segment on L3 CNS template, Wood2018	1	['centrolateral domain of larval labial neuromere']
L3 CNS template - Wood2018_c	clamp on L3 CNS template, Wood2018	1	['embryonic/larval superior clamp']
L3 CNS template - Wood2018_c	right central neuropil of A3 on L3 CNS template, Wood2018	1	['central domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of A7 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of T2 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of mandibular segment on L3 CNS template, Wood2018	1	['centrolateral domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of tritocerebrum on L3 CNS template, Wood2018	1	['centromedial domain of larval tritocerebrum']
L3 CNS template - Wood2018_c	left central neuropil of A9 on L3 CNS template, Wood2018	1	['central domain of larval A9 neuromere']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of A4 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	right central neuropil of A2 on L3 CNS template, Wood2018	1	['central domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of A6 on L3 CNS template, Wood2018	1	['central domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of A3 on L3 CNS template, Wood2018	1	['central domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of A5 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of A5 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	lower toe on L3 CNS template, Wood2018	1	['lower toe of larval mushroom body medial lobe']
L3 CNS template - Wood2018_c	right centrolateral neuropil of maxillary segment on L3 CNS template, Wood2018	1	['centrolateral domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of maxillary segment on L3 CNS template, Wood2018	1	['dorsolateral domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of A1 on L3 CNS template, Wood2018	1	['centromedial domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of A8 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of A1 on L3 CNS template, Wood2018	1	['centromedial domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	right central neuropil of maxillary segment on L3 CNS template, Wood2018	1	['central domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	right central neuropil of mandibular segment on L3 CNS template, Wood2018	1	['central domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of A3 on L3 CNS template, Wood2018	1	['centromedial domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of T2 on L3 CNS template, Wood2018	2	['ventrolateral domain of larval T2 neuromere', 'ventrolateral domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A2 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	left dorsolateral subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['dorsolateral domain of larval central nervous system']
L3 CNS template - Wood2018_c	right dorsolateral subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['dorsolateral domain of larval central nervous system']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of A2 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of A6 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of A7 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	right central subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['central domain of larval central nervous system']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of maxillary segment on L3 CNS template, Wood2018	1	['dorsolateral domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of A4 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of T1 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of labial segment on L3 CNS template, Wood2018	1	['centrolateral domain of larval labial neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of A8 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	right ventromedial neuropil of A1 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of maxillary segment on L3 CNS template, Wood2018	1	['ventromedial domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	right ventromedial subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['ventromedial domain of larval central nervous system']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of tritocerebrum on L3 CNS template, Wood2018	1	['dorsal domain of larval tritocerebrum']
L3 CNS template - Wood2018_c	right central neuropil of T2 on L3 CNS template, Wood2018	1	['central domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of A6 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	left T3 leg neuropil on L3 CNS template, Wood2018	1	['larval T3 leg neuropil']
L3 CNS template - Wood2018_c	right T1 leg neuropil on L3 CNS template, Wood2018	1	['larval T1 leg neuropil']
L3 CNS template - Wood2018_c	left central neuropil of A5 on L3 CNS template, Wood2018	1	['central domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A4 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of mandibular segment on L3 CNS template, Wood2018	1	['dorsomedial domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of T1 on L3 CNS template, Wood2018	2	['ventrolateral domain of larval T1 neuromere', 'ventrolateral domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of maxillary segment on L3 CNS template, Wood2018	1	['ventrolateral domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A7 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	right dorsal neuropil of A9 on L3 CNS template, Wood2018	1	['dorsal domain of larval A9 neuromere']
L3 CNS template - Wood2018_c	right ventromedial neuropil of A8 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	posterior ventromedial cerebrum on L3 CNS template, Wood2018	1	['embryonic/larval posterior ventromedial cerebrum']
L3 CNS template - Wood2018_c	right ventromedial neuropil of A2 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of A1 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of maxillary segment on L3 CNS template, Wood2018	1	['ventrolateral domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	right T2 leg neuropil on L3 CNS template, Wood2018	1	['larval T2 leg neuropil']
L3 CNS template - Wood2018_c	left central neuropil of A2 on L3 CNS template, Wood2018	1	['central domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of A5 on L3 CNS template, Wood2018	1	['centromedial domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	left T1 leg neuropil on L3 CNS template, Wood2018	1	['larval T1 leg neuropil']
L3 CNS template - Wood2018_c	left centrolateral neuropil of A6 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of A5 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of tritocerebrum on L3 CNS template, Wood2018	1	['ventromedial domain of larval tritocerebrum']
L3 CNS template - Wood2018_c	left centrolateral neuropil of A5 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of A3 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of A7 on L3 CNS template, Wood2018	1	['centromedial domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A6 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	calyx of mushroom body on L3 CNS template, Wood2018	1	['calyx of larval mushroom body']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of T1 on L3 CNS template, Wood2018	2	['ventrolateral domain of larval T1 neuromere', 'ventrolateral domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of T3 on L3 CNS template, Wood2018	1	['centrolateral domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of A3 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of T3 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	right ventromedial neuropil of A4 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A3 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of A2 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	right central neuropil of A1 on L3 CNS template, Wood2018	1	['central domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	crepine on L3 CNS template, Wood2018	1	['embryonic/larval crepine']
L3 CNS template - Wood2018_c	posterior superior medial protocerebrum on L3 CNS template, Wood2018	1	['embryonic/larval posterior superior medial protocerebrum']
L3 CNS template - Wood2018_c	antennal lobe on L3 CNS template, Wood2018	1	['embryonic/larval antennal lobe']
L3 CNS template - Wood2018_c	left centromedial neuropil of labial segment on L3 CNS template, Wood2018	1	['centromedial domain of larval labial neuromere']
L3 CNS template - Wood2018_c	protocerebral bridge - primordial on L3 CNS template, Wood2018	1	['embryonic/larval protocerebral bridge - primordial']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of T2 on L3 CNS template, Wood2018	2	['ventrolateral domain of larval T2 neuromere', 'ventrolateral domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	lateral appendix of mushroom body on L3 CNS template, Wood2018	1	['lateral appendix of larval mushroom body']
L3 CNS template - Wood2018_c	right centromedial neuropil of A4 on L3 CNS template, Wood2018	1	['centromedial domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A8 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A5 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	right ventral neuropil of A9 on L3 CNS template, Wood2018	1	['ventral domain of larval A9 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of T2 on L3 CNS template, Wood2018	1	['centromedial domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of maxillary segment on L3 CNS template, Wood2018	1	['centromedial domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	left dorsal neuropil of A9 on L3 CNS template, Wood2018	1	['dorsal domain of larval A9 neuromere']
L3 CNS template - Wood2018_c	right ventromedial neuropil of maxillary segment on L3 CNS template, Wood2018	1	['ventromedial domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	right centromedial subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['centromedial domain of larval central nervous system']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of mandibular segment on L3 CNS template, Wood2018	1	['ventrolateral domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	anterior optic tubercle primordial on L3 CNS template, Wood2018	1	['embryonic/larval anterior optic tubercle primordial']
L3 CNS template - Wood2018_c	right ventromedial neuropil of labial segment on L3 CNS template, Wood2018	1	['ventromedial domain of larval labial neuromere']
L3 CNS template - Wood2018_c	superior lateral protocerebrum on L3 CNS template, Wood2018	1	['embryonic/larval superior lateral protocerebrum']
L3 CNS template - Wood2018_c	right centrolateral neuropil of A2 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of mandibular segment on L3 CNS template, Wood2018	1	['centromedial domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of A3 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	right central neuropil of labial segment on L3 CNS template, Wood2018	1	['central domain of larval labial neuromere']
L3 CNS template - Wood2018_c	left ventrolateral subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['ventrolateral domain of larval central nervous system']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of A2 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of T3 on L3 CNS template, Wood2018	1	['centromedial domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of A4 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of A7 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of T1 on L3 CNS template, Wood2018	1	['centrolateral domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of A8 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of labial segment on L3 CNS template, Wood2018	1	['ventrolateral domain of larval labial neuromere']
L3 CNS template - Wood2018_c	spur of mushroom body on L3 CNS template, Wood2018	1	['spur of larval mushroom body']
L3 CNS template - Wood2018_c	left central neuropil of T2 on L3 CNS template, Wood2018	1	['central domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of A5 on L3 CNS template, Wood2018	1	['centromedial domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of A6 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	left central subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['central domain of larval central nervous system']
L3 CNS template - Wood2018_c	right centrolateral subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['centrolateral domain of larval central nervous system']
L3 CNS template - Wood2018_c	left centrolateral neuropil of A2 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of T3 on L3 CNS template, Wood2018	1	['centrolateral domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	medial lobe of mushroom body on L3 CNS template, Wood2018	1	['medial lobe of larval mushroom body']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of T1 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	posterior lateral protocerebrum on L3 CNS template, Wood2018	1	['embryonic/larval posterior lateral protocerebrum']
L3 CNS template - Wood2018_c	left centrolateral neuropil of A7 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of A1 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of T3 on L3 CNS template, Wood2018	2	['ventrolateral domain of larval T3 neuromere', 'ventrolateral domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of tritocerebrum on L3 CNS template, Wood2018	1	['centromedial domain of larval tritocerebrum']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of A3 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of labial segment on L3 CNS template, Wood2018	1	['central domain of larval labial neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of A6 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	ventrolateral protocerebrum on L3 CNS template, Wood2018	1	['embryonic/larval ventrolateral protocerebrum']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of A4 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of T1 on L3 CNS template, Wood2018	1	['central domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of T1 on L3 CNS template, Wood2018	1	['centromedial domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of T2 on L3 CNS template, Wood2018	1	['centrolateral domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of A8 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of mandibular segment on L3 CNS template, Wood2018	1	['centromedial domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of A8 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of labial segment on L3 CNS template, Wood2018	1	['dorsolateral domain of larval labial neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of A3 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of T2 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of A7 on L3 CNS template, Wood2018	1	['central domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	fan-shaped body - primordial on L3 CNS template, Wood2018	1	['embryonic/larval fan-shaped body - primordial']
