filename	label	is_a	part_of	dbxrefs
720956	WPNB3#3 720956	neuron	female organism|adult brain	catmaid_fafb:720956
829827	Dense ABAF LN#1 829827	neuron	female organism|adult brain	catmaid_fafb:829827
1783540	DA2 ORN #4 1783540	neuron	female organism|adult brain	catmaid_fafb:1783540
1989293	DA2 ORN #5 1989293	neuron	female organism|adult brain	catmaid_fafb:1989293
1989493	DC1 ORN #5 1989493	neuron	female organism|adult brain	catmaid_fafb:1989493
1990940	Patchy LN #1 1990940	neuron	female organism|adult brain	catmaid_fafb:1990940
2825182	LN #1 2825182	neuron	female organism|adult brain	catmaid_fafb:2825182
2849437	Patchy LN #2 2849437	neuron	female organism|adult brain	catmaid_fafb:2849437
2851276	LN #2 2851276	neuron	female organism|adult brain	catmaid_fafb:2851276
2891306	Dense ABAF LN#2 2891306	neuron	female organism|adult brain	catmaid_fafb:2891306
3077882	SIMPAL-Right #1 3077882	neuron	female organism|adult brain	catmaid_fafb:3077882
3085783	SIMPAL-Right #2 3085783	neuron	female organism|adult brain	catmaid_fafb:3085783
3601125	WPNB1#2 3601125	neuron	female organism|adult brain	catmaid_fafb:3601125
3644717	SMP Input Neuron #1 3644717	neuron	female organism|adult brain	catmaid_fafb:3644717
3721315	CSDn-left 3721315	neuron	female organism|adult brain	catmaid_fafb:3721315
3755537	WPNB2#2 3755537	neuron	female organism|adult brain	catmaid_fafb:3755537
3802286	DA2 ORN #6 3802286	neuron	female organism|adult brain	catmaid_fafb:3802286
3808894	DC1 ORN #6 3808894	neuron	female organism|adult brain	catmaid_fafb:3808894
3808901	DC1 ORN #7 3808901	neuron	female organism|adult brain	catmaid_fafb:3808901
3808955	vLN#1 3808955	neuron	female organism|adult brain	catmaid_fafb:3808955
3821611	WPNB1#1 3821611	neuron	female organism|adult brain	catmaid_fafb:3821611
3823702	LN #3 3823702	neuron	female organism|adult brain	catmaid_fafb:3823702
3823762	DC1 ORN #15 3823762	neuron	female organism|adult brain	catmaid_fafb:3823762
3823793	DC1 ORN #8 3823793	neuron	female organism|adult brain	catmaid_fafb:3823793
3823828	DC1 ORN #9 3823828	neuron	female organism|adult brain	catmaid_fafb:3823828
3823842	DC1 ORN #10 3823842	neuron	female organism|adult brain	catmaid_fafb:3823842
3871868	WPNB3#4 3871868	neuron	female organism|adult brain	catmaid_fafb:3871868
4079928	DM1 ORN #6 4079928	neuron	female organism|adult brain	catmaid_fafb:4079928
4081029	DM1 ORN #18 4081029	neuron	female organism|adult brain	catmaid_fafb:4081029
4081141	DM1 ORN #7 4081141	neuron	female organism|adult brain	catmaid_fafb:4081141
4081183	DM1 ORN #8 4081183	neuron	female organism|adult brain	catmaid_fafb:4081183
4081193	DM1 ORN #9 4081193	neuron	female organism|adult brain	catmaid_fafb:4081193
4081200	DM1 ORN #20 4081200	neuron	female organism|adult brain	catmaid_fafb:4081200
4095049	VM1 ORN #4 4095049	neuron	female organism|adult brain	catmaid_fafb:4095049
4271367	WPNB3#5 4271367	neuron	female organism|adult brain	catmaid_fafb:4271367
4799868	LN #4 4799868	neuron	female organism|adult brain	catmaid_fafb:4799868
5007809	DA2 ORN #7 5007809	neuron	female organism|adult brain	catmaid_fafb:5007809
5038796	DM5 ORN #8 5038796	neuron	female organism|adult brain	catmaid_fafb:5038796
5110857	DM5 ORN #9 5110857	neuron	female organism|adult brain	catmaid_fafb:5110857
5111043	LN #5 5111043	neuron	female organism|adult brain	catmaid_fafb:5111043
5111160	LN #6 5111160	neuron	female organism|adult brain	catmaid_fafb:5111160
5111282	DM5 ORN #10 5111282	neuron	female organism|adult brain	catmaid_fafb:5111282
5111360	DM5 ORN #23 5111360	neuron	female organism|adult brain	catmaid_fafb:5111360
5114950	LN #22 5114950	neuron	female organism|adult brain	catmaid_fafb:5114950
5115050	LN #7 5115050	neuron	female organism|adult brain	catmaid_fafb:5115050
5115064	LN #8 5115064	neuron	female organism|adult brain	catmaid_fafb:5115064
5157807	SIMPAL-Left #2 5157807	neuron	female organism|adult brain	catmaid_fafb:5157807
5157896	DC1 ORN #16 5157896	neuron	female organism|adult brain	catmaid_fafb:5157896
5158081	DC1 ORN #11 5158081	neuron	female organism|adult brain	catmaid_fafb:5158081
5164684	DC1 ORN #12 5164684	neuron	female organism|adult brain	catmaid_fafb:5164684
5171464	LN #9 5171464	neuron	female organism|adult brain	catmaid_fafb:5171464
5184269	VM1 ORN #5 5184269	neuron	female organism|adult brain	catmaid_fafb:5184269
5219918	sparse ABAF LN#1 5219918	neuron	female organism|adult brain	catmaid_fafb:5219918
5243155	Patchy LN #3 5243155	neuron	female organism|adult brain	catmaid_fafb:5243155
5530489	VM1 ORN #6 5530489	neuron	female organism|adult brain	catmaid_fafb:5530489
5533203	VM1 ORN #7 5533203	neuron	female organism|adult brain	catmaid_fafb:5533203
5692633	Patchy LN #4 5692633	neuron	female organism|adult brain	catmaid_fafb:5692633
5849310	DM1 ORN #21 5849310	neuron	female organism|adult brain	catmaid_fafb:5849310
5849467	DM1 ORN #22 5849467	neuron	female organism|adult brain	catmaid_fafb:5849467
5994210	Patchy LN #5 5994210	neuron	female organism|adult brain	catmaid_fafb:5994210
6097229	WPNB2#1 6097229	neuron	female organism|adult brain	catmaid_fafb:6097229
6128900	VM1 ORN #8 6128900	neuron	female organism|adult brain	catmaid_fafb:6128900
6185002	LN #10 6185002	neuron	female organism|adult brain	catmaid_fafb:6185002
6190457	Patchy LN #6 6190457	neuron	female organism|adult brain	catmaid_fafb:6190457
6192677	LN #11 6192677	neuron	female organism|adult brain	catmaid_fafb:6192677
6209269	Patchy LN #7 6209269	neuron	female organism|adult brain	catmaid_fafb:6209269
6478900	WPNB3#2 6478900	neuron	female organism|adult brain	catmaid_fafb:6478900
6535884	DA2 ORN #8 6535884	neuron	female organism|adult brain	catmaid_fafb:6535884
6621981	VM2 ORN #1 6621981	neuron	female organism|adult brain	catmaid_fafb:6621981
6645033	CSDn-right 6645033	neuron	female organism|adult brain	catmaid_fafb:6645033
6715465	DA2 ORN #9 6715465	neuron	female organism|adult brain	catmaid_fafb:6715465
6792329	WPNB3#6 6792329	neuron	female organism|adult brain	catmaid_fafb:6792329
7018632	vLNb#1 7018632	neuron	female organism|adult brain	catmaid_fafb:7018632
7161775	DM1 ORN #10 7161775	neuron	female organism|adult brain	catmaid_fafb:7161775
7167832	DM1 ORN #23 7167832	neuron	female organism|adult brain	catmaid_fafb:7167832
7179380	DM1 ORN #11 7179380	neuron	female organism|adult brain	catmaid_fafb:7179380
7179492	DM1 ORN #12 7179492	neuron	female organism|adult brain	catmaid_fafb:7179492
7179501	DM1 ORN #13 7179501	neuron	female organism|adult brain	catmaid_fafb:7179501
7179547	DM1 ORN #14 7179547	neuron	female organism|adult brain	catmaid_fafb:7179547
7179613	DM1 ORN #15 7179613	neuron	female organism|adult brain	catmaid_fafb:7179613
7276604	WPNB3#1 7276604	neuron	female organism|adult brain	catmaid_fafb:7276604
7278969	DA1 ORN #1 7278969	neuron	female organism|adult brain	catmaid_fafb:7278969
7278989	LN #12 7278989	neuron	female organism|adult brain	catmaid_fafb:7278989
7298321	Patchy LN #8 7298321	neuron	female organism|adult brain	catmaid_fafb:7298321
7298505	LNsez #1 7298505	neuron	female organism|adult brain	catmaid_fafb:7298505
7298540	Patchy LN #9 7298540	neuron	female organism|adult brain	catmaid_fafb:7298540
7298614	Patchy LN #10 7298614	neuron	female organism|adult brain	catmaid_fafb:7298614
7337521	DA2 ORN #10 7337521	neuron	female organism|adult brain	catmaid_fafb:7337521
7348199	Patchy LN #11 7348199	neuron	female organism|adult brain	catmaid_fafb:7348199
7348208	DA2 ORN #12 7348208	neuron	female organism|adult brain	catmaid_fafb:7348208
7349832	DA2 ORN #13 7349832	neuron	female organism|adult brain	catmaid_fafb:7349832
7349865	DA2 ORN #14 7349865	neuron	female organism|adult brain	catmaid_fafb:7349865
7349870	DA2 ORN #15 7349870	neuron	female organism|adult brain	catmaid_fafb:7349870
7363590	DA2 ORN #16 7363590	neuron	female organism|adult brain	catmaid_fafb:7363590
7363897	DA2 ORN #17 7363897	neuron	female organism|adult brain	catmaid_fafb:7363897
7364280	Patchy LN #12 7364280	neuron	female organism|adult brain	catmaid_fafb:7364280
7365232	vLN#2 7365232	neuron	female organism|adult brain	catmaid_fafb:7365232
7365266	DA2 ORN #18 7365266	neuron	female organism|adult brain	catmaid_fafb:7365266
7462291	DA2 ORN #19 7462291	neuron	female organism|adult brain	catmaid_fafb:7462291
7490384	DA2 ORN #20 7490384	neuron	female organism|adult brain	catmaid_fafb:7490384
7490413	DA2 ORN #21 7490413	neuron	female organism|adult brain	catmaid_fafb:7490413
7702725	Patchy LN #13 7702725	neuron	female organism|adult brain	catmaid_fafb:7702725
7961811	VM1 ORN #9 7961811	neuron	female organism|adult brain	catmaid_fafb:7961811
8149476	vLN#3 8149476	neuron	female organism|adult brain	catmaid_fafb:8149476
8149505	vLNb#2 8149505	neuron	female organism|adult brain	catmaid_fafb:8149505
8382473	Patchy LN #14 8382473	neuron	female organism|adult brain	catmaid_fafb:8382473
8382638	VM2 ORN #2 8382638	neuron	female organism|adult brain	catmaid_fafb:8382638
8382644	VM2 ORN #3 8382644	neuron	female organism|adult brain	catmaid_fafb:8382644
8382651	VM2 ORN #4 8382651	neuron	female organism|adult brain	catmaid_fafb:8382651
8404202	LN #13 8404202	neuron	female organism|adult brain	catmaid_fafb:8404202
