filename	label	is_a	part_of	dbxrefs
9186	neuron 9187 (9186)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9186
9190	neuron 9191 (9190)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9190
9194	neuron 9195 (9194)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9194
9202	neuron 9203 (9202)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9202
9206	neuron 9207 (9206)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9206
9210	neuron 9211 (9210)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9210
9476	neuron 9477 (9476)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9476
9493	neuron 9494 (9493)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9493
9551	neuron 9552 (9551)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9551
9556	neuron 9557 (9556)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9556
9629	neuron 9630 (9629)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9629
9686	neuron 9687 (9686)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9686
9708	neuron 9709 (9708)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9708
9745	neuron 9746 (9745)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9745
9754	neuron 9755 (9754)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9754
9771	neuron 9772 (9771)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9771
9796	neuron 9797 (9796)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9796
9841	neuron 9842 (9841)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9841
9851	neuron 9852 (9851)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9851
9856	neuron 9857 (9856)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9856
9861	neuron 9862 (9861)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9861
9866	neuron 9867 (9866)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9866
9872	neuron 9873 (9872)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9872
9877	neuron 9878 (9877)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9877
9882	neuron 9883 (9882)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9882
9887	neuron 9888 (9887)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9887
9892	neuron 9893 (9892)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9892
9898	neuron 9899 (9898)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9898
9912	neuron 9913 (9912)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9912
9928	neuron 9929 (9928)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9928
9934	neuron 9935 (9934)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:9934
10207	neuron 10208 (10207)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10207
10212	neuron 10213 (10212)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10212
10217	neuron 10218 (10217)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10217
10222	neuron 10223 (10222)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10222
10227	neuron 10228 (10227)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10227
10232	neuron 10233 (10232)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10232
10237	neuron 10238 (10237)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10237
10242	neuron 10243 (10242)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10242
10247	neuron 10248 (10247)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10247
10252	neuron 10253 (10252)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10252
10258	neuron 10259 (10258)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10258
10298	neuron 10299 (10298)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10298
10366	neuron 10367 (10366)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10366
10371	neuron 10372 (10371)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10371
10376	neuron 10377 (10376)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10376
10384	neuron 10385 (10384)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10384
10392	neuron 10393 (10392)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10392
10406	neuron 10407 (10406)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10406
10413	neuron 10414 (10413)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10413
