filename	label	is_a	part_of	dbxrefs	synonyms
7423431	VP2+SEZ lvPN1#1_L	neuron	female organism|adult brain	catmaid_fafb:7423431	7423431
7427360	VP3RNar#3	neuron	female organism|adult brain	catmaid_fafb:7427360	7427360
7463926	VP1l+ lvPN1#2_L	neuron	female organism|adult brain	catmaid_fafb:7463926	7463926
7837487	VP1lRNl#1	neuron	female organism|adult brain	catmaid_fafb:7837487	7837487
7910699	VP1lRNl#6	neuron	female organism|adult brain	catmaid_fafb:7910699	7910699
7910760	VP1lRNl#7	neuron	female organism|adult brain	catmaid_fafb:7910760	7910760
8406430	Multiglomerular t10-mALT l2PN#R1	neuron	female organism|adult brain	catmaid_fafb:8406430	8406430
8665620	VP1lRNr#4	neuron	female organism|adult brain	catmaid_fafb:8665620	8665620
8715672	Multiglomerular t2-mALT ilPN#R1	neuron	female organism|adult brain	catmaid_fafb:8715672	8715672
8808525	LHPV6f1#2	neuron	female organism|adult brain	catmaid_fafb:8808525	8808525
8808541	KCgR#3	neuron	female organism|adult brain	catmaid_fafb:8808541	8808541
8808581	KCa'b'-m_R#1	neuron	female organism|adult brain	catmaid_fafb:8808581	8808581
8820702	PD5g1#4	neuron	female organism|adult brain	catmaid_fafb:8820702	8820702
8821288	KCa'b'-ap1_R#6	neuron	female organism|adult brain	catmaid_fafb:8821288	8821288
8822544	KCgR#5	neuron	female organism|adult brain	catmaid_fafb:8822544	8822544
8825246	Multiglomerular t3-mALT l2PN#R2	neuron	female organism|adult brain	catmaid_fafb:8825246	8825246
8847299	KCa'b'-ap1_L#8	neuron	female organism|adult brain	catmaid_fafb:8847299	8847299
8848927	KCa'b'-ap1_L#6	neuron	female organism|adult brain	catmaid_fafb:8848927	8848927
8851349	KCa'b'-ap1_L#3	neuron	female organism|adult brain	catmaid_fafb:8851349	8851349
8853436	KCg-s2L	neuron	female organism|adult brain	catmaid_fafb:8853436	8853436
8853753	LHPV4c#1_L	neuron	female organism|adult brain	catmaid_fafb:8853753	8853753
8854268	LHPV4c#3_L	neuron	female organism|adult brain	catmaid_fafb:8854268	8854268
8854339	tKCa'b'-ap1_L#1	neuron	female organism|adult brain	catmaid_fafb:8854339	8854339
8864744	KCa'b'-ap1_L#10	neuron	female organism|adult brain	catmaid_fafb:8864744	8864744
8864990	VP2+ adPN_L	neuron	female organism|adult brain	catmaid_fafb:8864990	8864990
8865424	KCa'b'-ap1_L#12	neuron	female organism|adult brain	catmaid_fafb:8865424	8865424
8865505	KCgL#2	neuron	female organism|adult brain	catmaid_fafb:8865505	8865505
8865603	KCgL#3	neuron	female organism|adult brain	catmaid_fafb:8865603	8865603
8866744	KCa'b'-ap1_L#4	neuron	female organism|adult brain	catmaid_fafb:8866744	8866744
8867359	KCa'b'-ap1_L#1	neuron	female organism|adult brain	catmaid_fafb:8867359	8867359
8867611	DN1a#1_L	neuron	female organism|adult brain	catmaid_fafb:8867611	8867611
8867765	PV6r1#1_L	neuron	female organism|adult brain	catmaid_fafb:8867765	8867765
8869397	KCa'b'-ap1_L#5	neuron	female organism|adult brain	catmaid_fafb:8869397	8869397
8869803	KCa'b'-ap1_L#11	neuron	female organism|adult brain	catmaid_fafb:8869803	8869803
8870427	KCa'b'-ap1_L#9	neuron	female organism|adult brain	catmaid_fafb:8870427	8870427
8870514	PV6r1#2_L	neuron	female organism|adult brain	catmaid_fafb:8870514	8870514
8872558	LHPV4c#4_L	neuron	female organism|adult brain	catmaid_fafb:8872558	8872558
8873592	LHAV3q1#1_L	neuron	female organism|adult brain	catmaid_fafb:8873592	8873592
8875932	PD5g1#2_L	neuron	female organism|adult brain	catmaid_fafb:8875932	8875932
8876600	DN1-l_L	neuron	female organism|adult brain	catmaid_fafb:8876600	8876600
8877293	PV6r1#4_L	neuron	female organism|adult brain	catmaid_fafb:8877293	8877293
8877321	KCa'b'-ap1_L#7	neuron	female organism|adult brain	catmaid_fafb:8877321	8877321
8880131	PD5g1#3_L	neuron	female organism|adult brain	catmaid_fafb:8880131	8880131
8880337	tKCa'b'-ap1_L#2	neuron	female organism|adult brain	catmaid_fafb:8880337	8880337
8880705	PV7c1#1	neuron	female organism|adult brain	catmaid_fafb:8880705	8880705
8880798	LHPV4c#5_L	neuron	female organism|adult brain	catmaid_fafb:8880798	8880798
8883804	LHPV4c#2_L	neuron	female organism|adult brain	catmaid_fafb:8883804	8883804
8883836	PD5g1#1_L	neuron	female organism|adult brain	catmaid_fafb:8883836	8883836
8884784	tKCa'b'-ap1_L#3	neuron	female organism|adult brain	catmaid_fafb:8884784	8884784
8885938	KCa'b'-ap1_L#2	neuron	female organism|adult brain	catmaid_fafb:8885938	8885938
8896969	PV6r1#3_L	neuron	female organism|adult brain	catmaid_fafb:8896969	8896969
9018826	AV3r1#1_L	neuron	female organism|adult brain	catmaid_fafb:9018826	9018826
9027601	VP1lRNl#2	neuron	female organism|adult brain	catmaid_fafb:9027601	9027601
