filename	label	is_a	part_of	dbxrefs
8995	neuron 8996 (FANC:8995)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9000	neuron 9001 (FANC:9000)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9004	neuron 9005 (FANC:9004)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9008	neuron 9009 (FANC:9008)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9012	neuron 9013 (FANC:9012)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9016	neuron 9017 (FANC:9016)	neuron|sensory neuron|hair plate	female organism|adult ventral nerve cord	
9020	neuron 9021 (FANC:9020)	neuron|sensory neuron|hair plate	female organism|adult ventral nerve cord	
9024	neuron 9025 (FANC:9024)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9028	neuron 9029 (FANC:9028)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9170	neuron 9171 (FANC:9170)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9174	neuron 9175 (FANC:9174)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9186	neuron 9187 (FANC:9186)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9190	neuron 9191 (FANC:9190)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9194	neuron 9195 (FANC:9194)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9202	neuron 9203 (FANC:9202)	neuron	female organism|adult ventral nerve cord	
9206	neuron 9207 (FANC:9206)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9210	neuron 9211 (FANC:9210)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9476	neuron 9477 (FANC:9476)	neuron	female organism|adult ventral nerve cord	
9493	neuron 9494 (FANC:9493)	neuron	female organism|adult ventral nerve cord	
9551	neuron 9552 (FANC:9551)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9556	neuron 9557 (FANC:9556)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9629	neuron 9630 (FANC:9629)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9686	neuron 9687 (FANC:9686)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9708	neuron 9709 (FANC:9708)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9745	neuron 9746 (FANC:9745)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9754	neuron 9755 (FANC:9754)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9771	neuron 9772 (FANC:9771)	neuron	female organism|adult ventral nerve cord	
9796	neuron 9797 (FANC:9796)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9841	neuron 9842 (FANC:9841)	neuron|sensory neuron|hair plate	female organism|adult ventral nerve cord	
9851	neuron 9852 (FANC:9851)	neuron|sensory neuron|hair plate	female organism|adult ventral nerve cord	
9856	neuron 9857 (FANC:9856)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9861	neuron 9862 (FANC:9861)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9866	neuron 9867 (FANC:9866)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9872	neuron 9873 (FANC:9872)	neuron	female organism|adult ventral nerve cord	
9877	neuron 9878 (FANC:9877)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9882	neuron 9883 (FANC:9882)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9887	neuron 9888 (FANC:9887)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9892	neuron 9893 (FANC:9892)	neuron|sensory neuron|hair plate	female organism|adult ventral nerve cord	
9898	neuron 9899 (FANC:9898)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9912	neuron 9913 (FANC:9912)	neuron|sensory neuron|hair plate	female organism|adult ventral nerve cord	
9928	neuron 9929 (FANC:9928)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
9934	neuron 9935 (FANC:9934)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10207	neuron 10208 (FANC:10207)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10212	neuron 10213 (FANC:10212)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10217	neuron 10218 (FANC:10217)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10222	neuron 10223 (FANC:10222)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10227	neuron 10228 (FANC:10227)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10232	neuron 10233 (FANC:10232)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10237	neuron 10238 (FANC:10237)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10242	neuron 10243 (FANC:10242)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10247	neuron 10248 (FANC:10247)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10252	neuron 10253 (FANC:10252)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10258	neuron 10259 (FANC:10258)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10298	neuron 10299 (FANC:10298)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10366	neuron 10367 (FANC:10366)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10371	neuron 10372 (FANC:10371)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10376	neuron 10377 (FANC:10376)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10384	neuron 10385 (FANC:10384)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10392	neuron 10393 (FANC:10392)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10406	neuron 10407 (FANC:10406)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10413	neuron 10414 (FANC:10413)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10423	neuron 10424 (FANC:10423)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10525	neuron 10526 (FANC:10525)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10530	neuron 10531 (FANC:10530)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10535	neuron 10536 (FANC:10535)	neuron|sensory neuron|hair plate	female organism|adult ventral nerve cord	
10541	neuron 10542 (FANC:10541)	neuron|sensory neuron|campaniform sensillum	female organism|adult ventral nerve cord	
10546	neuron 10547 (FANC:10546)	neuron|sensory neuron|campaniform sensillum	female organism|adult ventral nerve cord	
10551	neuron 10552 (FANC:10551)	neuron|sensory neuron|campaniform sensillum	female organism|adult ventral nerve cord	
10556	neuron 10557 (FANC:10556)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10561	neuron 10562 (FANC:10561)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10566	neuron 10567 (FANC:10566)	neuron|sensory neuron|campaniform sensillum	female organism|adult ventral nerve cord	
10571	neuron 10572 (FANC:10571)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10576	neuron 10577 (FANC:10576)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10581	neuron 10582 (FANC:10581)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10640	neuron 10641 (FANC:10640)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10645	neuron 10646 (FANC:10645)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10650	neuron 10651 (FANC:10650)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10655	neuron 10656 (FANC:10655)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10660	neuron 10661 (FANC:10660)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10665	neuron 10666 (FANC:10665)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10672	neuron 10673 (FANC:10672)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
10679	neuron 10680 (FANC:10679)	neuron|motor neuron	female organism|adult ventral nerve cord	
10767	neuron 10768 (FANC:10767)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10775	neuron 10776 (FANC:10775)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10780	neuron 10781 (FANC:10780)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10795	neuron 10796 (FANC:10795)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10801	neuron 10802 (FANC:10801)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10812	neuron 10813 (FANC:10812)	neuron|motor neuron	female organism|adult ventral nerve cord	
10828	neuron 10829 (FANC:10828)	neuron|motor neuron	female organism|adult ventral nerve cord	
10840	neuron 10841 (FANC:10840)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10970	neuron 10971 (FANC:10970)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
10985	neuron 10986 (FANC:10985)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11001	neuron 11002 (FANC:11001)	neuron|motor neuron	female organism|adult ventral nerve cord	
11010	neuron 11011 (FANC:11010)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11042	neuron 11043 (FANC:11042)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11051	neuron 11052 (FANC:11051)	neuron|motor neuron	female organism|adult ventral nerve cord	
11061	neuron 11062 (FANC:11061)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11126	neuron 11127 (FANC:11126)	neuron|motor neuron	female organism|adult ventral nerve cord	
11171	neuron 11172 (FANC:11171)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11181	neuron 11182 (FANC:11181)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11212	neuron 11213 (FANC:11212)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11284	neuron 11285 (FANC:11284)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11298	neuron 11299 (FANC:11298)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11319	neuron 11320 (FANC:11319)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11338	neuron 11339 (FANC:11338)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11348	neuron 11349 (FANC:11348)	neuron|motor neuron	female organism|adult ventral nerve cord	
11379	neuron 11380 (FANC:11379)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11391	neuron 11392 (FANC:11391)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11402	neuron 11403 (FANC:11402)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11412	neuron 11413 (FANC:11412)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11439	neuron 11440 (FANC:11439)	neuron	female organism|adult ventral nerve cord	
11467	neuron 11468 (FANC:11467)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
