filename	label	is_a	part_of	comment	dbxrefs
492351	neuron 81155 (FANC:492351)	neuron|sensory neuron	female organism|adult nervous system	intersegmental, sensory neuron, left T3 leg nerve, possible campaniform sensillum, skeleton	catmaid_fanc_JRC2018VF:492351|catmaid_fanc:81154
492385	neuron 13958 (FANC:492385)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron C1 bundle, left cervical nerve, right soma, skeleton	catmaid_fanc_JRC2018VF:492385|catmaid_fanc:13957
492407	neuron 15499 (FANC:492407)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, left T1 dorsal nerve, skeleton, left soma	catmaid_fanc_JRC2018VF:492407|catmaid_fanc:15498
492425	neuron 15505 (FANC:492425)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, left T1 dorsal nerve, skeleton, left soma	catmaid_fanc_JRC2018VF:492425|catmaid_fanc:15504
492448	neuron 15511 (FANC:492448)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, left T1 dorsal nerve, skeleton, left soma	catmaid_fanc_JRC2018VF:492448|catmaid_fanc:15510
492467	neuron 15517 (FANC:492467)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, left T1 dorsal nerve, skeleton, left soma	catmaid_fanc_JRC2018VF:492467|catmaid_fanc:15516
492484	neuron 10680 (FANC:492484)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, left T1 dorsal nerve, skeleton, left soma	catmaid_fanc_JRC2018VF:492484|catmaid_fanc:10679
492501	neuron 2232 (FANC:492501)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, right T1 dorsal nerve, skeleton, right soma	catmaid_fanc_JRC2018VF:492501|catmaid_fanc:2231
492519	neuron 12990 (FANC:492519)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, left T1 dorsal nerve, skeleton, left soma	catmaid_fanc_JRC2018VF:492519|catmaid_fanc:12989
492534	neuron 3006 (FANC:492534)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, right T1 dorsal nerve, skeleton, right soma	catmaid_fanc_JRC2018VF:492534|catmaid_fanc:3005
492549	neuron 3788 (FANC:492549)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, right T1 dorsal nerve, skeleton, right soma	catmaid_fanc_JRC2018VF:492549|catmaid_fanc:3787
492565	neuron 10829 (FANC:492565)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, right T1 dorsal nerve, skeleton, right soma	catmaid_fanc_JRC2018VF:492565|catmaid_fanc:10828
492582	neuron 3793 (FANC:492582)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, right T1 dorsal nerve, skeleton, right soma	catmaid_fanc_JRC2018VF:492582|catmaid_fanc:3792
492598	neuron 11349 (FANC:492598)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, left T1 dorsal nerve, skeleton, left soma	catmaid_fanc_JRC2018VF:492598|catmaid_fanc:11348
492613	neuron 13013 (FANC:492613)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, left T1 dorsal nerve, skeleton, left soma	catmaid_fanc_JRC2018VF:492613|catmaid_fanc:13012
492642	neuron 13019 (FANC:492642)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, left T1 dorsal nerve, skeleton, left soma	catmaid_fanc_JRC2018VF:492642|catmaid_fanc:13018
492657	neuron 3803 (FANC:492657)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, right T1 dorsal nerve, skeleton, right soma	catmaid_fanc_JRC2018VF:492657|catmaid_fanc:3802
492673	Neuron 21087 (FANC:492673)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, right T1 dorsal nerve, skeleton, right soma	catmaid_fanc_JRC2018VF:492673|catmaid_fanc:21086
492690	neuron 76001 (FANC:492690)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron C1 bundle, left soma, right cervical nerve, skeleton	catmaid_fanc_JRC2018VF:492690|catmaid_fanc:76000
492706	neuron 76008 (FANC:492706)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron C1 bundle, right cervical nerve, skeleton, left soma	catmaid_fanc_JRC2018VF:492706|catmaid_fanc:76007
492721	neuron 3818 (FANC:492721)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, right T1 dorsal nerve, skeleton, right soma	catmaid_fanc_JRC2018VF:492721|catmaid_fanc:3817
492737	neuron 13170 (FANC:492737)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, left soma, left T1 dorsal nerve, skeleton	catmaid_fanc_JRC2018VF:492737|catmaid_fanc:13169
492752	neuron 11127 (FANC:492752)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, right T1 dorsal nerve, skeleton, right soma	catmaid_fanc_JRC2018VF:492752|catmaid_fanc:11126
492770	neuron 11002 (FANC:492770)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron D bundle, right T1 dorsal nerve, skeleton, right soma	catmaid_fanc_JRC2018VF:492770|catmaid_fanc:11001
492786	neuron 13951 (FANC:492786)	neuron|adult motor neuron	female organism|adult nervous system	neck motor neuron, neck motor neuron C1 bundle, left cervical nerve, right soma, skeleton	catmaid_fanc_JRC2018VF:492786|catmaid_fanc:13950
492810	neuron 18433 (FANC:492810)	neuron|adult motor neuron	female organism|adult nervous system	wing motor neuron, wing motor neuron A9 bundle, left T2 accessory nerve, posterior soma, left soma, skeleton	catmaid_fanc_JRC2018VF:492810|catmaid_fanc:18432
492831	neuron 69636 (FANC:492831)	neuron|mesothoracic leg muscle motor neuron|adult motor neuron	female organism|adult nervous system	T2 leg motor neuron, T2 leg motor neuron L1 bundle, left T2 leg nerve, left soma, skeleton	catmaid_fanc_JRC2018VF:492831|catmaid_fanc:69635
492851	neuron 18438 (FANC:492851)	neuron|adult motor neuron	female organism|adult nervous system	wing motor neuron, wing motor neuron A10 bundle, posterior soma, left T2 accessory nerve, left soma, skeleton	catmaid_fanc_JRC2018VF:492851|catmaid_fanc:18437
492881	neuron 69648 (FANC:492881)	neuron|mesothoracic leg muscle motor neuron|adult motor neuron	female organism|adult nervous system	T2 leg motor neuron, T2 leg motor neuron L1 bundle, left T2 leg nerve, left soma, skeleton	catmaid_fanc_JRC2018VF:492881|catmaid_fanc:69647
492896	neuron 18450 (FANC:492896)	neuron|adult motor neuron	female organism|adult nervous system	wing motor neuron, wing motor neuron A8 bundle, left T2 accessory nerve, left soma, skeleton	catmaid_fanc_JRC2018VF:492896|catmaid_fanc:18449
492912	neuron 18455 (FANC:492912)	neuron|adult motor neuron	female organism|adult nervous system	wing motor neuron, wing motor neuron A9 bundle, left T2 accessory nerve, posterior soma, left soma, skeleton	catmaid_fanc_JRC2018VF:492912|catmaid_fanc:18454
492942	neuron 188442 (FANC:492942)	neuron|metathoracic leg muscle motor neuron|adult motor neuron	female organism|adult nervous system	skeleton, left soma, T3 leg motor neuron tbd bundle, left T3 leg nerve	catmaid_fanc_JRC2018VF:492942|catmaid_fanc:188441
492960	neuron 69661 (FANC:492960)	neuron|mesothoracic leg muscle motor neuron|adult motor neuron	female organism|adult nervous system	T2 leg motor neuron, T2 leg motor neuron L1 bundle, left T2 leg nerve, skeleton, left soma	catmaid_fanc_JRC2018VF:492960|catmaid_fanc:69660
492981	neuron 12321 (FANC:492981)	neuron|prothoracic leg muscle motor neuron|adult motor neuron	female organism|adult nervous system	T1 leg motor neuron V3 bundle, right soma, leaves through damage, skeleton, right T1 ventral nerve	catmaid_fanc_JRC2018VF:492981|catmaid_fanc:12320
493002	neuron 69673 (FANC:493002)	neuron|mesothoracic leg muscle motor neuron|adult motor neuron	female organism|adult nervous system	T2 leg motor neuron, T2 leg motor neuron L1 bundle, left T2 leg nerve, left soma, skeleton	catmaid_fanc_JRC2018VF:493002|catmaid_fanc:69672
493018	neuron 10299 (FANC:493018)	neuron|prothoracic leg muscle motor neuron|adult motor neuron	female organism|adult nervous system	T1 leg motor neuron A2 bundle, left-right homologs 10299 & 11944, left T1 accessory nerve, skeleton, posterior soma, left soma	catmaid_fanc_JRC2018VF:493018|catmaid_fanc:10298
493038	neuron 106570 (FANC:493038)	neuron|metathoracic leg muscle motor neuron|adult motor neuron	female organism|adult nervous system	skeleton, T3 leg motor neuron, T3 leg motor neuron L14 bundle, left soma, left T3 leg nerve	catmaid_fanc_JRC2018VF:493038|catmaid_fanc:106569
493055	neuron 69726 (FANC:493055)	neuron|mesothoracic leg muscle motor neuron|adult motor neuron	female organism|adult nervous system	T2 leg motor neuron, T2 leg motor neuron L6 bundle, left T2 leg nerve, left soma, skeleton	catmaid_fanc_JRC2018VF:493055|catmaid_fanc:69725
493072	neuron 116839 (FANC:493072)	neuron|adult motor neuron	female organism|adult nervous system	skeleton, haltere motor neuron, left first abdominal nerve, haltere motor neuron T3 H1 bundle, left soma	catmaid_fanc_JRC2018VF:493072|catmaid_fanc:116838
