filename	label	is_a	part_of	comment	dbxrefs
605693	neuron 82760 (FANC:605693)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:605693
605705	muscle 93000 (FANC:605705)	neuron	female organism|adult ventral nerve cord	femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber	catmaid_leg40:605705
605718	neuron 95052 (FANC:605718)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 103204, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon	catmaid_leg40:605718
605733	scolopidium 103244 (FANC:605733)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon	catmaid_leg40:605733
605746	neuron 82766 (FANC:605746)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:605746
605758	muscle 93007 (FANC:605758)	neuron	female organism|adult ventral nerve cord	femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber	catmaid_leg40:605758
605771	neuron 95058 (FANC:605771)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 103229, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon	catmaid_leg40:605771
605787	scolopidium 103250 (FANC:605787)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:605787
605800	neuron 82772 (FANC:605800)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:605800
605812	neuron 74046 (FANC:605812)	neuron|mechanosensory neuron of hair plate	female organism|adult nervous system	TrHP6, sensory neuron, hair plate, coxa-trochanter joint	catmaid_leg40:605812
605828	neuron 82782 (FANC:605828)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:605828
605840	neuron 95070 (FANC:605840)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 103209, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon	catmaid_leg40:605840
605856	scolopidium 103264 (FANC:605856)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:605856
605869	muscle 93025 (FANC:605869)	neuron	female organism|adult ventral nerve cord	femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber	catmaid_leg40:605869
605882	neuron 82788 (FANC:605882)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:605882
605894	neuron 95076 (FANC:605894)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 103155, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon	catmaid_leg40:605894
605909	scolopidium 103270 (FANC:605909)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:605909
605922	neuron 82794 (FANC:605922)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:605922
605934	neuron 95082 (FANC:605934)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 103286, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon	catmaid_leg40:605934
605950	neuron 101228 (FANC:605950)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:605950
605962	scolopidium 103276 (FANC:605962)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:605962
605975	neuron 80751 (FANC:605975)	neuron|prothoracic trochanter campaniform sensillum Sc-8	female organism|adult nervous system	TrCS8, sensory neuron, trochanteral campaniform sensillum	catmaid_leg40:605975
605993	neuron 82800 (FANC:605993)	neuron	female organism|adult nervous system	leaves volume, femoral bristle, sensory neuron	catmaid_leg40:605993
606006	neuron 95088 (FANC:606006)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 103306, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon	catmaid_leg40:606006
606022	muscle 93042 (FANC:606022)	neuron	female organism|adult ventral nerve cord	femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber	catmaid_leg40:606022
606035	scolopidium 103281 (FANC:606035)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:606035
606048	neuron 101236 (FANC:606048)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:606048
606060	neuron 82806 (FANC:606060)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:606060
606072	neuron 95094 (FANC:606072)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 103209, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon	catmaid_leg40:606072
606087	muscle 93048 (FANC:606087)	neuron	female organism|adult ventral nerve cord	femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber	catmaid_leg40:606087
606100	scolopidium 103286 (FANC:606100)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon	catmaid_leg40:606100
606113	scolopidium 103291 (FANC:606113)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:606113
606126	neuron 82812 (FANC:606126)	neuron	female organism|adult nervous system	sensory neuron, femoral bristle	catmaid_leg40:606126
606138	neuron 95100 (FANC:606138)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 103239, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon	catmaid_leg40:606138
606153	muscle 93054 (FANC:606153)	neuron	female organism|adult ventral nerve cord	femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber	catmaid_leg40:606153
